Value,Disaggregation combinations using this value,Number of indicators
Agriculture film,13,1
Bottles,1,1
Construction materials,15,1
Electrical and electronic equipment,15,1
Electronics,1,1
Film,1,1
Major appliances,1,1
Non-bottle rigid,1,1
Other electrical and electronic equipment,1,1
Other packaging products,1,1
Other products,15,1
Packaging,15,1
Textiles,15,1
"Total, all product categories",14,1
Vehicles,15,1
