Value,Disaggregation combinations using this value,Number of indicators
data.All materials diverted,11,1
data.All paper fibres,36,1
"data.Construction, renovation and demolition",34,1
data.Copper and aluminum,34,1
data.Electronics,12,1
data.Ferrous metals,34,1
data.Gable top and aseptic containers,27,1
data.Glass,28,1
data.Mixed metals,29,1
data.Organics,34,1
data.Other materials,33,1
data.Plastics,36,1
data.Textiles,30,1
data.Tires,12,1
data.White goods,32,1
