Value,Disaggregation combinations using this value,Number of indicators
data.All grades,98,1
data.Grades 10-12,99,1
data.Grades 6-9,10,1
data.Grades 7-9,99,1
data.Secondary I-III,3,1
data.Secondary IV-V,3,1
