Value,Disaggregation combinations using this value,Number of indicators
Agriculture,60,1
Forestry,60,1
Mining,60,1
Mixed pressures,60,1
Mixed Pressures,10,1
Populated,60,1
Total,60,1
Undeveloped,60,1
