Year,Units,Geography,Land use category,Water quality,Value
2017-2019,Number of sites,Canada,Forestry,Good,9
2017-2019,Percentage,Canada,Forestry,Good,5
2017-2019,Number of sites,Canada,Forestry,Fair,6
2017-2019,Percentage,Canada,Forestry,Fair,3
2017-2019,Number of sites,Canada,Forestry,Marginal,0
2017-2019,Percentage,Canada,Forestry,Marginal,0
2017-2019,Number of sites,Canada,Forestry,Poor,0
2017-2019,Percentage,Canada,Forestry,Poor,0
2017-2019,Number of sites,Canada,Mining,Excellent,0
2017-2019,Percentage,Canada,Mining,Excellent,0
2017-2019,Number of sites,Canada,Mining,Good,3
2017-2019,Percentage,Canada,Mining,Good,2
2017-2019,Number of sites,Canada,Mining,Fair,3
2017-2019,Percentage,Canada,Mining,Fair,2
2017-2019,Number of sites,Canada,Mining,Marginal,3
2017-2019,Percentage,Canada,Mining,Marginal,2
2017-2019,Number of sites,Canada,Mining,Poor,0
2017-2019,Percentage,Canada,Mining,Poor,0
2017-2019,Number of sites,Canada,Populated,Excellent,0
2017-2019,Percentage,Canada,Populated,Excellent,0
2017-2019,Number of sites,Canada,Populated,Good,0
2017-2019,Percentage,Canada,Populated,Good,0
2017-2019,Number of sites,Canada,Populated,Fair,1
2017-2019,Percentage,Canada,Populated,Fair,1
2017-2019,Number of sites,Canada,Populated,Marginal,3
2017-2019,Percentage,Canada,Populated,Marginal,2
2017-2019,Number of sites,Canada,Populated,Poor,0
2017-2019,Percentage,Canada,Populated,Poor,0
2017-2019,Number of sites,Canada,Mixed pressures,Excellent,4
2017-2019,Percentage,Canada,Mixed pressures,Excellent,2
2017-2019,Number of sites,Canada,Mixed pressures,Good,18
2017-2019,Percentage,Canada,Mixed pressures,Good,10
2017-2019,Number of sites,Canada,Mixed pressures,Fair,43
2017-2019,Percentage,Canada,Mixed pressures,Fair,25
2017-2019,Number of sites,Canada,Mixed pressures,Marginal,19
2017-2019,Percentage,Canada,Mixed pressures,Marginal,11
2017-2019,Number of sites,Canada,Mixed pressures,Poor,4
2017-2019,Percentage,Canada,Mixed pressures,Poor,2
2017-2019,Number of sites,Canada,Undeveloped,Excellent,4
2017-2019,Percentage,Canada,Undeveloped,Excellent,2
2017-2019,Number of sites,Canada,Undeveloped,Good,14
2017-2019,Percentage,Canada,Undeveloped,Good,8
2017-2019,Number of sites,Canada,Undeveloped,Fair,6
2017-2019,Percentage,Canada,Undeveloped,Fair,3
2017-2019,Number of sites,Canada,Undeveloped,Marginal,0
2017-2019,Percentage,Canada,Undeveloped,Marginal,0
2017-2019,Number of sites,Canada,Undeveloped,Poor,0
2017-2019,Percentage,Canada,Undeveloped,Poor,0
2017-2019,Number of sites,Canada,Total,Excellent,10
2017-2019,Percentage,Canada,Total,Excellent,6
2017-2019,Number of sites,Canada,Total,Good,60
2017-2019,Percentage,Canada,Total,Good,35
2017-2019,Number of sites,Canada,Total,Fair,72
2017-2019,Percentage,Canada,Total,Fair,42
2017-2019,Number of sites,Canada,Total,Marginal,27
2017-2019,Percentage,Canada,Total,Marginal,16
2017-2019,Number of sites,Canada,Total,Poor,4
2017-2019,Percentage,Canada,Total,Poor,2
2017-2019,Number of sites,Atlantic Ocean,Agriculture,Excellent,0
2017-2019,Percentage,Atlantic Ocean,Agriculture,Excellent,0
2017-2019,Number of sites,Atlantic Ocean,Agriculture,Good,4
2017-2019,Percentage,Atlantic Ocean,Agriculture,Good,9
2017-2019,Number of sites,Atlantic Ocean,Agriculture,Fair,0
2017-2019,Percentage,Atlantic Ocean,Agriculture,Fair,0
2017-2019,Number of sites,Atlantic Ocean,Agriculture,Marginal,0
2017-2019,Percentage,Atlantic Ocean,Agriculture,Marginal,0
2017-2019,Number of sites,Atlantic Ocean,Agriculture,Poor,0
2017-2019,Percentage,Atlantic Ocean,Agriculture,Poor,0
2017-2019,Number of sites,Atlantic Ocean,Forestry,Excellent,2
2017-2019,Percentage,Atlantic Ocean,Forestry,Excellent,4
2017-2019,Number of sites,Atlantic Ocean,Forestry,Good,6
2017-2019,Percentage,Atlantic Ocean,Forestry,Good,13
2017-2019,Number of sites,Atlantic Ocean,Forestry,Fair,6
2017-2019,Percentage,Atlantic Ocean,Forestry,Fair,13
2017-2019,Number of sites,Atlantic Ocean,Forestry,Marginal,0
2017-2019,Percentage,Atlantic Ocean,Forestry,Marginal,0
2017-2019,Number of sites,Atlantic Ocean,Forestry,Poor,0
2017-2019,Percentage,Atlantic Ocean,Forestry,Poor,0
2017-2019,Number of sites,Atlantic Ocean,Mining,Excellent,0
2017-2019,Percentage,Atlantic Ocean,Mining,Excellent,0
2017-2019,Number of sites,Atlantic Ocean,Mining,Good,1
2017-2019,Percentage,Atlantic Ocean,Mining,Good,2
2017-2019,Number of sites,Atlantic Ocean,Mining,Fair,1
2017-2019,Percentage,Atlantic Ocean,Mining,Fair,2
2017-2019,Number of sites,Atlantic Ocean,Mining,Marginal,0
2017-2019,Percentage,Atlantic Ocean,Mining,Marginal,0
2017-2019,Number of sites,Atlantic Ocean,Mining,Poor,0
2017-2019,Percentage,Atlantic Ocean,Mining,Poor,0
2017-2019,Number of sites,Atlantic Ocean,Populated,Excellent,0
2017-2019,Percentage,Atlantic Ocean,Populated,Excellent,0
2017-2019,Number of sites,Atlantic Ocean,Populated,Good,0
2017-2019,Percentage,Atlantic Ocean,Populated,Good,0
2017-2019,Number of sites,Atlantic Ocean,Populated,Fair,0
2017-2019,Percentage,Atlantic Ocean,Populated,Fair,0
2017-2019,Number of sites,Atlantic Ocean,Populated,Marginal,3
2017-2019,Percentage,Atlantic Ocean,Populated,Marginal,7
2017-2019,Number of sites,Atlantic Ocean,Populated,Poor,0
2017-2019,Percentage,Atlantic Ocean,Populated,Poor,0
2017-2019,Number of sites,Atlantic Ocean,Mixed pressures,Excellent,0
2017-2019,Percentage,Atlantic Ocean,Mixed pressures,Excellent,0
2017-2019,Number of sites,Atlantic Ocean,Mixed pressures,Good,3
2017-2019,Percentage,Atlantic Ocean,Mixed pressures,Good,7
2017-2019,Number of sites,Atlantic Ocean,Mixed pressures,Fair,3
2017-2019,Percentage,Atlantic Ocean,Mixed pressures,Fair,7
2017-2019,Number of sites,Atlantic Ocean,Mixed pressures,Marginal,1
2017-2019,Percentage,Atlantic Ocean,Mixed pressures,Marginal,2
2017-2019,Number of sites,Atlantic Ocean,Mixed pressures,Poor,1
2017-2019,Percentage,Atlantic Ocean,Mixed pressures,Poor,2
2017-2019,Number of sites,Atlantic Ocean,Undeveloped,Excellent,0
2017-2019,Percentage,Atlantic Ocean,Undeveloped,Excellent,0
2017-2019,Number of sites,Atlantic Ocean,Undeveloped,Good,9
2017-2019,Percentage,Atlantic Ocean,Undeveloped,Good,20
2017-2019,Number of sites,Atlantic Ocean,Undeveloped,Fair,5
2017-2019,Percentage,Atlantic Ocean,Undeveloped,Fair,11
2017-2019,Number of sites,Atlantic Ocean,Undeveloped,Marginal,0
2017-2019,Percentage,Atlantic Ocean,Undeveloped,Marginal,0
2017-2019,Number of sites,Atlantic Ocean,Undeveloped,Poor,0
2017-2019,Percentage,Atlantic Ocean,Undeveloped,Poor,0
2017-2019,Number of sites,Atlantic Ocean,Total,Excellent,2
2017-2019,Percentage,Atlantic Ocean,Total,Excellent,4
2017-2019,Number of sites,Atlantic Ocean,Total,Good,23
2017-2019,Percentage,Atlantic Ocean,Total,Good,51
2017-2019,Number of sites,Atlantic Ocean,Total,Fair,15
2017-2019,Percentage,Atlantic Ocean,Total,Fair,33
2017-2019,Number of sites,Atlantic Ocean,Total,Marginal,4
2017-2019,Percentage,Atlantic Ocean,Total,Marginal,9
2017-2019,Number of sites,Atlantic Ocean,Total,Poor,1
2017-2019,Percentage,Atlantic Ocean,Total,Poor,2
2017-2019,Number of sites,Great Lakes and St. Lawrence River,Agriculture,Excellent,0
2017-2019,Percentage,Great Lakes and St. Lawrence River,Agriculture,Excellent,0
2017-2019,Number of sites,Great Lakes and St. Lawrence River,Agriculture,Good,4
2017-2019,Percentage,Great Lakes and St. Lawrence River,Agriculture,Good,7
2017-2019,Number of sites,Great Lakes and St. Lawrence River,Agriculture,Fair,3
2017-2019,Percentage,Great Lakes and St. Lawrence River,Agriculture,Fair,5
2017-2019,Number of sites,Great Lakes and St. Lawrence River,Agriculture,Marginal,0
2017-2019,Percentage,Great Lakes and St. Lawrence River,Agriculture,Marginal,0
2017-2019,Number of sites,Great Lakes and St. Lawrence River,Agriculture,Poor,0
2017-2019,Percentage,Great Lakes and St. Lawrence River,Agriculture,Poor,0
2017-2019,Number of sites,Great Lakes and St. Lawrence River,Forestry,Excellent,0
2017-2019,Percentage,Great Lakes and St. Lawrence River,Forestry,Excellent,0
2017-2019,Number of sites,Great Lakes and St. Lawrence River,Forestry,Good,1
2017-2019,Percentage,Great Lakes and St. Lawrence River,Forestry,Good,2
2017-2019,Number of sites,Great Lakes and St. Lawrence River,Forestry,Fair,0
2017-2019,Percentage,Great Lakes and St. Lawrence River,Forestry,Fair,0
2017-2019,Number of sites,Great Lakes and St. Lawrence River,Forestry,Marginal,0
2017-2019,Percentage,Great Lakes and St. Lawrence River,Forestry,Marginal,0
2017-2019,Number of sites,Great Lakes and St. Lawrence River,Forestry,Poor,0
2017-2019,Percentage,Great Lakes and St. Lawrence River,Forestry,Poor,0
2017-2019,Number of sites,Great Lakes and St. Lawrence River,Mining,Excellent,0
2017-2019,Percentage,Great Lakes and St. Lawrence River,Mining,Excellent,0
2017-2019,Number of sites,Great Lakes and St. Lawrence River,Mining,Good,2
2017-2019,Percentage,Great Lakes and St. Lawrence River,Mining,Good,3
2017-2019,Number of sites,Great Lakes and St. Lawrence River,Mining,Fair,2
2017-2019,Percentage,Great Lakes and St. Lawrence River,Mining,Fair,3
2017-2019,Number of sites,Great Lakes and St. Lawrence River,Mining,Marginal,1
2017-2019,Percentage,Great Lakes and St. Lawrence River,Mining,Marginal,2
2017-2019,Number of sites,Great Lakes and St. Lawrence River,Mining,Poor,0
2017-2019,Percentage,Great Lakes and St. Lawrence River,Mining,Poor,0
2017-2019,Number of sites,Great Lakes and St. Lawrence River,Populated,Excellent,0
2017-2019,Percentage,Great Lakes and St. Lawrence River,Populated,Excellent,0
2017-2019,Number of sites,Great Lakes and St. Lawrence River,Populated,Good,0
2017-2019,Percentage,Great Lakes and St. Lawrence River,Populated,Good,0
2017-2019,Number of sites,Great Lakes and St. Lawrence River,Populated,Fair,1
2017-2019,Percentage,Great Lakes and St. Lawrence River,Populated,Fair,2
2017-2019,Number of sites,Great Lakes and St. Lawrence River,Populated,Marginal,0
2017-2019,Percentage,Great Lakes and St. Lawrence River,Populated,Marginal,0
2017-2019,Number of sites,Great Lakes and St. Lawrence River,Populated,Poor,0
2017-2019,Percentage,Great Lakes and St. Lawrence River,Populated,Poor,0
2017-2019,Number of sites,Great Lakes and St. Lawrence River,Mixed pressures,Excellent,0
2017-2019,Percentage,Great Lakes and St. Lawrence River,Mixed pressures,Excellent,0
2017-2019,Number of sites,Great Lakes and St. Lawrence River,Mixed pressures,Good,5
2017-2019,Percentage,Great Lakes and St. Lawrence River,Mixed pressures,Good,9
2017-2019,Number of sites,Great Lakes and St. Lawrence River,Mixed pressures,Fair,19
2017-2019,Percentage,Great Lakes and St. Lawrence River,Mixed pressures,Fair,33
2017-2019,Number of sites,Great Lakes and St. Lawrence River,Mixed pressures,Marginal,13
2017-2019,Percentage,Great Lakes and St. Lawrence River,Mixed pressures,Marginal,22
2017-2019,Number of sites,Great Lakes and St. Lawrence River,Mixed pressures,Poor,2
2017-2019,Percentage,Great Lakes and St. Lawrence River,Mixed pressures,Poor,3
2017-2019,Number of sites,Great Lakes and St. Lawrence River,Undeveloped,Excellent,0
2017-2019,Percentage,Great Lakes and St. Lawrence River,Undeveloped,Excellent,0
2017-2019,Number of sites,Great Lakes and St. Lawrence River,Undeveloped,Good,4
2017-2019,Percentage,Great Lakes and St. Lawrence River,Undeveloped,Good,7
2017-2019,Number of sites,Great Lakes and St. Lawrence River,Undeveloped,Fair,1
2017-2019,Percentage,Great Lakes and St. Lawrence River,Undeveloped,Fair,2
2017-2019,Number of sites,Great Lakes and St. Lawrence River,Undeveloped,Marginal,0
2017-2019,Percentage,Great Lakes and St. Lawrence River,Undeveloped,Marginal,0
2017-2019,Number of sites,Great Lakes and St. Lawrence River,Undeveloped,Poor,0
2017-2019,Percentage,Great Lakes and St. Lawrence River,Undeveloped,Poor,0
2017-2019,Number of sites,Great Lakes and St. Lawrence River,Total,Excellent,0
2017-2019,Percentage,Great Lakes and St. Lawrence River,Total,Excellent,0
2017-2019,Number of sites,Great Lakes and St. Lawrence River,Total,Good,16
2017-2019,Percentage,Great Lakes and St. Lawrence River,Total,Good,28
2017-2019,Number of sites,Great Lakes and St. Lawrence River,Total,Fair,26
2017-2019,Percentage,Great Lakes and St. Lawrence River,Total,Fair,45
2017-2019,Number of sites,Great Lakes and St. Lawrence River,Total,Marginal,14
2017-2019,Percentage,Great Lakes and St. Lawrence River,Total,Marginal,24
2017-2019,Number of sites,Great Lakes and St. Lawrence River,Total,Poor,2
2017-2019,Percentage,Great Lakes and St. Lawrence River,Total,Poor,3
2017-2019,Number of sites,Hudson Bay,Agriculture,Excellent,0
2017-2019,Percentage,Hudson Bay,Agriculture,Excellent,0
2017-2019,Number of sites,Hudson Bay,Agriculture,Good,8
2017-2019,Percentage,Hudson Bay,Agriculture,Good,18
2017-2019,Number of sites,Hudson Bay,Agriculture,Fair,10
2017-2019,Percentage,Hudson Bay,Agriculture,Fair,23
2017-2019,Number of sites,Hudson Bay,Agriculture,Marginal,2
2017-2019,Percentage,Hudson Bay,Agriculture,Marginal,5
2017-2019,Number of sites,Hudson Bay,Agriculture,Poor,0
2017-2019,Percentage,Hudson Bay,Agriculture,Poor,0
2017-2019,Number of sites,Hudson Bay,Forestry,Excellent,0
2017-2019,Percentage,Hudson Bay,Forestry,Excellent,0
2017-2019,Number of sites,Hudson Bay,Forestry,Good,0
2017-2019,Percentage,Hudson Bay,Forestry,Good,0
2017-2019,Number of sites,Hudson Bay,Forestry,Fair,0
2017-2019,Percentage,Hudson Bay,Forestry,Fair,0
2017-2019,Number of sites,Hudson Bay,Forestry,Marginal,0
2017-2019,Percentage,Hudson Bay,Forestry,Marginal,0
2017-2019,Number of sites,Hudson Bay,Forestry,Poor,0
2017-2019,Percentage,Hudson Bay,Forestry,Poor,0
2017-2019,Number of sites,Hudson Bay,Mining,Excellent,0
2017-2019,Percentage,Hudson Bay,Mining,Excellent,0
2017-2019,Number of sites,Hudson Bay,Mining,Good,0
2017-2019,Percentage,Hudson Bay,Mining,Good,0
2017-2019,Number of sites,Hudson Bay,Mining,Fair,0
2017-2019,Percentage,Hudson Bay,Mining,Fair,0
2017-2019,Number of sites,Hudson Bay,Mining,Marginal,0
2017-2019,Percentage,Hudson Bay,Mining,Marginal,0
2017-2019,Number of sites,Hudson Bay,Mining,Poor,0
2017-2019,Percentage,Hudson Bay,Mining,Poor,0
2017-2019,Number of sites,Hudson Bay,Populated,Excellent,0
2017-2019,Percentage,Hudson Bay,Populated,Excellent,0
2017-2019,Number of sites,Hudson Bay,Populated,Good,0
2017-2019,Percentage,Hudson Bay,Populated,Good,0
2017-2019,Number of sites,Hudson Bay,Populated,Fair,0
2017-2019,Percentage,Hudson Bay,Populated,Fair,0
2017-2019,Number of sites,Hudson Bay,Populated,Marginal,0
2017-2019,Percentage,Hudson Bay,Populated,Marginal,0
2017-2019,Number of sites,Hudson Bay,Populated,Poor,0
2017-2019,Percentage,Hudson Bay,Populated,Poor,0
2017-2019,Number of sites,Hudson Bay,Mixed pressures,Excellent,4
2017-2019,Percentage,Hudson Bay,Mixed pressures,Excellent,9
2017-2019,Number of sites,Hudson Bay,Mixed pressures,Good,8
2017-2019,Percentage,Hudson Bay,Mixed pressures,Good,18
2017-2019,Number of sites,Hudson Bay,Mixed pressures,Fair,9
2017-2019,Percentage,Hudson Bay,Mixed pressures,Fair,20
2017-2019,Number of sites,Hudson Bay,Mixed pressures,Marginal,1
2017-2019,Percentage,Hudson Bay,Mixed pressures,Marginal,2
2017-2019,Number of sites,Hudson Bay,Mixed pressures,Poor,0
2017-2019,Percentage,Hudson Bay,Mixed pressures,Poor,0
2017-2019,Number of sites,Hudson Bay,Undeveloped,Excellent,2
2017-2019,Percentage,Hudson Bay,Undeveloped,Excellent,5
2017-2019,Number of sites,Hudson Bay,Undeveloped,Good,0
2017-2019,Percentage,Hudson Bay,Undeveloped,Good,0
2017-2019,Number of sites,Hudson Bay,Undeveloped,Fair,0
2017-2019,Percentage,Hudson Bay,Undeveloped,Fair,0
2017-2019,Number of sites,Hudson Bay,Undeveloped,Marginal,0
2017-2019,Percentage,Hudson Bay,Undeveloped,Marginal,0
2017-2019,Number of sites,Hudson Bay,Undeveloped,Poor,0
2017-2019,Percentage,Hudson Bay,Undeveloped,Poor,0
2017-2019,Number of sites,Hudson Bay,Total,Excellent,6
2017-2019,Percentage,Hudson Bay,Total,Excellent,14
2017-2019,Number of sites,Hudson Bay,Total,Good,16
2017-2019,Percentage,Hudson Bay,Total,Good,36
2017-2019,Number of sites,Hudson Bay,Total,Fair,19
2017-2019,Percentage,Hudson Bay,Total,Fair,43
2017-2019,Number of sites,Hudson Bay,Total,Marginal,3
2017-2019,Percentage,Hudson Bay,Total,Marginal,7
2017-2019,Number of sites,Hudson Bay,Total,Poor,0
2017-2019,Percentage,Hudson Bay,Total,Poor,0
2017-2019,Number of sites,Mackenzie River,Agriculture,Excellent,0
2017-2019,Percentage,Mackenzie River,Agriculture,Excellent,0
2017-2019,Number of sites,Mackenzie River,Agriculture,Good,0
2017-2019,Percentage,Mackenzie River,Agriculture,Good,0
2017-2019,Number of sites,Mackenzie River,Agriculture,Fair,0
2017-2019,Percentage,Mackenzie River,Agriculture,Fair,0
2017-2019,Number of sites,Mackenzie River,Agriculture,Marginal,0
2017-2019,Percentage,Mackenzie River,Agriculture,Marginal,0
2017-2019,Number of sites,Mackenzie River,Agriculture,Poor,0
2017-2019,Percentage,Mackenzie River,Agriculture,Poor,0
2017-2019,Number of sites,Mackenzie River,Forestry,Excellent,0
2017-2019,Percentage,Mackenzie River,Forestry,Excellent,0
2017-2019,Number of sites,Mackenzie River,Forestry,Good,0
2017-2019,Percentage,Mackenzie River,Forestry,Good,0
2017-2019,Number of sites,Mackenzie River,Forestry,Fair,0
2017-2019,Percentage,Mackenzie River,Forestry,Fair,0
2017-2019,Number of sites,Mackenzie River,Forestry,Marginal,0
2017-2019,Percentage,Mackenzie River,Forestry,Marginal,0
2017-2019,Number of sites,Mackenzie River,Forestry,Poor,0
2017-2019,Percentage,Mackenzie River,Forestry,Poor,0
2017-2019,Number of sites,Mackenzie River,Mining,Excellent,0
2017-2019,Percentage,Mackenzie River,Mining,Excellent,0
2017-2019,Number of sites,Mackenzie River,Mining,Good,2
2017-2019,Percentage,Mackenzie River,Mining,Good,10
2017-2019,Number of sites,Mackenzie River,Mining,Fair,2
2017-2019,Percentage,Mackenzie River,Mining,Fair,10
2017-2019,Number of sites,Mackenzie River,Mining,Marginal,1
2017-2019,Percentage,Mackenzie River,Mining,Marginal,5
2017-2019,Number of sites,Mackenzie River,Mining,Poor,0
2017-2019,Percentage,Mackenzie River,Mining,Poor,0
2017-2019,Number of sites,Mackenzie River,Populated,Excellent,0
2017-2019,Percentage,Mackenzie River,Populated,Excellent,0
2017-2019,Number of sites,Mackenzie River,Populated,Good,0
2017-2019,Percentage,Mackenzie River,Populated,Good,0
2017-2019,Number of sites,Mackenzie River,Populated,Fair,0
2017-2019,Percentage,Mackenzie River,Populated,Fair,0
2017-2019,Number of sites,Mackenzie River,Populated,Marginal,0
2017-2019,Percentage,Mackenzie River,Populated,Marginal,0
2017-2019,Number of sites,Mackenzie River,Populated,Poor,0
2017-2019,Percentage,Mackenzie River,Populated,Poor,0
2017-2019,Number of sites,Mackenzie River,Mixed pressures,Excellent,1
2017-2019,Percentage,Mackenzie River,Mixed pressures,Excellent,5
2017-2019,Number of sites,Mackenzie River,Mixed pressures,Good,1
2017-2019,Percentage,Mackenzie River,Mixed pressures,Good,5
2017-2019,Number of sites,Mackenzie River,Mixed pressures,Fair,6
2017-2019,Percentage,Mackenzie River,Mixed pressures,Fair,30
2017-2019,Number of sites,Mackenzie River,Mixed pressures,Marginal,0
2017-2019,Percentage,Mackenzie River,Mixed pressures,Marginal,0
2017-2019,Number of sites,Mackenzie River,Mixed pressures,Poor,0
2017-2019,Percentage,Mackenzie River,Mixed pressures,Poor,0
2017-2019,Number of sites,Mackenzie River,Undeveloped,Excellent,1
2017-2019,Percentage,Mackenzie River,Undeveloped,Excellent,5
2017-2019,Number of sites,Mackenzie River,Undeveloped,Good,3
2017-2019,Percentage,Mackenzie River,Undeveloped,Good,15
2017-2019,Number of sites,Mackenzie River,Undeveloped,Fair,2
2017-2019,Percentage,Mackenzie River,Undeveloped,Fair,10
2017-2019,Number of sites,Mackenzie River,Undeveloped,Marginal,1
2017-2019,Percentage,Mackenzie River,Undeveloped,Marginal,5
2017-2019,Number of sites,Mackenzie River,Undeveloped,Poor,0
2017-2019,Percentage,Mackenzie River,Undeveloped,Poor,0
2017-2019,Number of sites,Mackenzie River,Total,Excellent,2
2017-2019,Percentage,Mackenzie River,Total,Excellent,10
2017-2019,Number of sites,Mackenzie River,Total,Good,6
2017-2019,Percentage,Mackenzie River,Total,Good,30
2017-2019,Number of sites,Mackenzie River,Total,Fair,10
2017-2019,Percentage,Mackenzie River,Total,Fair,50
2017-2019,Number of sites,Mackenzie River,Total,Marginal,2
2017-2019,Percentage,Mackenzie River,Total,Marginal,10
2017-2019,Number of sites,Mackenzie River,Total,Poor,0
2017-2019,Percentage,Mackenzie River,Total,Poor,0
2017-2019,Number of sites,Pacific Ocean,Agriculture,Excellent,0
2017-2019,Percentage,Pacific Ocean,Agriculture,Excellent,0
2017-2019,Number of sites,Pacific Ocean,Agriculture,Good,0
2017-2019,Percentage,Pacific Ocean,Agriculture,Good,0
2017-2019,Number of sites,Pacific Ocean,Agriculture,Fair,0
2017-2019,Percentage,Pacific Ocean,Agriculture,Fair,0
2017-2019,Number of sites,Pacific Ocean,Agriculture,Marginal,0
2017-2019,Percentage,Pacific Ocean,Agriculture,Marginal,0
2017-2019,Number of sites,Pacific Ocean,Agriculture,Poor,0
2017-2019,Percentage,Pacific Ocean,Agriculture,Poor,0
2017-2019,Number of sites,Pacific Ocean,Forestry,Excellent,0
2017-2019,Percentage,Pacific Ocean,Forestry,Excellent,0
2017-2019,Number of sites,Pacific Ocean,Forestry,Good,2
2017-2019,Percentage,Pacific Ocean,Forestry,Good,8
2017-2019,Number of sites,Pacific Ocean,Forestry,Fair,0
2017-2019,Percentage,Pacific Ocean,Forestry,Fair,0
2017-2019,Number of sites,Pacific Ocean,Forestry,Marginal,0
2017-2019,Percentage,Pacific Ocean,Forestry,Marginal,0
2017-2019,Number of sites,Pacific Ocean,Forestry,Poor,0
2017-2019,Percentage,Pacific Ocean,Forestry,Poor,0
2017-2019,Number of sites,Pacific Ocean,Mining,Excellent,0
2017-2019,Percentage,Pacific Ocean,Mining,Excellent,0
2017-2019,Number of sites,Pacific Ocean,Mining,Good,2
2017-2019,Percentage,Pacific Ocean,Mining,Good,8
2017-2019,Number of sites,Pacific Ocean,Mining,Fair,0
2017-2019,Percentage,Pacific Ocean,Mining,Fair,0
2017-2019,Number of sites,Pacific Ocean,Mining,Marginal,3
2017-2019,Percentage,Pacific Ocean,Mining,Marginal,13
2017-2019,Number of sites,Pacific Ocean,Mining,Poor,0
2017-2019,Percentage,Pacific Ocean,Mining,Poor,0
2017-2019,Number of sites,Pacific Ocean,Populated,Excellent,0
2017-2019,Percentage,Pacific Ocean,Populated,Excellent,0
2017-2019,Number of sites,Pacific Ocean,Populated,Good,0
2017-2019,Percentage,Pacific Ocean,Populated,Good,0
2017-2019,Number of sites,Pacific Ocean,Populated,Fair,0
2017-2019,Percentage,Pacific Ocean,Populated,Fair,0
2017-2019,Number of sites,Pacific Ocean,Populated,Marginal,0
2017-2019,Percentage,Pacific Ocean,Populated,Marginal,0
2017-2019,Number of sites,Pacific Ocean,Populated,Poor,0
2017-2019,Percentage,Pacific Ocean,Populated,Poor,0
2017-2019,Number of sites,Pacific Ocean,Mixed Pressures,Excellent,0
2017-2019,Percentage,Pacific Ocean,Mixed Pressures,Excellent,0
2017-2019,Number of sites,Pacific Ocean,Mixed Pressures,Good,2
2017-2019,Percentage,Pacific Ocean,Mixed Pressures,Good,8
2017-2019,Number of sites,Pacific Ocean,Mixed Pressures,Fair,8
2017-2019,Percentage,Pacific Ocean,Mixed Pressures,Fair,33
2017-2019,Number of sites,Pacific Ocean,Mixed Pressures,Marginal,3
2017-2019,Percentage,Pacific Ocean,Mixed Pressures,Marginal,13
2017-2019,Number of sites,Pacific Ocean,Mixed Pressures,Poor,1
2017-2019,Percentage,Pacific Ocean,Mixed Pressures,Poor,4
2017-2019,Number of sites,Pacific Ocean,Undeveloped,Excellent,2
2017-2019,Percentage,Pacific Ocean,Undeveloped,Excellent,8
2017-2019,Number of sites,Pacific Ocean,Undeveloped,Good,1
2017-2019,Percentage,Pacific Ocean,Undeveloped,Good,4
2017-2019,Number of sites,Pacific Ocean,Undeveloped,Fair,0
2017-2019,Percentage,Pacific Ocean,Undeveloped,Fair,0
2017-2019,Number of sites,Pacific Ocean,Undeveloped,Marginal,0
2017-2019,Percentage,Pacific Ocean,Undeveloped,Marginal,0
2017-2019,Number of sites,Pacific Ocean,Undeveloped,Poor,0
2017-2019,Percentage,Pacific Ocean,Undeveloped,Poor,0
2017-2019,Number of sites,Pacific Ocean,Total,Excellent,2
2017-2019,Percentage,Pacific Ocean,Total,Excellent,8
2017-2019,Number of sites,Pacific Ocean,Total,Good,7
2017-2019,Percentage,Pacific Ocean,Total,Good,29
2017-2019,Number of sites,Pacific Ocean,Total,Fair,8
2017-2019,Percentage,Pacific Ocean,Total,Fair,33
2017-2019,Number of sites,Pacific Ocean,Total,Marginal,6
2017-2019,Percentage,Pacific Ocean,Total,Marginal,25
2017-2019,Number of sites,Pacific Ocean,Total,Poor,1
2017-2019,Percentage,Pacific Ocean,Total,Poor,4
2018-2020,Number of sites,Canada,Agriculture,Excellent,2
2018-2020,Number of sites,Canada,Agriculture,Good,14
2018-2020,Number of sites,Canada,Agriculture,Fair,13
2018-2020,Number of sites,Canada,Agriculture,Marginal,2
2018-2020,Number of sites,Canada,Agriculture,Poor,0
2018-2020,Number of sites,Canada,Forestry,Excellent,4
2018-2020,Number of sites,Canada,Forestry,Good,7
2018-2020,Number of sites,Canada,Forestry,Fair,6
2018-2020,Number of sites,Canada,Forestry,Marginal,0
2018-2020,Number of sites,Canada,Forestry,Poor,0
2018-2020,Number of sites,Canada,Mining,Excellent,0
2018-2020,Number of sites,Canada,Mining,Good,3
2018-2020,Number of sites,Canada,Mining,Fair,4
2018-2020,Number of sites,Canada,Mining,Marginal,2
2018-2020,Number of sites,Canada,Mining,Poor,0
2018-2020,Number of sites,Canada,Populated,Excellent,0
2018-2020,Number of sites,Canada,Populated,Good,0
2018-2020,Number of sites,Canada,Populated,Fair,1
2018-2020,Number of sites,Canada,Populated,Marginal,3
2018-2020,Number of sites,Canada,Populated,Poor,0
2018-2020,Number of sites,Canada,Mixed pressures,Excellent,5
2018-2020,Number of sites,Canada,Mixed pressures,Good,22
2018-2020,Number of sites,Canada,Mixed pressures,Fair,39
2018-2020,Number of sites,Canada,Mixed pressures,Marginal,17
2018-2020,Number of sites,Canada,Mixed pressures,Poor,4
2018-2020,Number of sites,Canada,Undeveloped,Excellent,6
2018-2020,Number of sites,Canada,Undeveloped,Good,15
2018-2020,Number of sites,Canada,Undeveloped,Fair,3
