Year,Units,Geography,Land use category,Water quality,Value
2016-2018,Number of sites,Atlantic Ocean,Total,Poor,0
2016-2018,Number of sites,Great Lakes and St. Lawrence River,Total,Excellent,0
2016-2018,Number of sites,Great Lakes and St. Lawrence River,Total,Good,17
2016-2018,Number of sites,Great Lakes and St. Lawrence River,Total,Fair,26
2016-2018,Number of sites,Great Lakes and St. Lawrence River,Total,Marginal,13
2016-2018,Number of sites,Great Lakes and St. Lawrence River,Total,Poor,2
2016-2018,Number of sites,Hudson Bay,Total,Excellent,5
2016-2018,Number of sites,Hudson Bay,Total,Good,14
2016-2018,Number of sites,Hudson Bay,Total,Fair,18
2016-2018,Number of sites,Hudson Bay,Total,Marginal,7
2016-2018,Number of sites,Hudson Bay,Total,Poor,1
2016-2018,Number of sites,Mackenzie River,Total,Excellent,3
2016-2018,Number of sites,Mackenzie River,Total,Good,7
2016-2018,Number of sites,Mackenzie River,Total,Fair,10
2016-2018,Number of sites,Mackenzie River,Total,Marginal,0
2016-2018,Number of sites,Mackenzie River,Total,Poor,0
2016-2018,Number of sites,Pacific Ocean,Total,Excellent,2
2016-2018,Number of sites,Pacific Ocean,Total,Good,7
2016-2018,Number of sites,Pacific Ocean,Total,Fair,10
2016-2018,Number of sites,Pacific Ocean,Total,Marginal,5
2016-2018,Number of sites,Pacific Ocean,Total,Poor,1
2016-2018,Percentage,Atlantic Ocean,Agriculture,Excellent,0
2016-2018,Percentage,Atlantic Ocean,Agriculture,Good,7
2016-2018,Percentage,Atlantic Ocean,Agriculture,Fair,2
2016-2018,Percentage,Atlantic Ocean,Agriculture,Marginal,0
2016-2018,Percentage,Atlantic Ocean,Agriculture,Poor,0
2016-2018,Percentage,Atlantic Ocean,Forestry,Excellent,2
2016-2018,Percentage,Atlantic Ocean,Forestry,Good,18
2016-2018,Percentage,Atlantic Ocean,Forestry,Fair,9
2016-2018,Percentage,Atlantic Ocean,Forestry,Marginal,2
2016-2018,Percentage,Atlantic Ocean,Forestry,Poor,0
2016-2018,Percentage,Atlantic Ocean,Mining,Excellent,0
2016-2018,Percentage,Atlantic Ocean,Mining,Good,2
2016-2018,Percentage,Atlantic Ocean,Mining,Fair,2
2016-2018,Percentage,Atlantic Ocean,Mining,Marginal,0
2016-2018,Percentage,Atlantic Ocean,Mining,Poor,0
2016-2018,Percentage,Atlantic Ocean,Populated,Excellent,0
2016-2018,Percentage,Atlantic Ocean,Populated,Good,0
2016-2018,Percentage,Atlantic Ocean,Populated,Fair,0
2016-2018,Percentage,Atlantic Ocean,Populated,Marginal,7
2016-2018,Percentage,Atlantic Ocean,Populated,Poor,0
2016-2018,Percentage,Atlantic Ocean,Mixed pressures,Excellent,0
2016-2018,Percentage,Atlantic Ocean,Mixed pressures,Good,9
2016-2018,Percentage,Atlantic Ocean,Mixed pressures,Fair,4
2016-2018,Percentage,Atlantic Ocean,Mixed pressures,Marginal,4
2016-2018,Percentage,Atlantic Ocean,Mixed pressures,Poor,0
2016-2018,Percentage,Atlantic Ocean,Undeveloped,Excellent,2
2016-2018,Percentage,Atlantic Ocean,Undeveloped,Good,18
2016-2018,Percentage,Atlantic Ocean,Undeveloped,Fair,11
2016-2018,Percentage,Atlantic Ocean,Undeveloped,Marginal,0
2016-2018,Percentage,Atlantic Ocean,Undeveloped,Poor,0
2016-2018,Number of sites,Atlantic Ocean,Agriculture,Excellent,0
2016-2018,Number of sites,Atlantic Ocean,Agriculture,Good,3
2016-2018,Number of sites,Atlantic Ocean,Agriculture,Fair,1
2016-2018,Number of sites,Atlantic Ocean,Agriculture,Marginal,0
2016-2018,Number of sites,Atlantic Ocean,Agriculture,Poor,0
2016-2018,Number of sites,Atlantic Ocean,Forestry,Excellent,1
2016-2018,Number of sites,Atlantic Ocean,Forestry,Good,8
2016-2018,Number of sites,Atlantic Ocean,Forestry,Fair,4
2016-2018,Number of sites,Atlantic Ocean,Forestry,Marginal,1
2016-2018,Number of sites,Atlantic Ocean,Forestry,Poor,0
2016-2018,Number of sites,Atlantic Ocean,Mining,Excellent,0
2016-2018,Number of sites,Atlantic Ocean,Mining,Good,1
2016-2018,Number of sites,Atlantic Ocean,Mining,Fair,1
2016-2018,Number of sites,Atlantic Ocean,Mining,Marginal,0
2016-2018,Number of sites,Atlantic Ocean,Mining,Poor,0
2016-2018,Number of sites,Atlantic Ocean,Populated,Excellent,0
2016-2018,Number of sites,Atlantic Ocean,Populated,Good,0
2016-2018,Number of sites,Atlantic Ocean,Populated,Fair,0
2016-2018,Number of sites,Atlantic Ocean,Populated,Marginal,3
2016-2018,Number of sites,Atlantic Ocean,Populated,Poor,0
2016-2018,Number of sites,Atlantic Ocean,Mixed pressures,Excellent,0
2016-2018,Number of sites,Atlantic Ocean,Mixed pressures,Good,4
2016-2018,Number of sites,Atlantic Ocean,Mixed pressures,Fair,2
2016-2018,Number of sites,Atlantic Ocean,Mixed pressures,Marginal,2
2016-2018,Number of sites,Atlantic Ocean,Mixed pressures,Poor,0
2016-2018,Number of sites,Atlantic Ocean,Undeveloped,Excellent,1
2016-2018,Number of sites,Atlantic Ocean,Undeveloped,Good,8
2016-2018,Number of sites,Atlantic Ocean,Undeveloped,Fair,5
2016-2018,Number of sites,Atlantic Ocean,Undeveloped,Marginal,0
2016-2018,Number of sites,Atlantic Ocean,Undeveloped,Poor,0
2016-2018,Percentage,Great Lakes and St. Lawrence River,Agriculture,Excellent,0
2016-2018,Percentage,Great Lakes and St. Lawrence River,Agriculture,Good,5
2016-2018,Percentage,Great Lakes and St. Lawrence River,Agriculture,Fair,7
2016-2018,Percentage,Great Lakes and St. Lawrence River,Agriculture,Marginal,0
2016-2018,Percentage,Great Lakes and St. Lawrence River,Agriculture,Poor,0
2016-2018,Percentage,Great Lakes and St. Lawrence River,Forestry,Excellent,0
2016-2018,Percentage,Great Lakes and St. Lawrence River,Forestry,Good,2
2016-2018,Percentage,Great Lakes and St. Lawrence River,Forestry,Fair,0
2016-2018,Percentage,Great Lakes and St. Lawrence River,Forestry,Marginal,0
2016-2018,Percentage,Great Lakes and St. Lawrence River,Forestry,Poor,0
2016-2018,Percentage,Great Lakes and St. Lawrence River,Mining,Excellent,0
2016-2018,Percentage,Great Lakes and St. Lawrence River,Mining,Good,5
2016-2018,Percentage,Great Lakes and St. Lawrence River,Mining,Fair,3
2016-2018,Percentage,Great Lakes and St. Lawrence River,Mining,Marginal,0
2016-2018,Percentage,Great Lakes and St. Lawrence River,Mining,Poor,0
2016-2018,Percentage,Great Lakes and St. Lawrence River,Populated,Excellent,0
2016-2018,Percentage,Great Lakes and St. Lawrence River,Populated,Good,0
2016-2018,Percentage,Great Lakes and St. Lawrence River,Populated,Fair,2
2016-2018,Percentage,Great Lakes and St. Lawrence River,Populated,Marginal,0
2016-2018,Percentage,Great Lakes and St. Lawrence River,Populated,Poor,0
2016-2018,Percentage,Great Lakes and St. Lawrence River,Mixed pressures,Excellent,0
2016-2018,Percentage,Great Lakes and St. Lawrence River,Mixed pressures,Good,10
2016-2018,Percentage,Great Lakes and St. Lawrence River,Mixed pressures,Fair,31
2016-2018,Percentage,Great Lakes and St. Lawrence River,Mixed pressures,Marginal,22
2016-2018,Percentage,Great Lakes and St. Lawrence River,Mixed pressures,Poor,3
2016-2018,Percentage,Great Lakes and St. Lawrence River,Undeveloped,Excellent,0
2016-2018,Percentage,Great Lakes and St. Lawrence River,Undeveloped,Good,7
2016-2018,Percentage,Great Lakes and St. Lawrence River,Undeveloped,Fair,2
2016-2018,Percentage,Great Lakes and St. Lawrence River,Undeveloped,Marginal,0
