Year,data.Geography,data.Core public infrastructure assets,data.Type of municipality by population size,GeoCode,Value
2016,data.Prince Edward Island,data.Potable water,data.All municipalities,11,28.57
2016,data.Prince Edward Island,data.Potable water,data.All urban municipalities,11,50.0
2016,data.Prince Edward Island,data.Potable water,"data.Urban municipalities, population 1 to 4,999",11,
2016,data.Prince Edward Island,data.Potable water,"data.Urban municipalities, population 5,000 to 29,999",11,33.33
2016,data.Prince Edward Island,data.Potable water,"data.Urban municipalities, population 30,000 or more",11,100.0
2016,data.Prince Edward Island,data.Potable water,data.All rural municipalities,11,0.0
2016,data.Prince Edward Island,data.Potable water,"data.Rural municipalities, population 1 to 4,999",11,0.0
2016,data.Prince Edward Island,data.Potable water,"data.Rural municipalities, population 5,000 or more",11,
2016,data.Prince Edward Island,data.Stormwater,data.All municipalities,11,75.0
2016,data.Prince Edward Island,data.Stormwater,data.All urban municipalities,11,100.0
2016,data.Prince Edward Island,data.Stormwater,"data.Urban municipalities, population 1 to 4,999",11,
2016,data.Prince Edward Island,data.Stormwater,"data.Urban municipalities, population 5,000 to 29,999",11,100.0
2016,data.Prince Edward Island,data.Stormwater,"data.Urban municipalities, population 30,000 or more",11,100.0
2016,data.Prince Edward Island,data.Stormwater,data.All rural municipalities,11,50.0
2016,data.Prince Edward Island,data.Stormwater,"data.Rural municipalities, population 1 to 4,999",11,50.0
2016,data.Prince Edward Island,data.Stormwater,"data.Rural municipalities, population 5,000 or more",11,
2016,data.Prince Edward Island,data.Wastewater,data.All municipalities,11,44.44
2016,data.Prince Edward Island,data.Wastewater,data.All urban municipalities,11,40.0
2016,data.Prince Edward Island,data.Wastewater,"data.Urban municipalities, population 1 to 4,999",11,100.0
2016,data.Prince Edward Island,data.Wastewater,"data.Urban municipalities, population 5,000 to 29,999",11,33.33
2016,data.Prince Edward Island,data.Wastewater,"data.Urban municipalities, population 30,000 or more",11,0.0
2016,data.Prince Edward Island,data.Wastewater,data.All rural municipalities,11,50.0
2016,data.Prince Edward Island,data.Wastewater,"data.Rural municipalities, population 1 to 4,999",11,50.0
2016,data.Prince Edward Island,data.Wastewater,"data.Rural municipalities, population 5,000 or more",11,
2016,data.Prince Edward Island,data.Solid waste,data.All municipalities,11,0.0
2016,data.Prince Edward Island,data.Solid waste,data.All urban municipalities,11,0.0
2016,data.Prince Edward Island,data.Solid waste,"data.Urban municipalities, population 1 to 4,999",11,
2016,data.Prince Edward Island,data.Solid waste,"data.Urban municipalities, population 5,000 to 29,999",11,
2016,data.Prince Edward Island,data.Solid waste,"data.Urban municipalities, population 30,000 or more",11,0.0
2016,data.Prince Edward Island,data.Solid waste,data.All rural municipalities,11,
2016,data.Prince Edward Island,data.Solid waste,"data.Rural municipalities, population 1 to 4,999",11,
2016,data.Prince Edward Island,data.Solid waste,"data.Rural municipalities, population 5,000 or more",11,
2016,data.Nova Scotia,data.Potable water,data.All municipalities,12,56.67
2016,data.Nova Scotia,data.Potable water,data.All urban municipalities,12,55.56
2016,data.Nova Scotia,data.Potable water,"data.Urban municipalities, population 1 to 4,999",12,33.33
2016,data.Nova Scotia,data.Potable water,"data.Urban municipalities, population 5,000 to 29,999",12,50.0
2016,data.Nova Scotia,data.Potable water,"data.Urban municipalities, population 30,000 or more",12,100.0
2016,data.Nova Scotia,data.Potable water,data.All rural municipalities,12,57.14
2016,data.Nova Scotia,data.Potable water,"data.Rural municipalities, population 1 to 4,999",12,60.0
2016,data.Nova Scotia,data.Potable water,"data.Rural municipalities, population 5,000 or more",12,50.0
2016,data.Nova Scotia,data.Stormwater,data.All municipalities,12,80.0
2016,data.Nova Scotia,data.Stormwater,data.All urban municipalities,12,90.0
2016,data.Nova Scotia,data.Stormwater,"data.Urban municipalities, population 1 to 4,999",12,100.0
2016,data.Nova Scotia,data.Stormwater,"data.Urban municipalities, population 5,000 to 29,999",12,80.0
2016,data.Nova Scotia,data.Stormwater,"data.Urban municipalities, population 30,000 or more",12,100.0
2016,data.Nova Scotia,data.Stormwater,data.All rural municipalities,12,75.0
2016,data.Nova Scotia,data.Stormwater,"data.Rural municipalities, population 1 to 4,999",12,69.23
2016,data.Nova Scotia,data.Stormwater,"data.Rural municipalities, population 5,000 or more",12,85.71
2016,data.Nova Scotia,data.Wastewater,data.All municipalities,12,68.42
2016,data.Nova Scotia,data.Wastewater,data.All urban municipalities,12,70.0
2016,data.Nova Scotia,data.Wastewater,"data.Urban municipalities, population 1 to 4,999",12,33.33
2016,data.Nova Scotia,data.Wastewater,"data.Urban municipalities, population 5,000 to 29,999",12,80.0
2016,data.Nova Scotia,data.Wastewater,"data.Urban municipalities, population 30,000 or more",12,100.0
2016,data.Nova Scotia,data.Wastewater,data.All rural municipalities,12,67.86
2016,data.Nova Scotia,data.Wastewater,"data.Rural municipalities, population 1 to 4,999",12,64.71
2016,data.Nova Scotia,data.Wastewater,"data.Rural municipalities, population 5,000 or more",12,72.73
2016,data.Nova Scotia,data.Solid waste,data.All municipalities,12,11.11
2016,data.Nova Scotia,data.Solid waste,data.All urban municipalities,12,0.0
2016,data.Nova Scotia,data.Solid waste,"data.Urban municipalities, population 1 to 4,999",12,
2016,data.Nova Scotia,data.Solid waste,"data.Urban municipalities, population 5,000 to 29,999",12,0.0
2016,data.Nova Scotia,data.Solid waste,"data.Urban municipalities, population 30,000 or more",12,0.0
2016,data.Nova Scotia,data.Solid waste,data.All rural municipalities,12,14.29
2016,data.Nova Scotia,data.Solid waste,"data.Rural municipalities, population 1 to 4,999",12,0.0
2016,data.Nova Scotia,data.Solid waste,"data.Rural municipalities, population 5,000 or more",12,25.0
