Year,Geography,GeoCode,Value
2015,,,3.8
2016,,,3.9
2017,,,5.7
2018,,,4.9
2019,,,5.2
2020,,,7.0
2021,,,8.8
2022,,,9.3
2023,,,12.0
2015,Newfoundland and Labrador,10,0.8
2015,"St. John's, Newfoundland and Labrador",,0.5
2015,Prince Edward Island,11,1.4
2015,Nova Scotia,12,3.4
2015,"Halifax, Nova Scotia",,2.0
2015,New Brunswick,13,2.2
2015,"Moncton, New Brunswick",,1.3
2015,"Saint John, New Brunswick",,2.3
2015,Quebec,24,3.3
2015,"Saguenay, Quebec",,3.0
2015,"Québec, Quebec",,3.5
2015,"Sherbrooke, Quebec",,4.1
2015,"Trois-Rivières, Quebec",,1.3
2015,"Montréal, Quebec",,4.2
2015,"Ottawa-Gatineau, Quebec part",,2.5
2015,Ontario,35,4.6
2015,"Ottawa-Gatineau, Ontario part",,7.4
2015,"Kingston, Ontario",,4.9
2015,"Peterborough, Ontario",,7.4
2015,"Toronto, Ontario",,5.4
2015,"Hamilton, Ontario",,10.0
2015,"St. Catharines–Niagara, Ontario",,2.0
2015,"Kitchener–Cambridge–Waterloo, Ontario",,9.4
2015,"Brantford, Ontario",,3.7
2015,"Guelph, Ontario",,0.0
2015,"London, Ontario",,4.0
2015,"Windsor, Ontario",,1.3
2015,"Barrie, Ontario",,0.0
2015,"Greater Sudbury, Ontario",,0.6
2015,"Thunder Bay, Ontario",,22.1
2015,Manitoba,46,2.4
2015,"Winnipeg, Manitoba",,3.1
2015,Saskatchewan,47,1.4
2015,"Regina, Saskatchewan",,0.4
2015,"Saskatoon, Saskatchewan",,2.3
2015,Alberta,48,4.6
2015,"Calgary, Alberta",,4.8
2015,"Edmonton, Alberta",,6.0
2015,British Columbia,59,3.4
2015,"Kelowna, British Columbia",,1.5
2015,"Abbotsford–Mission, British Columbia",,3.8
2015,"Vancouver, British Columbia",,4.6
2015,"Victoria, British Columbia",,1.9
2015,Yukon,60,0.0
2015,Northwest Territories,61,9.0
2015,Nunavut,62,5.5
2016,Newfoundland and Labrador,10,0.4
2016,"St. John's, Newfoundland and Labrador",,0.5
2016,Prince Edward Island,11,2.0
2016,Nova Scotia,12,2.2
2016,"Halifax, Nova Scotia",,0.7
2016,New Brunswick,13,2.6
2016,"Moncton, New Brunswick",,5.1
2016,"Saint John, New Brunswick",,3.4
2016,Quebec,24,4.0
2016,"Saguenay, Quebec",,1.8
2016,"Québec, Quebec",,7.1
2016,"Sherbrooke, Quebec",,2.0
2016,"Trois-Rivières, Quebec",,1.3
2016,"Montréal, Quebec",,4.7
2016,"Ottawa-Gatineau, Quebec part",,0.9
2016,Ontario,35,4.4
2016,"Ottawa-Gatineau, Ontario part",,9.4
2016,"Kingston, Ontario",,4.3
2016,"Belleville-Quinte West, Ontario",,0.0
2016,"Peterborough, Ontario",,4.0
2016,"Toronto, Ontario",,5.3
2016,"Hamilton, Ontario",,12.6
2016,"St. Catharines–Niagara, Ontario",,2.4
2016,"Kitchener–Cambridge–Waterloo, Ontario",,3.4
2016,"Brantford, Ontario",,3.6
2016,"Guelph, Ontario",,7.3
2016,"London, Ontario",,3.3
2016,"Windsor, Ontario",,3.2
2016,"Barrie, Ontario",,0.5
2016,"Greater Sudbury, Ontario",,1.2
2016,"Thunder Bay, Ontario",,8.2
2016,Manitoba,46,2.8
2016,"Winnipeg, Manitoba",,2.7
2016,Saskatchewan,47,2.6
2016,"Regina, Saskatchewan",,4.4
2016,"Saskatoon, Saskatchewan",,1.6
2016,Alberta,48,3.3
2016,"Lethbridge, Alberta",,1.7
2016,"Calgary, Alberta",,3.6
2016,"Edmonton, Alberta",,3.6
2016,British Columbia,59,4.3
2016,"Kelowna, British Columbia",,0.5
2016,"Abbotsford–Mission, British Columbia",,3.7
2016,"Vancouver, British Columbia",,5.6
2016,"Victoria, British Columbia",,4.4
2016,Yukon,60,5.2
2016,Northwest Territories,61,0.0
2016,Nunavut,62,24.3
2017,Newfoundland and Labrador,10,0.4
2017,"St. John's, Newfoundland and Labrador",,0.5
2017,Prince Edward Island,11,0.7
2017,Nova Scotia,12,2.2
2017,"Halifax, Nova Scotia",,2.6
2017,New Brunswick,13,3.2
2017,"Moncton, New Brunswick",,4.4
2017,"Saint John, New Brunswick",,1.7
2017,Quebec,24,5.9
