Year,data.Geography,data.Industry,Value
2010,data.Saskatchewan,data.Engineering construction,
2011,data.Saskatchewan,data.Engineering construction,
2012,data.Saskatchewan,data.Engineering construction,1823.0
2013,data.Saskatchewan,data.Engineering construction,1938.0
2014,data.Saskatchewan,data.Engineering construction,1942.0
2015,data.Saskatchewan,data.Engineering construction,1897.0
2016,data.Saskatchewan,data.Engineering construction,1337.0
2017,data.Saskatchewan,data.Engineering construction,1182.0
2018,data.Saskatchewan,data.Engineering construction,1013.0
2019,data.Saskatchewan,data.Engineering construction,1264.0
2007,data.Saskatchewan,data.Manufacturing,
2008,data.Saskatchewan,data.Manufacturing,
2009,data.Saskatchewan,data.Manufacturing,
2010,data.Saskatchewan,data.Manufacturing,
2011,data.Saskatchewan,data.Manufacturing,
2012,data.Saskatchewan,data.Manufacturing,479.0
2013,data.Saskatchewan,data.Manufacturing,390.0
2014,data.Saskatchewan,data.Manufacturing,388.0
2015,data.Saskatchewan,data.Manufacturing,956.0
2016,data.Saskatchewan,data.Manufacturing,486.0
2017,data.Saskatchewan,data.Manufacturing,353.0
2018,data.Saskatchewan,data.Manufacturing,649.0
2019,data.Saskatchewan,data.Manufacturing,559.0
2007,data.Saskatchewan,"data.Professional, scientific and technical services",
2008,data.Saskatchewan,"data.Professional, scientific and technical services",
2009,data.Saskatchewan,"data.Professional, scientific and technical services",
2010,data.Saskatchewan,"data.Professional, scientific and technical services",
2011,data.Saskatchewan,"data.Professional, scientific and technical services",
2012,data.Saskatchewan,"data.Professional, scientific and technical services",449.0
2013,data.Saskatchewan,"data.Professional, scientific and technical services",508.0
2014,data.Saskatchewan,"data.Professional, scientific and technical services",561.0
2015,data.Saskatchewan,"data.Professional, scientific and technical services",582.0
2016,data.Saskatchewan,"data.Professional, scientific and technical services",637.0
2017,data.Saskatchewan,"data.Professional, scientific and technical services",1067.0
2018,data.Saskatchewan,"data.Professional, scientific and technical services",653.0
2019,data.Saskatchewan,"data.Professional, scientific and technical services",761.0
2007,data.Saskatchewan,data.Other industries,
2008,data.Saskatchewan,data.Other industries,
2009,data.Saskatchewan,data.Other industries,
2010,data.Saskatchewan,data.Other industries,
2011,data.Saskatchewan,data.Other industries,
2012,data.Saskatchewan,data.Other industries,1559.0
2013,data.Saskatchewan,data.Other industries,1533.0
2014,data.Saskatchewan,data.Other industries,1689.0
2015,data.Saskatchewan,data.Other industries,1883.0
2016,data.Saskatchewan,data.Other industries,1914.0
2017,data.Saskatchewan,data.Other industries,2366.0
2018,data.Saskatchewan,data.Other industries,1939.0
2019,data.Saskatchewan,data.Other industries,1946.0
2007,data.Alberta,"data.Total, all clean technology industries",
2008,data.Alberta,"data.Total, all clean technology industries",
2009,data.Alberta,"data.Total, all clean technology industries",
2010,data.Alberta,"data.Total, all clean technology industries",
2011,data.Alberta,"data.Total, all clean technology industries",
2012,data.Alberta,"data.Total, all clean technology industries",16822.0
2013,data.Alberta,"data.Total, all clean technology industries",18337.0
2014,data.Alberta,"data.Total, all clean technology industries",18913.0
2015,data.Alberta,"data.Total, all clean technology industries",18889.0
2016,data.Alberta,"data.Total, all clean technology industries",20086.0
2017,data.Alberta,"data.Total, all clean technology industries",23209.0
2018,data.Alberta,"data.Total, all clean technology industries",20632.0
2019,data.Alberta,"data.Total, all clean technology industries",21522.0
2007,data.Alberta,data.Engineering construction,
2008,data.Alberta,data.Engineering construction,
2009,data.Alberta,data.Engineering construction,
2010,data.Alberta,data.Engineering construction,
2011,data.Alberta,data.Engineering construction,
2012,data.Alberta,data.Engineering construction,5651.0
2013,data.Alberta,data.Engineering construction,7092.0
2014,data.Alberta,data.Engineering construction,6160.0
2015,data.Alberta,data.Engineering construction,5384.0
2016,data.Alberta,data.Engineering construction,6511.0
2017,data.Alberta,data.Engineering construction,6514.0
2018,data.Alberta,data.Engineering construction,6410.0
2019,data.Alberta,data.Engineering construction,6879.0
2007,data.Alberta,data.Manufacturing,
2008,data.Alberta,data.Manufacturing,
2009,data.Alberta,data.Manufacturing,
2010,data.Alberta,data.Manufacturing,
2011,data.Alberta,data.Manufacturing,
2012,data.Alberta,data.Manufacturing,1507.0
2013,data.Alberta,data.Manufacturing,1421.0
2014,data.Alberta,data.Manufacturing,1574.0
2015,data.Alberta,data.Manufacturing,1734.0
2016,data.Alberta,data.Manufacturing,1666.0
2017,data.Alberta,data.Manufacturing,2191.0
2018,data.Alberta,data.Manufacturing,2483.0
2019,data.Alberta,data.Manufacturing,2264.0
2007,data.Alberta,"data.Professional, scientific and technical services",
2008,data.Alberta,"data.Professional, scientific and technical services",
2009,data.Alberta,"data.Professional, scientific and technical services",
2010,data.Alberta,"data.Professional, scientific and technical services",
2011,data.Alberta,"data.Professional, scientific and technical services",
2012,data.Alberta,"data.Professional, scientific and technical services",4027.0
2013,data.Alberta,"data.Professional, scientific and technical services",4211.0
2014,data.Alberta,"data.Professional, scientific and technical services",4801.0
2015,data.Alberta,"data.Professional, scientific and technical services",5504.0
2016,data.Alberta,"data.Professional, scientific and technical services",5773.0
2017,data.Alberta,"data.Professional, scientific and technical services",7182.0
2018,data.Alberta,"data.Professional, scientific and technical services",5353.0
2019,data.Alberta,"data.Professional, scientific and technical services",5978.0
2007,data.Alberta,data.Other industries,
2008,data.Alberta,data.Other industries,
2009,data.Alberta,data.Other industries,
2010,data.Alberta,data.Other industries,
2011,data.Alberta,data.Other industries,
2012,data.Alberta,data.Other industries,5637.0
2013,data.Alberta,data.Other industries,5613.0
2014,data.Alberta,data.Other industries,6378.0
2015,data.Alberta,data.Other industries,6267.0
2016,data.Alberta,data.Other industries,6136.0
2017,data.Alberta,data.Other industries,7322.0
2018,data.Alberta,data.Other industries,6386.0
2019,data.Alberta,data.Other industries,6401.0
2007,data.British Columbia,"data.Total, all clean technology industries",
2008,data.British Columbia,"data.Total, all clean technology industries",
2009,data.British Columbia,"data.Total, all clean technology industries",
2010,data.British Columbia,"data.Total, all clean technology industries",
2011,data.British Columbia,"data.Total, all clean technology industries",
2012,data.British Columbia,"data.Total, all clean technology industries",22237.0
2013,data.British Columbia,"data.Total, all clean technology industries",21432.0
2014,data.British Columbia,"data.Total, all clean technology industries",21938.0
2015,data.British Columbia,"data.Total, all clean technology industries",22532.0
2016,data.British Columbia,"data.Total, all clean technology industries",23853.0
2017,data.British Columbia,"data.Total, all clean technology industries",27434.0
2018,data.British Columbia,"data.Total, all clean technology industries",25529.0
2019,data.British Columbia,"data.Total, all clean technology industries",27480.0
2007,data.British Columbia,data.Engineering construction,
2008,data.British Columbia,data.Engineering construction,
2009,data.British Columbia,data.Engineering construction,
2010,data.British Columbia,data.Engineering construction,
2011,data.British Columbia,data.Engineering construction,
2012,data.British Columbia,data.Engineering construction,8432.0
2013,data.British Columbia,data.Engineering construction,8065.0
2014,data.British Columbia,data.Engineering construction,7576.0
2015,data.British Columbia,data.Engineering construction,7102.0
2016,data.British Columbia,data.Engineering construction,7348.0
2017,data.British Columbia,data.Engineering construction,8439.0
2018,data.British Columbia,data.Engineering construction,6631.0
2019,data.British Columbia,data.Engineering construction,7267.0
2007,data.British Columbia,data.Manufacturing,
2008,data.British Columbia,data.Manufacturing,
2009,data.British Columbia,data.Manufacturing,
2010,data.British Columbia,data.Manufacturing,
2011,data.British Columbia,data.Manufacturing,
2012,data.British Columbia,data.Manufacturing,4333.0
2013,data.British Columbia,data.Manufacturing,4106.0
2014,data.British Columbia,data.Manufacturing,4177.0
2015,data.British Columbia,data.Manufacturing,4508.0
2016,data.British Columbia,data.Manufacturing,4713.0
2017,data.British Columbia,data.Manufacturing,5870.0
2018,data.British Columbia,data.Manufacturing,5195.0
2019,data.British Columbia,data.Manufacturing,5457.0
2007,data.British Columbia,"data.Professional, scientific and technical services",
2008,data.British Columbia,"data.Professional, scientific and technical services",
2009,data.British Columbia,"data.Professional, scientific and technical services",
2010,data.British Columbia,"data.Professional, scientific and technical services",
2011,data.British Columbia,"data.Professional, scientific and technical services",
2012,data.British Columbia,"data.Professional, scientific and technical services",3759.0
2013,data.British Columbia,"data.Professional, scientific and technical services",3731.0
2014,data.British Columbia,"data.Professional, scientific and technical services",4076.0
2015,data.British Columbia,"data.Professional, scientific and technical services",4630.0
2016,data.British Columbia,"data.Professional, scientific and technical services",5094.0
2017,data.British Columbia,"data.Professional, scientific and technical services",6005.0
2018,data.British Columbia,"data.Professional, scientific and technical services",6224.0
2019,data.British Columbia,"data.Professional, scientific and technical services",7335.0
2007,data.British Columbia,data.Other industries,
2008,data.British Columbia,data.Other industries,
2009,data.British Columbia,data.Other industries,
2010,data.British Columbia,data.Other industries,
2011,data.British Columbia,data.Other industries,
2012,data.British Columbia,data.Other industries,5713.0
2013,data.British Columbia,data.Other industries,5530.0
2014,data.British Columbia,data.Other industries,6109.0
2015,data.British Columbia,data.Other industries,6292.0
2016,data.British Columbia,data.Other industries,6698.0
2017,data.British Columbia,data.Other industries,7120.0
2018,data.British Columbia,data.Other industries,7479.0
2019,data.British Columbia,data.Other industries,7421.0
2007,data.Yukon,"data.Total, all clean technology industries",
2008,data.Yukon,"data.Total, all clean technology industries",
2009,data.Yukon,"data.Total, all clean technology industries",
2010,data.Yukon,"data.Total, all clean technology industries",
2011,data.Yukon,"data.Total, all clean technology industries",
2012,data.Yukon,"data.Total, all clean technology industries",178.0
2013,data.Yukon,"data.Total, all clean technology industries",151.0
2014,data.Yukon,"data.Total, all clean technology industries",192.0
2015,data.Yukon,"data.Total, all clean technology industries",143.0
2016,data.Yukon,"data.Total, all clean technology industries",127.0
2017,data.Yukon,"data.Total, all clean technology industries",131.0
2018,data.Yukon,"data.Total, all clean technology industries",119.0
2019,data.Yukon,"data.Total, all clean technology industries",125.0
2007,data.Yukon,data.Engineering construction,
2008,data.Yukon,data.Engineering construction,
2009,data.Yukon,data.Engineering construction,
2010,data.Yukon,data.Engineering construction,
2011,data.Yukon,data.Engineering construction,
2012,data.Yukon,data.Engineering construction,141.0
2013,data.Yukon,data.Engineering construction,120.0
2014,data.Yukon,data.Engineering construction,162.0
2015,data.Yukon,data.Engineering construction,118.0
2016,data.Yukon,data.Engineering construction,93.0
2017,data.Yukon,data.Engineering construction,85.0
2018,data.Yukon,data.Engineering construction,68.0
2019,data.Yukon,data.Engineering construction,74.0
2007,data.Yukon,data.Manufacturing,
2008,data.Yukon,data.Manufacturing,
2009,data.Yukon,data.Manufacturing,
2010,data.Yukon,data.Manufacturing,
2011,data.Yukon,data.Manufacturing,
2012,data.Yukon,data.Manufacturing,
2013,data.Yukon,data.Manufacturing,
2014,data.Yukon,data.Manufacturing,
2015,data.Yukon,data.Manufacturing,
2016,data.Yukon,data.Manufacturing,
2017,data.Yukon,data.Manufacturing,
2018,data.Yukon,data.Manufacturing,
2019,data.Yukon,data.Manufacturing,
2007,data.Yukon,"data.Professional, scientific and technical services",
2008,data.Yukon,"data.Professional, scientific and technical services",
2009,data.Yukon,"data.Professional, scientific and technical services",
2010,data.Yukon,"data.Professional, scientific and technical services",
2011,data.Yukon,"data.Professional, scientific and technical services",
2012,data.Yukon,"data.Professional, scientific and technical services",
2013,data.Yukon,"data.Professional, scientific and technical services",
2014,data.Yukon,"data.Professional, scientific and technical services",
2015,data.Yukon,"data.Professional, scientific and technical services",
2016,data.Yukon,"data.Professional, scientific and technical services",
2017,data.Yukon,"data.Professional, scientific and technical services",
2018,data.Yukon,"data.Professional, scientific and technical services",
2019,data.Yukon,"data.Professional, scientific and technical services",
2007,data.Yukon,data.Other industries,
2008,data.Yukon,data.Other industries,
2009,data.Yukon,data.Other industries,
2010,data.Yukon,data.Other industries,
2011,data.Yukon,data.Other industries,
2012,data.Yukon,data.Other industries,37.0
2013,data.Yukon,data.Other industries,31.0
2014,data.Yukon,data.Other industries,30.0
2015,data.Yukon,data.Other industries,25.0
2016,data.Yukon,data.Other industries,34.0
2017,data.Yukon,data.Other industries,46.0
2018,data.Yukon,data.Other industries,51.0
2019,data.Yukon,data.Other industries,51.0
2007,data.Northwest Territories,"data.Total, all clean technology industries",
2008,data.Northwest Territories,"data.Total, all clean technology industries",
2009,data.Northwest Territories,"data.Total, all clean technology industries",
2010,data.Northwest Territories,"data.Total, all clean technology industries",
2011,data.Northwest Territories,"data.Total, all clean technology industries",
2012,data.Northwest Territories,"data.Total, all clean technology industries",101.0
2013,data.Northwest Territories,"data.Total, all clean technology industries",111.0
2014,data.Northwest Territories,"data.Total, all clean technology industries",312.0
2015,data.Northwest Territories,"data.Total, all clean technology industries",753.0
2016,data.Northwest Territories,"data.Total, all clean technology industries",589.0
2017,data.Northwest Territories,"data.Total, all clean technology industries",192.0
2018,data.Northwest Territories,"data.Total, all clean technology industries",172.0
2019,data.Northwest Territories,"data.Total, all clean technology industries",184.0
2007,data.Northwest Territories,data.Engineering construction,
2008,data.Northwest Territories,data.Engineering construction,
2009,data.Northwest Territories,data.Engineering construction,
2010,data.Northwest Territories,data.Engineering construction,
2011,data.Northwest Territories,data.Engineering construction,
2012,data.Northwest Territories,data.Engineering construction,22.0
2013,data.Northwest Territories,data.Engineering construction,20.0
2014,data.Northwest Territories,data.Engineering construction,204.0
2015,data.Northwest Territories,data.Engineering construction,609.0
2016,data.Northwest Territories,data.Engineering construction,447.0
2017,data.Northwest Territories,data.Engineering construction,85.0
2018,data.Northwest Territories,data.Engineering construction,52.0
2019,data.Northwest Territories,data.Engineering construction,59.0
2007,data.Northwest Territories,data.Manufacturing,
2008,data.Northwest Territories,data.Manufacturing,
2009,data.Northwest Territories,data.Manufacturing,
2010,data.Northwest Territories,data.Manufacturing,
2011,data.Northwest Territories,data.Manufacturing,
2012,data.Northwest Territories,data.Manufacturing,
2013,data.Northwest Territories,data.Manufacturing,
2014,data.Northwest Territories,data.Manufacturing,
2015,data.Northwest Territories,data.Manufacturing,
2016,data.Northwest Territories,data.Manufacturing,
2017,data.Northwest Territories,data.Manufacturing,
2018,data.Northwest Territories,data.Manufacturing,
2019,data.Northwest Territories,data.Manufacturing,
2007,data.Northwest Territories,"data.Professional, scientific and technical services",
2008,data.Northwest Territories,"data.Professional, scientific and technical services",
2009,data.Northwest Territories,"data.Professional, scientific and technical services",
2010,data.Northwest Territories,"data.Professional, scientific and technical services",
2011,data.Northwest Territories,"data.Professional, scientific and technical services",
2012,data.Northwest Territories,"data.Professional, scientific and technical services",27.0
2013,data.Northwest Territories,"data.Professional, scientific and technical services",28.0
2014,data.Northwest Territories,"data.Professional, scientific and technical services",43.0
2015,data.Northwest Territories,"data.Professional, scientific and technical services",57.0
2016,data.Northwest Territories,"data.Professional, scientific and technical services",50.0
2017,data.Northwest Territories,"data.Professional, scientific and technical services",27.0
2018,data.Northwest Territories,"data.Professional, scientific and technical services",38.0
2019,data.Northwest Territories,"data.Professional, scientific and technical services",40.0
2007,data.Northwest Territories,data.Other industries,
2008,data.Northwest Territories,data.Other industries,
2009,data.Northwest Territories,data.Other industries,
2010,data.Northwest Territories,data.Other industries,
2011,data.Northwest Territories,data.Other industries,
2012,data.Northwest Territories,data.Other industries,52.0
2013,data.Northwest Territories,data.Other industries,63.0
2014,data.Northwest Territories,data.Other industries,65.0
2015,data.Northwest Territories,data.Other industries,87.0
2016,data.Northwest Territories,data.Other industries,92.0
2017,data.Northwest Territories,data.Other industries,80.0
2018,data.Northwest Territories,data.Other industries,82.0
2019,data.Northwest Territories,data.Other industries,85.0
2007,data.Nunavut,"data.Total, all clean technology industries",
2008,data.Nunavut,"data.Total, all clean technology industries",
2009,data.Nunavut,"data.Total, all clean technology industries",
2010,data.Nunavut,"data.Total, all clean technology industries",
2011,data.Nunavut,"data.Total, all clean technology industries",
2012,data.Nunavut,"data.Total, all clean technology industries",82.0
2013,data.Nunavut,"data.Total, all clean technology industries",67.0
2014,data.Nunavut,"data.Total, all clean technology industries",189.0
2015,data.Nunavut,"data.Total, all clean technology industries",74.0
2016,data.Nunavut,"data.Total, all clean technology industries",129.0
2017,data.Nunavut,"data.Total, all clean technology industries",83.0
2018,data.Nunavut,"data.Total, all clean technology industries",104.0
2019,data.Nunavut,"data.Total, all clean technology industries",85.0
2007,data.Nunavut,data.Engineering construction,
2008,data.Nunavut,data.Engineering construction,
2009,data.Nunavut,data.Engineering construction,
2010,data.Nunavut,data.Engineering construction,
2011,data.Nunavut,data.Engineering construction,
2012,data.Nunavut,data.Engineering construction,32.0
2013,data.Nunavut,data.Engineering construction,14.0
2014,data.Nunavut,data.Engineering construction,126.0
2015,data.Nunavut,data.Engineering construction,13.0
2016,data.Nunavut,data.Engineering construction,57.0
2017,data.Nunavut,data.Engineering construction,15.0
2018,data.Nunavut,data.Engineering construction,45.0
2019,data.Nunavut,data.Engineering construction,22.0
2007,data.Nunavut,data.Manufacturing,
2008,data.Nunavut,data.Manufacturing,
2009,data.Nunavut,data.Manufacturing,
2010,data.Nunavut,data.Manufacturing,
2011,data.Nunavut,data.Manufacturing,
2012,data.Nunavut,data.Manufacturing,
2013,data.Nunavut,data.Manufacturing,
2014,data.Nunavut,data.Manufacturing,
2015,data.Nunavut,data.Manufacturing,
2016,data.Nunavut,data.Manufacturing,
2017,data.Nunavut,data.Manufacturing,
2018,data.Nunavut,data.Manufacturing,
2019,data.Nunavut,data.Manufacturing,
2007,data.Nunavut,"data.Professional, scientific and technical services",
2008,data.Nunavut,"data.Professional, scientific and technical services",
2009,data.Nunavut,"data.Professional, scientific and technical services",
2010,data.Nunavut,"data.Professional, scientific and technical services",
2011,data.Nunavut,"data.Professional, scientific and technical services",
2012,data.Nunavut,"data.Professional, scientific and technical services",9.0
2013,data.Nunavut,"data.Professional, scientific and technical services",8.0
2014,data.Nunavut,"data.Professional, scientific and technical services",13.0
2015,data.Nunavut,"data.Professional, scientific and technical services",14.0
2016,data.Nunavut,"data.Professional, scientific and technical services",17.0
2017,data.Nunavut,"data.Professional, scientific and technical services",11.0
2018,data.Nunavut,"data.Professional, scientific and technical services",
2019,data.Nunavut,"data.Professional, scientific and technical services",
2007,data.Nunavut,data.Other industries,
2008,data.Nunavut,data.Other industries,
2009,data.Nunavut,data.Other industries,
2010,data.Nunavut,data.Other industries,
2011,data.Nunavut,data.Other industries,
2012,data.Nunavut,data.Other industries,41.0
2013,data.Nunavut,data.Other industries,45.0
2014,data.Nunavut,data.Other industries,50.0
2015,data.Nunavut,data.Other industries,47.0
2016,data.Nunavut,data.Other industries,55.0
2017,data.Nunavut,data.Other industries,57.0
2018,data.Nunavut,data.Other industries,59.0
2019,data.Nunavut,data.Other industries,63.0
