Year,data.Geography,GeoCode,Value
2015,,,57591
2016,,,57534
2017,,,58575
2018,,,59326
2019,,,59581
2020,,,55969
2021,,,58602
2022,,,59748
2015,data.Newfoundland and Labrador,10,61908
2015,data.Prince Edward Island,11,43910
2015,data.Nova Scotia,12,44663
2015,data.New Brunswick,13,45677
2015,data.Quebec,24,49000
2015,data.Ontario,35,57324
2015,data.Manitoba,46,52591
2015,data.Saskatchewan,47,69767
2015,data.Alberta,48,79354
2015,data.British Columbia,59,55508
2015,data.Yukon,60,70005
2015,data.Northwest Territories,61,102583
2015,data.Nunavut,62,69855
2016,data.Newfoundland and Labrador,10,62692
2016,data.Prince Edward Island,11,44162
2016,data.Nova Scotia,12,45103
2016,data.New Brunswick,13,45798
2016,data.Quebec,24,49487
2016,data.Ontario,35,57822
2016,data.Manitoba,46,52519
2016,data.Saskatchewan,47,68897
2016,data.Alberta,48,75785
2016,data.British Columbia,59,55936
2016,data.Yukon,60,73465
2016,data.Northwest Territories,61,100282
2016,data.Nunavut,62,72447
2017,data.Newfoundland and Labrador,10,63595
2017,data.Prince Edward Island,11,45352
2017,data.Nova Scotia,12,45490
2017,data.New Brunswick,13,46730
2017,data.Quebec,24,50486
2017,data.Ontario,35,58599
2017,data.Manitoba,46,53408
2017,data.Saskatchewan,47,69952
2017,data.Alberta,48,78412
2017,data.British Columbia,59,57209
2017,data.Yukon,60,72926
2017,data.Northwest Territories,61,103637
2017,data.Nunavut,62,80518
2018,data.Newfoundland and Labrador,10,62142
2018,data.Prince Edward Island,11,45357
2018,data.Nova Scotia,12,45815
2018,data.New Brunswick,13,47006
2018,data.Quebec,24,51299
2018,data.Ontario,35,59471
2018,data.Manitoba,46,53706
2018,data.Saskatchewan,47,70567
2018,data.Alberta,48,78966
2018,data.British Columbia,59,58192
2018,data.Yukon,60,73064
2018,data.Northwest Territories,61,105173
2018,data.Nunavut,62,82720
2019,data.Newfoundland and Labrador,10,64735
2019,data.Prince Edward Island,11,46357
2019,data.Nova Scotia,12,46717
2019,data.New Brunswick,13,47215
2019,data.Quebec,24,52154
2019,data.Ontario,35,59683
2019,data.Manitoba,46,53652
2019,data.Saskatchewan,47,69764
2019,data.Alberta,48,77899
2019,data.British Columbia,59,58669
2019,data.Yukon,60,70702
2019,data.Northwest Territories,61,101301
2019,data.Nunavut,62,87953
2020,data.Newfoundland and Labrador,10,61706
2020,data.Prince Edward Island,11,43991
2020,data.Nova Scotia,12,43989
2020,data.New Brunswick,13,45177
2020,data.Quebec,24,49286
2020,data.Ontario,35,56244
2020,data.Manitoba,46,51077
2020,data.Saskatchewan,47,66611
2020,data.Alberta,48,70953
2020,data.British Columbia,59,56138
2020,data.Yukon,60,70594
2020,data.Northwest Territories,61,92059
2020,data.Nunavut,62,88477
2021,data.Newfoundland and Labrador,10,62322
2021,data.Prince Edward Island,11,46813
2021,data.Nova Scotia,12,46086
2021,data.New Brunswick,13,47112
2021,data.Quebec,24,52472
2021,data.Ontario,35,58951
2021,data.Manitoba,46,51293
2021,data.Saskatchewan,47,66096
2021,data.Alberta,48,73815
2021,data.British Columbia,59,59530
2021,data.Yukon,60,74835
2021,data.Northwest Territories,61,95920
2021,data.Nunavut,62,95345
2022,data.Newfoundland and Labrador,10,60749
2022,data.Prince Edward Island,11,46696
2022,data.Nova Scotia,12,46231
2022,data.New Brunswick,13,46516
2022,data.Quebec,24,53172
2022,data.Ontario,35,60028
2022,data.Manitoba,46,52163
2022,data.Saskatchewan,47,69453
2022,data.Alberta,48,76145
2022,data.British Columbia,59,60277
2022,data.Yukon,60,77554
2022,data.Northwest Territories,61,98378
2022,data.Nunavut,62,94529
