Year,data.Geography,data.Sources of waste for disposal,GeoCode,Value
2002,data.British Columbia,data.All sources of waste for disposal,59,655.5
2002,data.British Columbia,data.Residential sources of waste for disposal,59,226.6
2002,data.British Columbia,data.Non-residential sources of waste for disposal,59,428.9
2002,"data.Yukon, Northwest Territories and Nunavut",data.All sources of waste for disposal,,
2002,"data.Yukon, Northwest Territories and Nunavut",data.Residential sources of waste for disposal,,
2002,"data.Yukon, Northwest Territories and Nunavut",data.Non-residential sources of waste for disposal,,
2004,data.Canada,data.Residential sources of waste for disposal,,280.6
2004,data.Canada,data.Non-residential sources of waste for disposal,,509.2
2004,data.Newfoundland and Labrador,data.All sources of waste for disposal,10,773.2
2004,data.Newfoundland and Labrador,data.Residential sources of waste for disposal,10,440.7
2004,data.Newfoundland and Labrador,data.Non-residential sources of waste for disposal,10,332.5
2004,data.Prince Edward Island,data.All sources of waste for disposal,11,
2004,data.Prince Edward Island,data.Residential sources of waste for disposal,11,
2004,data.Prince Edward Island,data.Non-residential sources of waste for disposal,11,
2004,data.Nova Scotia,data.All sources of waste for disposal,12,425.6
2004,data.Nova Scotia,data.Residential sources of waste for disposal,12,190.8
2004,data.Nova Scotia,data.Non-residential sources of waste for disposal,12,234.9
2004,data.New Brunswick,data.All sources of waste for disposal,13,590.0
2004,data.New Brunswick,data.Residential sources of waste for disposal,13,277.7
2004,data.New Brunswick,data.Non-residential sources of waste for disposal,13,312.3
2004,data.Quebec,data.All sources of waste for disposal,24,856.5
2004,data.Quebec,data.Residential sources of waste for disposal,24,293.1
2004,data.Quebec,data.Non-residential sources of waste for disposal,24,563.3
2004,data.Ontario,data.All sources of waste for disposal,35,791.6
2004,data.Ontario,data.Residential sources of waste for disposal,35,281.6
2004,data.Ontario,data.Non-residential sources of waste for disposal,35,510.0
2004,data.Manitoba,data.All sources of waste for disposal,46,791.1
2004,data.Manitoba,data.Residential sources of waste for disposal,46,384.1
2004,data.Manitoba,data.Non-residential sources of waste for disposal,46,407.0
2004,data.Saskatchewan,data.All sources of waste for disposal,47,797.1
2004,data.Saskatchewan,data.Residential sources of waste for disposal,47,280.2
2004,data.Saskatchewan,data.Non-residential sources of waste for disposal,47,516.9
2004,data.Alberta,data.All sources of waste for disposal,48,950.2
2004,data.Alberta,data.Residential sources of waste for disposal,48,291.3
2004,data.Alberta,data.Non-residential sources of waste for disposal,48,658.9
2004,data.British Columbia,data.All sources of waste for disposal,59,666.0
2004,data.British Columbia,data.Residential sources of waste for disposal,59,221.2
2004,data.British Columbia,data.Non-residential sources of waste for disposal,59,444.8
2004,"data.Yukon, Northwest Territories and Nunavut",data.All sources of waste for disposal,,
2004,"data.Yukon, Northwest Territories and Nunavut",data.Residential sources of waste for disposal,,
2004,"data.Yukon, Northwest Territories and Nunavut",data.Non-residential sources of waste for disposal,,
2006,data.Canada,data.Residential sources of waste for disposal,,299.3
2006,data.Canada,data.Non-residential sources of waste for disposal,,511.8
2006,data.Newfoundland and Labrador,data.All sources of waste for disposal,10,839.8
2006,data.Newfoundland and Labrador,data.Residential sources of waste for disposal,10,445.8
2006,data.Newfoundland and Labrador,data.Non-residential sources of waste for disposal,10,394.0
2006,data.Prince Edward Island,data.All sources of waste for disposal,11,
2006,data.Prince Edward Island,data.Residential sources of waste for disposal,11,
2006,data.Prince Edward Island,data.Non-residential sources of waste for disposal,11,
2006,data.Nova Scotia,data.All sources of waste for disposal,12,382.9
2006,data.Nova Scotia,data.Residential sources of waste for disposal,12,180.6
2006,data.Nova Scotia,data.Non-residential sources of waste for disposal,12,202.3
2006,data.New Brunswick,data.All sources of waste for disposal,13,686.3
2006,data.New Brunswick,data.Residential sources of waste for disposal,13,353.5
2006,data.New Brunswick,data.Non-residential sources of waste for disposal,13,332.8
2006,data.Quebec,data.All sources of waste for disposal,24,892.1
2006,data.Quebec,data.Residential sources of waste for disposal,24,390.5
2006,data.Quebec,data.Non-residential sources of waste for disposal,24,501.6
2006,data.Ontario,data.All sources of waste for disposal,35,766.9
2006,data.Ontario,data.Residential sources of waste for disposal,35,269.4
2006,data.Ontario,data.Non-residential sources of waste for disposal,35,497.5
2006,data.Manitoba,data.All sources of waste for disposal,46,764.0
2006,data.Manitoba,data.Residential sources of waste for disposal,46,359.3
2006,data.Manitoba,data.Non-residential sources of waste for disposal,46,404.7
2006,data.Saskatchewan,data.All sources of waste for disposal,47,840.2
2006,data.Saskatchewan,data.Residential sources of waste for disposal,47,298.4
2006,data.Saskatchewan,data.Non-residential sources of waste for disposal,47,541.9
2006,data.Alberta,data.All sources of waste for disposal,48,1116.5
2006,data.Alberta,data.Residential sources of waste for disposal,48,284.6
2006,data.Alberta,data.Non-residential sources of waste for disposal,48,831.9
2006,data.British Columbia,data.All sources of waste for disposal,59,687.7
2006,data.British Columbia,data.Residential sources of waste for disposal,59,225.6
2006,data.British Columbia,data.Non-residential sources of waste for disposal,59,462.1
2006,"data.Yukon, Northwest Territories and Nunavut",data.All sources of waste for disposal,,
2006,"data.Yukon, Northwest Territories and Nunavut",data.Residential sources of waste for disposal,,
2006,"data.Yukon, Northwest Territories and Nunavut",data.Non-residential sources of waste for disposal,,
2008,data.Canada,data.Residential sources of waste for disposal,,281.5
2008,data.Canada,data.Non-residential sources of waste for disposal,,498.3
2008,data.Newfoundland and Labrador,data.All sources of waste for disposal,10,780.3
2008,data.Newfoundland and Labrador,data.Residential sources of waste for disposal,10,412.4
2008,data.Newfoundland and Labrador,data.Non-residential sources of waste for disposal,10,367.9
2008,data.Prince Edward Island,data.All sources of waste for disposal,11,
2008,data.Prince Edward Island,data.Residential sources of waste for disposal,11,
2008,data.Prince Edward Island,data.Non-residential sources of waste for disposal,11,
2008,data.Nova Scotia,data.All sources of waste for disposal,12,378.5
2008,data.Nova Scotia,data.Residential sources of waste for disposal,12,158.2
2008,data.Nova Scotia,data.Non-residential sources of waste for disposal,12,220.3
2008,data.New Brunswick,data.All sources of waste for disposal,13,642.0
2008,data.New Brunswick,data.Residential sources of waste for disposal,13,312.9
2008,data.New Brunswick,data.Non-residential sources of waste for disposal,13,329.0
2008,data.Quebec,data.All sources of waste for disposal,24,791.9
2008,data.Quebec,data.Residential sources of waste for disposal,24,367.0
2008,data.Quebec,data.Non-residential sources of waste for disposal,24,424.8
2008,data.Ontario,data.All sources of waste for disposal,35,747.6
2008,data.Ontario,data.Residential sources of waste for disposal,35,250.8
2008,data.Ontario,data.Non-residential sources of waste for disposal,35,496.8
2008,data.Manitoba,data.All sources of waste for disposal,46,789.3
2008,data.Manitoba,data.Residential sources of waste for disposal,46,334.2
2008,data.Manitoba,data.Non-residential sources of waste for disposal,46,455.1
2008,data.Saskatchewan,data.All sources of waste for disposal,47,887.5
2008,data.Saskatchewan,data.Residential sources of waste for disposal,47,284.8
2008,data.Saskatchewan,data.Non-residential sources of waste for disposal,47,602.7
2008,data.Alberta,data.All sources of waste for disposal,48,1153.4
2008,data.Alberta,data.Residential sources of waste for disposal,48,276.4
2008,data.Alberta,data.Non-residential sources of waste for disposal,48,877.0
2008,data.British Columbia,data.All sources of waste for disposal,59,646.4
2008,data.British Columbia,data.Residential sources of waste for disposal,59,220.8
2008,data.British Columbia,data.Non-residential sources of waste for disposal,59,425.6
2008,"data.Yukon, Northwest Territories and Nunavut",data.All sources of waste for disposal,,
2008,"data.Yukon, Northwest Territories and Nunavut",data.Residential sources of waste for disposal,,
2008,"data.Yukon, Northwest Territories and Nunavut",data.Non-residential sources of waste for disposal,,
2010,data.Canada,data.Residential sources of waste for disposal,,277.8
2010,data.Canada,data.Non-residential sources of waste for disposal,,455.9
2010,data.Newfoundland and Labrador,data.All sources of waste for disposal,10,755.2
2010,data.Newfoundland and Labrador,data.Residential sources of waste for disposal,10,
2010,data.Newfoundland and Labrador,data.Non-residential sources of waste for disposal,10,
2010,data.Prince Edward Island,data.All sources of waste for disposal,11,
2010,data.Prince Edward Island,data.Residential sources of waste for disposal,11,
