Year,Geography,Asset,GeoCode,Value
2019,Yukon,Sewage infrastructure,60,0.6167
2019,Yukon,Communications networks,60,0.1536
2019,Yukon,Electric power infrastructure,60,0.0726
2019,Yukon,Oil and gas engineering construction,60,
2019,Yukon,Other engineering construction,60,0.6167
2019,Yukon,Other machinery and equipment,60,0.1871
2019,Yukon,Transportation machinery and equipment,60,0.143
2019,Northwest Territories,Total assets,61,0.2817
2019,Northwest Territories,Commercial buildings,61,0.2798
2019,Northwest Territories,Institutional buildings,61,0.2798
2019,Northwest Territories,Marine engineering infrastructure,61,0.4665
2019,Northwest Territories,Transportation engineering infrastructure,61,0.2832
2019,Northwest Territories,Waterworks infrastructure,61,0.4665
2019,Northwest Territories,Sewage infrastructure,61,0.4665
2019,Northwest Territories,Communications networks,61,0.2463
2019,Northwest Territories,Electric power infrastructure,61,0.1754
2019,Northwest Territories,Oil and gas engineering construction,61,0.167
2019,Northwest Territories,Other engineering construction,61,0.4665
2019,Northwest Territories,Other machinery and equipment,61,0.1833
2019,Northwest Territories,Transportation machinery and equipment,61,0.1595
2019,Nunavut,Total assets,62,0.2111
2019,Nunavut,Commercial buildings,62,0.2494
2019,Nunavut,Institutional buildings,62,0.2494
2019,Nunavut,Marine engineering infrastructure,62,0.2053
2019,Nunavut,Transportation engineering infrastructure,62,0.2428
2019,Nunavut,Waterworks infrastructure,62,0.2053
2019,Nunavut,Sewage infrastructure,62,0.2053
2019,Nunavut,Communications networks,62,0.0531
2019,Nunavut,Electric power infrastructure,62,0.0483
2019,Nunavut,Oil and gas engineering construction,62,
2019,Nunavut,Other engineering construction,62,0.2053
2019,Nunavut,Other machinery and equipment,62,0.1283
2019,Nunavut,Transportation machinery and equipment,62,0.329
2020,Canada,Commercial buildings,,0.1553
2020,Canada,Institutional buildings,,0.1652
2020,Canada,Marine engineering infrastructure,,0.1961
2020,Canada,Transportation engineering infrastructure,,0.2823
2020,Canada,Waterworks infrastructure,,0.2439
2020,Canada,Sewage infrastructure,,0.2365
2020,Canada,Communications networks,,0.1979
2020,Canada,Electric power infrastructure,,0.1599
2020,Canada,Oil and gas engineering construction,,0.203
2020,Canada,Other engineering construction,,0.2466
2020,Canada,Other machinery and equipment,,0.1746
2020,Canada,Transportation machinery and equipment,,0.2161
2020,Newfoundland and Labrador,Total assets,10,0.1575
2020,Newfoundland and Labrador,Commercial buildings,10,0.1788
2020,Newfoundland and Labrador,Institutional buildings,10,0.1788
2020,Newfoundland and Labrador,Marine engineering infrastructure,10,0.1636
2020,Newfoundland and Labrador,Transportation engineering infrastructure,10,0.2513
2020,Newfoundland and Labrador,Waterworks infrastructure,10,0.1636
2020,Newfoundland and Labrador,Sewage infrastructure,10,0.1636
2020,Newfoundland and Labrador,Communications networks,10,0.2585
2020,Newfoundland and Labrador,Electric power infrastructure,10,0.1225
2020,Newfoundland and Labrador,Oil and gas engineering construction,10,0.1921
2020,Newfoundland and Labrador,Other engineering construction,10,0.1636
2020,Newfoundland and Labrador,Other machinery and equipment,10,0.1531
2020,Newfoundland and Labrador,Transportation machinery and equipment,10,0.119
2020,Prince Edward Island,Total assets,11,0.2129
2020,Prince Edward Island,Commercial buildings,11,0.1281
2020,Prince Edward Island,Institutional buildings,11,0.1281
2020,Prince Edward Island,Marine engineering infrastructure,11,0.2186
2020,Prince Edward Island,Transportation engineering infrastructure,11,0.3145
2020,Prince Edward Island,Waterworks infrastructure,11,0.2186
2020,Prince Edward Island,Sewage infrastructure,11,0.2186
2020,Prince Edward Island,Communications networks,11,0.1812
2020,Prince Edward Island,Electric power infrastructure,11,0.083
2020,Prince Edward Island,Oil and gas engineering construction,11,
2020,Prince Edward Island,Other engineering construction,11,0.2186
2020,Prince Edward Island,Other machinery and equipment,11,0.1541
2020,Prince Edward Island,Transportation machinery and equipment,11,0.1165
2020,Nova Scotia,Total assets,12,0.1528
2020,Nova Scotia,Commercial buildings,12,0.1959
2020,Nova Scotia,Institutional buildings,12,0.1959
2020,Nova Scotia,Marine engineering infrastructure,12,0.0837
2020,Nova Scotia,Transportation engineering infrastructure,12,0.1467
2020,Nova Scotia,Waterworks infrastructure,12,0.0837
2020,Nova Scotia,Sewage infrastructure,12,0.0837
2020,Nova Scotia,Communications networks,12,0.1928
2020,Nova Scotia,Electric power infrastructure,12,0.1096
2020,Nova Scotia,Oil and gas engineering construction,12,0.1787
2020,Nova Scotia,Other engineering construction,12,0.0837
2020,Nova Scotia,Other machinery and equipment,12,0.1385
2020,Nova Scotia,Transportation machinery and equipment,12,0.1394
2020,New Brunswick,Total assets,13,0.1279
2020,New Brunswick,Commercial buildings,13,0.1329
2020,New Brunswick,Institutional buildings,13,0.1329
2020,New Brunswick,Marine engineering infrastructure,13,0.1377
2020,New Brunswick,Transportation engineering infrastructure,13,0.1522
2020,New Brunswick,Waterworks infrastructure,13,0.1377
2020,New Brunswick,Sewage infrastructure,13,0.1377
2020,New Brunswick,Communications networks,13,0.13
2020,New Brunswick,Electric power infrastructure,13,0.0668
2020,New Brunswick,Oil and gas engineering construction,13,0.2974
2020,New Brunswick,Other engineering construction,13,0.1377
2020,New Brunswick,Other machinery and equipment,13,0.1267
2020,New Brunswick,Transportation machinery and equipment,13,0.141
2020,Quebec,Total assets,24,0.171
2020,Quebec,Commercial buildings,24,0.1578
2020,Quebec,Institutional buildings,24,0.1578
2020,Quebec,Marine engineering infrastructure,24,0.2456
2020,Quebec,Transportation engineering infrastructure,24,0.2072
2020,Quebec,Waterworks infrastructure,24,0.2456
2020,Quebec,Sewage infrastructure,24,0.2456
2020,Quebec,Communications networks,24,0.1424
2020,Quebec,Electric power infrastructure,24,0.0907
2020,Quebec,Oil and gas engineering construction,24,0.1414
2020,Quebec,Other engineering construction,24,0.2456
2020,Quebec,Other machinery and equipment,24,0.1151
2020,Quebec,Transportation machinery and equipment,24,0.0972
2020,Ontario,Total assets,35,0.2188
2020,Ontario,Commercial buildings,35,0.1268
2020,Ontario,Institutional buildings,35,0.1268
2020,Ontario,Marine engineering infrastructure,35,0.2384
2020,Ontario,Transportation engineering infrastructure,35,0.3064
2020,Ontario,Waterworks infrastructure,35,0.2384
2020,Ontario,Sewage infrastructure,35,0.2384
2020,Ontario,Communications networks,35,0.2156
2020,Ontario,Electric power infrastructure,35,0.1656
2020,Ontario,Oil and gas engineering construction,35,0.2239
2020,Ontario,Other engineering construction,35,0.2384
2020,Ontario,Other machinery and equipment,35,0.1802
2020,Ontario,Transportation machinery and equipment,35,0.2495
2020,Manitoba,Total assets,46,0.2456
2020,Manitoba,Commercial buildings,46,0.1943
2020,Manitoba,Institutional buildings,46,0.1943
2020,Manitoba,Marine engineering infrastructure,46,0.256
2020,Manitoba,Transportation engineering infrastructure,46,0.3149
2020,Manitoba,Waterworks infrastructure,46,0.256
2020,Manitoba,Sewage infrastructure,46,0.256
2020,Manitoba,Communications networks,46,0.2249
2020,Manitoba,Electric power infrastructure,46,0.2151
2020,Manitoba,Oil and gas engineering construction,46,0.5248
2020,Manitoba,Other engineering construction,46,0.256
2020,Manitoba,Other machinery and equipment,46,0.1802
2020,Manitoba,Transportation machinery and equipment,46,0.2493
2020,Saskatchewan,Total assets,47,0.3778
2020,Saskatchewan,Commercial buildings,47,0.2219
2020,Saskatchewan,Institutional buildings,47,0.2219
2020,Saskatchewan,Marine engineering infrastructure,47,0.3617
2020,Saskatchewan,Transportation engineering infrastructure,47,0.5136
2020,Saskatchewan,Waterworks infrastructure,47,0.3617
2020,Saskatchewan,Sewage infrastructure,47,0.3617
2020,Saskatchewan,Communications networks,47,0.43
2020,Saskatchewan,Electric power infrastructure,47,0.2728
2020,Saskatchewan,Oil and gas engineering construction,47,0.5313
2020,Saskatchewan,Other engineering construction,47,0.3617
2020,Saskatchewan,Other machinery and equipment,47,0.1988
2020,Saskatchewan,Transportation machinery and equipment,47,0.2781
2020,Alberta,Total assets,48,0.2621
2020,Alberta,Commercial buildings,48,0.2651
2020,Alberta,Institutional buildings,48,0.2651
2020,Alberta,Marine engineering infrastructure,48,0.2882
2020,Alberta,Transportation engineering infrastructure,48,0.3728
2020,Alberta,Waterworks infrastructure,48,0.2882
2020,Alberta,Sewage infrastructure,48,0.2882
2020,Alberta,Communications networks,48,0.2084
2020,Alberta,Electric power infrastructure,48,0.1972
2020,Alberta,Oil and gas engineering construction,48,0.2063
2020,Alberta,Other engineering construction,48,0.2882
2020,Alberta,Other machinery and equipment,48,0.1878
2020,Alberta,Transportation machinery and equipment,48,0.2772
2020,British Columbia,Total assets,59,0.1936
2020,British Columbia,Commercial buildings,59,0.1548
2020,British Columbia,Institutional buildings,59,0.1548
2020,British Columbia,Marine engineering infrastructure,59,0.1981
2020,British Columbia,Transportation engineering infrastructure,59,0.2465
2020,British Columbia,Waterworks infrastructure,59,0.1981
2020,British Columbia,Sewage infrastructure,59,0.1981
2020,British Columbia,Communications networks,59,0.1628
2020,British Columbia,Electric power infrastructure,59,0.1763
2020,British Columbia,Oil and gas engineering construction,59,0.1896
2020,British Columbia,Other engineering construction,59,0.1981
2020,British Columbia,Other machinery and equipment,59,0.1276
2020,British Columbia,Transportation machinery and equipment,59,0.2525
2020,Yukon,Total assets,60,0.1368
2020,Yukon,Commercial buildings,60,0.0963
2020,Yukon,Institutional buildings,60,0.0963
2020,Yukon,Marine engineering infrastructure,60,0.4412
2020,Yukon,Transportation engineering infrastructure,60,0.1321
2020,Yukon,Waterworks infrastructure,60,0.4412
2020,Yukon,Sewage infrastructure,60,0.4412
2020,Yukon,Communications networks,60,0.14
2020,Yukon,Electric power infrastructure,60,0.0662
2020,Yukon,Oil and gas engineering construction,60,
2020,Yukon,Other engineering construction,60,0.4412
2020,Yukon,Other machinery and equipment,60,0.1426
2020,Yukon,Transportation machinery and equipment,60,0.1297
2020,Northwest Territories,Total assets,61,0.2524
2020,Northwest Territories,Commercial buildings,61,0.2198
2020,Northwest Territories,Institutional buildings,61,0.2198
2020,Northwest Territories,Marine engineering infrastructure,61,0.4308
2020,Northwest Territories,Transportation engineering infrastructure,61,0.2694
2020,Northwest Territories,Waterworks infrastructure,61,0.4308
2020,Northwest Territories,Sewage infrastructure,61,0.4308
2020,Northwest Territories,Communications networks,61,0.2434
2020,Northwest Territories,Electric power infrastructure,61,0.1729
2020,Northwest Territories,Oil and gas engineering construction,61,0.1483
2020,Northwest Territories,Other engineering construction,61,0.4308
2020,Northwest Territories,Other machinery and equipment,61,0.1604
2020,Northwest Territories,Transportation machinery and equipment,61,0.1588
2020,Nunavut,Total assets,62,0.1729
2020,Nunavut,Commercial buildings,62,0.2082
2020,Nunavut,Institutional buildings,62,0.2082
2020,Nunavut,Marine engineering infrastructure,62,0.1912
2020,Nunavut,Transportation engineering infrastructure,62,0.2134
2020,Nunavut,Waterworks infrastructure,62,0.1912
2020,Nunavut,Sewage infrastructure,62,0.1912
2020,Nunavut,Communications networks,62,0.0353
2020,Nunavut,Electric power infrastructure,62,0.0442
2020,Nunavut,Oil and gas engineering construction,62,
2020,Nunavut,Other engineering construction,62,0.1912
2020,Nunavut,Other machinery and equipment,62,0.116
2020,Nunavut,Transportation machinery and equipment,62,0.286
2021,Canada,Commercial buildings,,0.1417
2021,Canada,Institutional buildings,,0.1484
2021,Canada,Marine engineering infrastructure,,0.1798
2021,Canada,Transportation engineering infrastructure,,0.2539
2021,Canada,Waterworks infrastructure,,0.2251
2021,Canada,Sewage infrastructure,,0.2183
2021,Canada,Communications networks,,0.1766
2021,Canada,Electric power infrastructure,,0.1431
2021,Canada,Oil and gas engineering construction,,0.1756
2021,Canada,Other engineering construction,,0.2313
2021,Canada,Other machinery and equipment,,0.1603
2021,Canada,Transportation machinery and equipment,,0.1936
2021,Newfoundland and Labrador,Total assets,10,0.1389
2021,Newfoundland and Labrador,Commercial buildings,10,0.1394
2021,Newfoundland and Labrador,Institutional buildings,10,0.1394
2021,Newfoundland and Labrador,Marine engineering infrastructure,10,0.1659
2021,Newfoundland and Labrador,Transportation engineering infrastructure,10,0.2135
2021,Newfoundland and Labrador,Waterworks infrastructure,10,0.1659
2021,Newfoundland and Labrador,Sewage infrastructure,10,0.1659
2021,Newfoundland and Labrador,Communications networks,10,0.2343
2021,Newfoundland and Labrador,Electric power infrastructure,10,0.1021
2021,Newfoundland and Labrador,Oil and gas engineering construction,10,
2021,Newfoundland and Labrador,Other engineering construction,10,0.1659
2021,Newfoundland and Labrador,Other machinery and equipment,10,0.1317
2021,Newfoundland and Labrador,Transportation machinery and equipment,10,0.1532
2021,Prince Edward Island,Total assets,11,0.1722
2021,Prince Edward Island,Commercial buildings,11,0.1169
2021,Prince Edward Island,Institutional buildings,11,0.1169
2021,Prince Edward Island,Marine engineering infrastructure,11,0.2222
2021,Prince Edward Island,Transportation engineering infrastructure,11,0.2553
2021,Prince Edward Island,Waterworks infrastructure,11,0.2222
2021,Prince Edward Island,Sewage infrastructure,11,0.2222
2021,Prince Edward Island,Communications networks,11,0.1422
2021,Prince Edward Island,Electric power infrastructure,11,0.0706
2021,Prince Edward Island,Oil and gas engineering construction,11,
2021,Prince Edward Island,Other engineering construction,11,0.2222
2021,Prince Edward Island,Other machinery and equipment,11,0.1373
2021,Prince Edward Island,Transportation machinery and equipment,11,0.1051
2021,Nova Scotia,Total assets,12,0.1391
2021,Nova Scotia,Commercial buildings,12,0.1817
2021,Nova Scotia,Institutional buildings,12,0.1817
2021,Nova Scotia,Marine engineering infrastructure,12,0.0844
2021,Nova Scotia,Transportation engineering infrastructure,12,0.1365
2021,Nova Scotia,Waterworks infrastructure,12,0.0844
2021,Nova Scotia,Sewage infrastructure,12,0.0844
2021,Nova Scotia,Communications networks,12,0.1837
2021,Nova Scotia,Electric power infrastructure,12,0.0965
2021,Nova Scotia,Oil and gas engineering construction,12,0.1407
2021,Nova Scotia,Other engineering construction,12,0.0844
2021,Nova Scotia,Other machinery and equipment,12,0.1247
2021,Nova Scotia,Transportation machinery and equipment,12,0.1423
2021,New Brunswick,Total assets,13,0.1318
2021,New Brunswick,Commercial buildings,13,0.1204
2021,New Brunswick,Institutional buildings,13,0.1204
2021,New Brunswick,Marine engineering infrastructure,13,0.1553
2021,New Brunswick,Transportation engineering infrastructure,13,0.1604
2021,New Brunswick,Waterworks infrastructure,13,0.1553
2021,New Brunswick,Sewage infrastructure,13,0.1553
2021,New Brunswick,Communications networks,13,0.1389
2021,New Brunswick,Electric power infrastructure,13,0.0683
2021,New Brunswick,Oil and gas engineering construction,13,0.1907
2021,New Brunswick,Other engineering construction,13,0.1553
2021,New Brunswick,Other machinery and equipment,13,0.103
2021,New Brunswick,Transportation machinery and equipment,13,0.1521
2021,Quebec,Total assets,24,0.1605
2021,Quebec,Commercial buildings,24,0.1495
2021,Quebec,Institutional buildings,24,0.1495
2021,Quebec,Marine engineering infrastructure,24,0.2296
2021,Quebec,Transportation engineering infrastructure,24,0.2009
2021,Quebec,Waterworks infrastructure,24,0.2296
2021,Quebec,Sewage infrastructure,24,0.2296
2021,Quebec,Communications networks,24,0.141
2021,Quebec,Electric power infrastructure,24,0.0869
2021,Quebec,Oil and gas engineering construction,24,0.1372
2021,Quebec,Other engineering construction,24,0.2296
2021,Quebec,Other machinery and equipment,24,0.1064
2021,Quebec,Transportation machinery and equipment,24,0.1127
2021,Ontario,Total assets,35,0.1966
2021,Ontario,Commercial buildings,35,0.1137
2021,Ontario,Institutional buildings,35,0.1137
2021,Ontario,Marine engineering infrastructure,35,0.2138
2021,Ontario,Transportation engineering infrastructure,35,0.2748
2021,Ontario,Waterworks infrastructure,35,0.2138
2021,Ontario,Sewage infrastructure,35,0.2138
2021,Ontario,Communications networks,35,0.1868
2021,Ontario,Electric power infrastructure,35,0.1469
2021,Ontario,Oil and gas engineering construction,35,0.1929
2021,Ontario,Other engineering construction,35,0.2138
2021,Ontario,Other machinery and equipment,35,0.1698
2021,Ontario,Transportation machinery and equipment,35,0.2199
2021,Manitoba,Total assets,46,0.2178
2021,Manitoba,Commercial buildings,46,0.1776
2021,Manitoba,Institutional buildings,46,0.1776
2021,Manitoba,Marine engineering infrastructure,46,0.2791
2021,Manitoba,Transportation engineering infrastructure,46,0.2633
2021,Manitoba,Waterworks infrastructure,46,0.2791
2021,Manitoba,Sewage infrastructure,46,0.2791
2021,Manitoba,Communications networks,46,0.2031
2021,Manitoba,Electric power infrastructure,46,0.1832
2021,Manitoba,Oil and gas engineering construction,46,0.4576
2021,Manitoba,Other engineering construction,46,0.2791
2021,Manitoba,Other machinery and equipment,46,0.1564
2021,Manitoba,Transportation machinery and equipment,46,0.2245
2021,Saskatchewan,Total assets,47,0.3352
2021,Saskatchewan,Commercial buildings,47,0.2128
2021,Saskatchewan,Institutional buildings,47,0.2128
2021,Saskatchewan,Marine engineering infrastructure,47,0.3384
2021,Saskatchewan,Transportation engineering infrastructure,47,0.4469
2021,Saskatchewan,Waterworks infrastructure,47,0.3384
2021,Saskatchewan,Sewage infrastructure,47,0.3384
2021,Saskatchewan,Communications networks,47,0.4182
2021,Saskatchewan,Electric power infrastructure,47,0.2593
2021,Saskatchewan,Oil and gas engineering construction,47,0.5085
2021,Saskatchewan,Other engineering construction,47,0.3384
2021,Saskatchewan,Other machinery and equipment,47,0.1749
2021,Saskatchewan,Transportation machinery and equipment,47,0.2366
2021,Alberta,Total assets,48,0.2173
2021,Alberta,Commercial buildings,48,0.2305
2021,Alberta,Institutional buildings,48,0.2305
2021,Alberta,Marine engineering infrastructure,48,0.2612
2021,Alberta,Transportation engineering infrastructure,48,0.3085
2021,Alberta,Waterworks infrastructure,48,0.2612
2021,Alberta,Sewage infrastructure,48,0.2612
2021,Alberta,Communications networks,48,0.1759
2021,Alberta,Electric power infrastructure,48,0.1692
2021,Alberta,Oil and gas engineering construction,48,0.1829
2021,Alberta,Other engineering construction,48,0.2612
2021,Alberta,Other machinery and equipment,48,0.1491
2021,Alberta,Transportation machinery and equipment,48,0.2225
2021,British Columbia,Total assets,59,0.1741
2021,British Columbia,Commercial buildings,59,0.1419
2021,British Columbia,Institutional buildings,59,0.1419
2021,British Columbia,Marine engineering infrastructure,59,0.1783
2021,British Columbia,Transportation engineering infrastructure,59,0.2255
2021,British Columbia,Waterworks infrastructure,59,0.1783
2021,British Columbia,Sewage infrastructure,59,0.1783
2021,British Columbia,Communications networks,59,0.1514
2021,British Columbia,Electric power infrastructure,59,0.1676
2021,British Columbia,Oil and gas engineering construction,59,0.1656
2021,British Columbia,Other engineering construction,59,0.1783
2021,British Columbia,Other machinery and equipment,59,0.1231
2021,British Columbia,Transportation machinery and equipment,59,0.2158
2021,Yukon,Total assets,60,0.1645
2021,Yukon,Commercial buildings,60,0.0895
2021,Yukon,Institutional buildings,60,0.0895
2021,Yukon,Marine engineering infrastructure,60,0.4511
2021,Yukon,Transportation engineering infrastructure,60,0.1451
2021,Yukon,Waterworks infrastructure,60,0.4511
2021,Yukon,Sewage infrastructure,60,0.4511
2021,Yukon,Communications networks,60,0.1659
2021,Yukon,Electric power infrastructure,60,0.0697
2021,Yukon,Oil and gas engineering construction,60,
2021,Yukon,Other engineering construction,60,0.4511
2021,Yukon,Other machinery and equipment,60,0.1114
2021,Yukon,Transportation machinery and equipment,60,0.1218
2021,Northwest Territories,Total assets,61,0.2676
2021,Northwest Territories,Commercial buildings,61,0.2324
2021,Northwest Territories,Institutional buildings,61,0.2324
2021,Northwest Territories,Marine engineering infrastructure,61,0.4073
2021,Northwest Territories,Transportation engineering infrastructure,61,0.2624
2021,Northwest Territories,Waterworks infrastructure,61,0.4073
2021,Northwest Territories,Sewage infrastructure,61,0.4073
2021,Northwest Territories,Communications networks,61,0.4028
2021,Northwest Territories,Electric power infrastructure,61,0.1721
2021,Northwest Territories,Oil and gas engineering construction,61,0.1442
2021,Northwest Territories,Other engineering construction,61,0.4073
2021,Northwest Territories,Other machinery and equipment,61,0.1436
2021,Northwest Territories,Transportation machinery and equipment,61,0.3458
2021,Nunavut,Total assets,62,0.1835
2021,Nunavut,Commercial buildings,62,0.2033
2021,Nunavut,Institutional buildings,62,0.2033
2021,Nunavut,Marine engineering infrastructure,62,0.2427
2021,Nunavut,Transportation engineering infrastructure,62,0.2787
2021,Nunavut,Waterworks infrastructure,62,0.2427
2021,Nunavut,Sewage infrastructure,62,0.2427
2021,Nunavut,Communications networks,62,0.1161
2021,Nunavut,Electric power infrastructure,62,0.0473
2021,Nunavut,Oil and gas engineering construction,62,
2021,Nunavut,Other engineering construction,62,0.2427
2021,Nunavut,Other machinery and equipment,62,0.0997
2021,Nunavut,Transportation machinery and equipment,62,0.2533
2022,Canada,Commercial buildings,,0.1267
2022,Canada,Institutional buildings,,0.1338
2022,Canada,Marine engineering infrastructure,,0.1683
2022,Canada,Transportation engineering infrastructure,,0.2229
2022,Canada,Waterworks infrastructure,,0.2074
2022,Canada,Sewage infrastructure,,0.2038
2022,Canada,Communications networks,,0.1546
2022,Canada,Electric power infrastructure,,0.129
2022,Canada,Oil and gas engineering construction,,0.1616
2022,Canada,Other engineering construction,,0.2082
2022,Canada,Other machinery and equipment,,0.15
2022,Canada,Transportation machinery and equipment,,0.1906
2022,Newfoundland and Labrador,Total assets,10,0.1409
2022,Newfoundland and Labrador,Commercial buildings,10,0.1299
2022,Newfoundland and Labrador,Institutional buildings,10,0.1299
2022,Newfoundland and Labrador,Marine engineering infrastructure,10,0.1517
2022,Newfoundland and Labrador,Transportation engineering infrastructure,10,0.1885
2022,Newfoundland and Labrador,Waterworks infrastructure,10,0.152
2022,Newfoundland and Labrador,Sewage infrastructure,10,0.152
2022,Newfoundland and Labrador,Communications networks,10,0.2046
2022,Newfoundland and Labrador,Electric power infrastructure,10,0.0921
2022,Newfoundland and Labrador,Oil and gas engineering construction,10,
2022,Newfoundland and Labrador,Other engineering construction,10,0.1519
2022,Newfoundland and Labrador,Other machinery and equipment,10,0.1157
2022,Newfoundland and Labrador,Transportation machinery and equipment,10,0.1068
2022,Prince Edward Island,Total assets,11,0.1419
2022,Prince Edward Island,Commercial buildings,11,0.1066
2022,Prince Edward Island,Institutional buildings,11,0.1083
2022,Prince Edward Island,Marine engineering infrastructure,11,0.2043
2022,Prince Edward Island,Transportation engineering infrastructure,11,0.2253
2022,Prince Edward Island,Waterworks infrastructure,11,0.2036
2022,Prince Edward Island,Sewage infrastructure,11,0.2037
2022,Prince Edward Island,Communications networks,11,0.1242
2022,Prince Edward Island,Electric power infrastructure,11,0.0636
2022,Prince Edward Island,Oil and gas engineering construction,11,
2022,Prince Edward Island,Other engineering construction,11,0.2035
2022,Prince Edward Island,Other machinery and equipment,11,0.1109
2022,Prince Edward Island,Transportation machinery and equipment,11,0.0953
2022,Nova Scotia,Total assets,12,0.123
2022,Nova Scotia,Commercial buildings,12,0.1657
2022,Nova Scotia,Institutional buildings,12,0.1682
2022,Nova Scotia,Marine engineering infrastructure,12,0.0774
2022,Nova Scotia,Transportation engineering infrastructure,12,0.1205
2022,Nova Scotia,Waterworks infrastructure,12,0.0773
2022,Nova Scotia,Sewage infrastructure,12,0.0773
2022,Nova Scotia,Communications networks,12,0.1604
2022,Nova Scotia,Electric power infrastructure,12,0.087
2022,Nova Scotia,Oil and gas engineering construction,12,0.1312
2022,Nova Scotia,Other engineering construction,12,0.0774
2022,Nova Scotia,Other machinery and equipment,12,0.1011
2022,Nova Scotia,Transportation machinery and equipment,12,0.1315
2022,New Brunswick,Total assets,13,0.1117
2022,New Brunswick,Commercial buildings,13,0.1067
2022,New Brunswick,Institutional buildings,13,0.1091
2022,New Brunswick,Marine engineering infrastructure,13,0.1422
2022,New Brunswick,Transportation engineering infrastructure,13,0.1416
2022,New Brunswick,Waterworks infrastructure,13,0.1422
2022,New Brunswick,Sewage infrastructure,13,0.1421
2022,New Brunswick,Communications networks,13,0.1213
2022,New Brunswick,Electric power infrastructure,13,0.0616
2022,New Brunswick,Oil and gas engineering construction,13,0.1782
2022,New Brunswick,Other engineering construction,13,0.1422
2022,New Brunswick,Other machinery and equipment,13,0.0973
2022,New Brunswick,Transportation machinery and equipment,13,0.1585
2022,Quebec,Total assets,24,0.1456
2022,Quebec,Commercial buildings,24,0.1323
2022,Quebec,Institutional buildings,24,0.1348
2022,Quebec,Marine engineering infrastructure,24,0.2104
2022,Quebec,Transportation engineering infrastructure,24,0.1773
2022,Quebec,Waterworks infrastructure,24,0.2103
2022,Quebec,Sewage infrastructure,24,0.2103
2022,Quebec,Communications networks,24,0.1232
2022,Quebec,Electric power infrastructure,24,0.0783
2022,Quebec,Oil and gas engineering construction,24,0.1278
2022,Quebec,Other engineering construction,24,0.2103
2022,Quebec,Other machinery and equipment,24,0.083
2022,Quebec,Transportation machinery and equipment,24,0.1088
2022,Ontario,Total assets,35,0.1739
2022,Ontario,Commercial buildings,35,0.098
2022,Ontario,Institutional buildings,35,0.1004
2022,Ontario,Marine engineering infrastructure,35,0.1958
2022,Ontario,Transportation engineering infrastructure,35,0.2425
2022,Ontario,Waterworks infrastructure,35,0.1958
2022,Ontario,Sewage infrastructure,35,0.1958
2022,Ontario,Communications networks,35,0.1632
2022,Ontario,Electric power infrastructure,35,0.1325
2022,Ontario,Oil and gas engineering construction,35,0.1797
2022,Ontario,Other engineering construction,35,0.1958
2022,Ontario,Other machinery and equipment,35,0.1616
2022,Ontario,Transportation machinery and equipment,35,0.2127
2022,Manitoba,Total assets,46,0.1988
2022,Manitoba,Commercial buildings,46,0.1639
2022,Manitoba,Institutional buildings,46,0.1647
2022,Manitoba,Marine engineering infrastructure,46,0.2556
2022,Manitoba,Transportation engineering infrastructure,46,0.2323
2022,Manitoba,Waterworks infrastructure,46,0.2556
2022,Manitoba,Sewage infrastructure,46,0.2554
2022,Manitoba,Communications networks,46,0.1776
2022,Manitoba,Electric power infrastructure,46,0.1651
2022,Manitoba,Oil and gas engineering construction,46,0.4263
2022,Manitoba,Other engineering construction,46,0.2527
2022,Manitoba,Other machinery and equipment,46,0.1305
2022,Manitoba,Transportation machinery and equipment,46,0.2159
2022,Saskatchewan,Total assets,47,0.3
2022,Saskatchewan,Commercial buildings,47,0.1954
2022,Saskatchewan,Institutional buildings,47,0.1968
2022,Saskatchewan,Marine engineering infrastructure,47,0.3095
2022,Saskatchewan,Transportation engineering infrastructure,47,0.3944
2022,Saskatchewan,Waterworks infrastructure,47,0.3099
2022,Saskatchewan,Sewage infrastructure,47,0.3105
2022,Saskatchewan,Communications networks,47,0.3653
2022,Saskatchewan,Electric power infrastructure,47,0.2338
2022,Saskatchewan,Oil and gas engineering construction,47,0.4736
2022,Saskatchewan,Other engineering construction,47,0.311
2022,Saskatchewan,Other machinery and equipment,47,0.1511
2022,Saskatchewan,Transportation machinery and equipment,47,0.2265
2022,Alberta,Total assets,48,0.2011
2022,Alberta,Commercial buildings,48,0.2078
2022,Alberta,Institutional buildings,48,0.212
2022,Alberta,Marine engineering infrastructure,48,0.2391
2022,Alberta,Transportation engineering infrastructure,48,0.2722
2022,Alberta,Waterworks infrastructure,48,0.2393
2022,Alberta,Sewage infrastructure,48,0.2393
2022,Alberta,Communications networks,48,0.1537
2022,Alberta,Electric power infrastructure,48,0.1525
2022,Alberta,Oil and gas engineering construction,48,0.1704
2022,Alberta,Other engineering construction,48,0.2393
2022,Alberta,Other machinery and equipment,48,0.1275
2022,Alberta,Transportation machinery and equipment,48,0.2134
2022,British Columbia,Total assets,59,0.1578
2022,British Columbia,Commercial buildings,59,0.1294
2022,British Columbia,Institutional buildings,59,0.1315
2022,British Columbia,Marine engineering infrastructure,59,0.1633
2022,British Columbia,Transportation engineering infrastructure,59,0.1989
2022,British Columbia,Waterworks infrastructure,59,0.1632
2022,British Columbia,Sewage infrastructure,59,0.1633
2022,British Columbia,Communications networks,59,0.1322
2022,British Columbia,Electric power infrastructure,59,0.1511
