Year,Value
2005-2007,60
2006-2008,63
2007-2009,64
2008-2010,67
2009-2011,65
2010-2012,64
2011-2013,64
2012-2014,64
2013-2015,70
2014-2016,77
2015-2017,77
2016-2018,68
