Year,Geography,Sources of waste for disposal,Value
2006,New Brunswick,Residential sources of waste for disposal,353.5
2008,New Brunswick,Residential sources of waste for disposal,312.9
2010,New Brunswick,Residential sources of waste for disposal,291.5
2012,New Brunswick,Residential sources of waste for disposal,284.5
2014,New Brunswick,Residential sources of waste for disposal,309.0
2016,New Brunswick,Residential sources of waste for disposal,295.9
2018,New Brunswick,Residential sources of waste for disposal,288.3
2002,Newfoundland and Labrador,All sources of waste for disposal,724.9
2004,Newfoundland and Labrador,All sources of waste for disposal,773.2
2006,Newfoundland and Labrador,All sources of waste for disposal,839.8
2008,Newfoundland and Labrador,All sources of waste for disposal,780.3
2010,Newfoundland and Labrador,All sources of waste for disposal,755.2
2012,Newfoundland and Labrador,All sources of waste for disposal,743.9
2014,Newfoundland and Labrador,All sources of waste for disposal,786.0
2016,Newfoundland and Labrador,All sources of waste for disposal,746.7
2018,Newfoundland and Labrador,All sources of waste for disposal,711.0
2002,Newfoundland and Labrador,Non-residential sources of waste for disposal,308.7
2004,Newfoundland and Labrador,Non-residential sources of waste for disposal,332.5
2006,Newfoundland and Labrador,Non-residential sources of waste for disposal,394.0
2008,Newfoundland and Labrador,Non-residential sources of waste for disposal,367.9
2018,Newfoundland and Labrador,Non-residential sources of waste for disposal,409.2
2002,Newfoundland and Labrador,Residential sources of waste for disposal,416.2
2004,Newfoundland and Labrador,Residential sources of waste for disposal,440.7
2006,Newfoundland and Labrador,Residential sources of waste for disposal,445.8
2008,Newfoundland and Labrador,Residential sources of waste for disposal,412.4
2018,Newfoundland and Labrador,Residential sources of waste for disposal,301.8
2002,Nova Scotia,All sources of waste for disposal,416.2
2004,Nova Scotia,All sources of waste for disposal,425.6
2006,Nova Scotia,All sources of waste for disposal,382.9
2008,Nova Scotia,All sources of waste for disposal,378.5
2010,Nova Scotia,All sources of waste for disposal,389.8
2012,Nova Scotia,All sources of waste for disposal,386.9
2014,Nova Scotia,All sources of waste for disposal,388.0
2016,Nova Scotia,All sources of waste for disposal,398.0
2018,Nova Scotia,All sources of waste for disposal,409.4
2002,Nova Scotia,Non-residential sources of waste for disposal,234.8
2004,Nova Scotia,Non-residential sources of waste for disposal,234.9
2006,Nova Scotia,Non-residential sources of waste for disposal,202.3
2008,Nova Scotia,Non-residential sources of waste for disposal,220.3
2010,Nova Scotia,Non-residential sources of waste for disposal,235.3
2012,Nova Scotia,Non-residential sources of waste for disposal,232.6
