Year,Géographie,Type de poste de recharge ou de ravitaillement,GeoCode,Value
2024,Colombie-Britannique,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,59,2517
2024,Colombie-Britannique,Électrique,59,2366
2024,Colombie-Britannique,Hydrogène,59,10
2024,Colombie-Britannique,Propane,59,132
2010,Canada,Biodiesel,,1
2010,Canada,Électrique,,8
2010,Canada,Propane,,107
2011,Canada,Électrique,,29
2011,Canada,Propane,,108
2012,Canada,Électrique,,69
2012,Canada,Propane,,113
2013,Canada,Gaz naturel comprimé,,2
2013,Canada,Électrique,,164
2013,Canada,Propane,,119
2014,Canada,Gaz naturel comprimé,,3
2014,Canada,Électrique,,289
2014,Canada,Propane,,124
2015,Canada,Gaz naturel comprimé,,7
2015,Canada,Électrique,,635
2015,Canada,Propane,,137
2016,Canada,Électrique,,851
2016,Canada,Hydrogène,,1
2016,Canada,Propane,,143
2017,Canada,Gaz naturel comprimé,,13
2017,Canada,Électrique,,1172
2017,Canada,Propane,,412
2018,Canada,Gaz naturel comprimé,,27
2018,Canada,Électrique,,1419
2018,Canada,Hydrogène,,3
2018,Canada,Propane,,629
2019,Canada,Gaz naturel comprimé,,30
2019,Canada,Électrique,,3561
2019,Canada,Hydrogène,,4
2019,Canada,Gaz naturel liquéfié,,1
2019,Canada,Propane,,647
2020,Canada,Gaz naturel comprimé,,31
2020,Canada,Électrique,,4422
2020,Canada,Hydrogène,,5
2020,Canada,Propane,,660
2021,Canada,Gaz naturel comprimé,,33
2021,Canada,Électrique,,5762
2021,Canada,Hydrogène,,6
2021,Canada,Propane,,668
2022,Canada,Gaz naturel comprimé,,41
2022,Canada,Électrique,,8143
2022,Canada,Hydrogène,,8
2022,Canada,Propane,,691
2023,Canada,Gaz naturel comprimé,,45
2023,Canada,Électrique,,11725
2023,Canada,Éthanol,,1
2023,Canada,Hydrogène,,16
2023,Canada,Propane,,700
2024,Canada,Gaz naturel comprimé,,46
2024,Canada,Électrique,,13263
2024,Canada,Hydrogène,,17
2024,Canada,Propane,,705
2010,Manitoba,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,46,3
2010,Manitoba,Électrique,46,1
2013,Manitoba,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,46,8
2013,Manitoba,Électrique,46,6
2014,Manitoba,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,46,10
2014,Manitoba,Électrique,46,8
2015,Manitoba,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,46,15
2015,Manitoba,Électrique,46,13
2016,Manitoba,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,46,16
2016,Manitoba,Électrique,46,14
2017,Manitoba,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,46,25
2017,Manitoba,Électrique,46,19
2017,Manitoba,Propane,46,6
2018,Manitoba,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,46,68
2018,Manitoba,Propane,46,49
2019,Manitoba,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,46,80
2019,Manitoba,Électrique,46,30
2019,Manitoba,Propane,46,50
2020,Manitoba,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,46,85
2020,Manitoba,Électrique,46,35
2021,Manitoba,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,46,99
2021,Manitoba,Électrique,46,49
2022,Manitoba,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,46,164
2022,Manitoba,Gaz naturel comprimé,46,1
2022,Manitoba,Électrique,46,113
2023,Manitoba,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,46,264
2023,Manitoba,Électrique,46,213
2024,Manitoba,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,46,340
2024,Manitoba,Électrique,46,289
2011,Nouveau-Brunswick,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,13,3
2011,Nouveau-Brunswick,Électrique,13,2
2012,Nouveau-Brunswick,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,13,7
2012,Nouveau-Brunswick,Électrique,13,6
2013,Nouveau-Brunswick,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,13,11
2013,Nouveau-Brunswick,Électrique,13,10
2014,Nouveau-Brunswick,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,13,14
2014,Nouveau-Brunswick,Électrique,13,13
2015,Nouveau-Brunswick,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,13,21
2015,Nouveau-Brunswick,Électrique,13,20
2016,Nouveau-Brunswick,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,13,26
2016,Nouveau-Brunswick,Électrique,13,25
2017,Nouveau-Brunswick,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,13,47
2017,Nouveau-Brunswick,Électrique,13,46
2018,Nouveau-Brunswick,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,13,52
2018,Nouveau-Brunswick,Électrique,13,50
2018,Nouveau-Brunswick,Propane,13,2
2019,Nouveau-Brunswick,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,13,75
2019,Nouveau-Brunswick,Électrique,13,73
2020,Nouveau-Brunswick,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,13,95
2020,Nouveau-Brunswick,Électrique,13,92
2020,Nouveau-Brunswick,Propane,13,3
2021,Nouveau-Brunswick,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,13,120
2021,Nouveau-Brunswick,Électrique,13,117
2022,Nouveau-Brunswick,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,13,154
2022,Nouveau-Brunswick,Électrique,13,149
2022,Nouveau-Brunswick,Propane,13,5
2023,Nouveau-Brunswick,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,13,232
2023,Nouveau-Brunswick,Électrique,13,227
2024,Nouveau-Brunswick,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,13,258
2024,Nouveau-Brunswick,Électrique,13,253
2012,Terre-Neuve-et-Labrador,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,10,1
2012,Terre-Neuve-et-Labrador,Électrique,10,1
2013,Terre-Neuve-et-Labrador,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,10,5
2013,Terre-Neuve-et-Labrador,Électrique,10,5
2014,Terre-Neuve-et-Labrador,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,10,8
2014,Terre-Neuve-et-Labrador,Électrique,10,8
2015,Terre-Neuve-et-Labrador,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,10,9
2015,Terre-Neuve-et-Labrador,Électrique,10,9
2016,Terre-Neuve-et-Labrador,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,10,15
2016,Terre-Neuve-et-Labrador,Électrique,10,15
2018,Terre-Neuve-et-Labrador,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,10,19
2018,Terre-Neuve-et-Labrador,Électrique,10,19
2019,Terre-Neuve-et-Labrador,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,10,20
2019,Terre-Neuve-et-Labrador,Électrique,10,20
2021,Terre-Neuve-et-Labrador,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,10,50
2021,Terre-Neuve-et-Labrador,Électrique,10,50
2022,Terre-Neuve-et-Labrador,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,10,97
2022,Terre-Neuve-et-Labrador,Électrique,10,97
2023,Terre-Neuve-et-Labrador,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,10,139
2023,Terre-Neuve-et-Labrador,Électrique,10,138
2023,Terre-Neuve-et-Labrador,Propane,10,1
2024,Terre-Neuve-et-Labrador,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,10,141
2024,Terre-Neuve-et-Labrador,Électrique,10,140
2015,Territoires du Nord-Ouest,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,61,1
2015,Territoires du Nord-Ouest,Propane,61,1
2020,Territoires du Nord-Ouest,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,61,2
2020,Territoires du Nord-Ouest,Électrique,61,1
2023,Territoires du Nord-Ouest,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,61,3
2023,Territoires du Nord-Ouest,Électrique,61,2
2024,Territoires du Nord-Ouest,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,61,4
2024,Territoires du Nord-Ouest,Électrique,61,3
2011,Nouvelle-Écosse,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,12,1
2011,Nouvelle-Écosse,Électrique,12,1
2012,Nouvelle-Écosse,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,12,3
2012,Nouvelle-Écosse,Électrique,12,3
2013,Nouvelle-Écosse,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,12,8
2013,Nouvelle-Écosse,Électrique,12,7
2013,Nouvelle-Écosse,Propane,12,1
2014,Nouvelle-Écosse,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,12,15
2014,Nouvelle-Écosse,Électrique,12,14
2015,Nouvelle-Écosse,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,12,28
2015,Nouvelle-Écosse,Électrique,12,26
2015,Nouvelle-Écosse,Propane,12,2
2016,Nouvelle-Écosse,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,12,31
2016,Nouvelle-Écosse,Électrique,12,29
2017,Nouvelle-Écosse,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,12,35
2017,Nouvelle-Écosse,Électrique,12,33
2018,Nouvelle-Écosse,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,12,37
2018,Nouvelle-Écosse,Électrique,12,35
2019,Nouvelle-Écosse,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,12,58
2019,Nouvelle-Écosse,Électrique,12,56
2020,Nouvelle-Écosse,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,12,67
2020,Nouvelle-Écosse,Électrique,12,65
2021,Nouvelle-Écosse,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,12,89
2021,Nouvelle-Écosse,Électrique,12,86
2021,Nouvelle-Écosse,Propane,12,3
2022,Nouvelle-Écosse,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,12,159
2022,Nouvelle-Écosse,Électrique,12,155
2022,Nouvelle-Écosse,Propane,12,4
2023,Nouvelle-Écosse,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,12,227
