Year,Géographie,Source,GeoCode,Value
1990,,,,594.7222434
1991,,,,587.9057939
1992,,,,605.2902488
1993,,,,607.6810769
1994,,,,628.1458692
1995,,,,645.4537665
1996,,,,666.6981081
1997,,,,682.2979879
1998,,,,688.613931
1999,,,,701.7587117
2000,,,,726.987283
2001,,,,718.3200432
2002,,,,724.2811296
2003,,,,743.2868544
2004,,,,745.1940475
2005,,,,741.1815369
2006,,,,734.5841374
2007,,,,756.8332581
2008,,,,739.0631516
2009,,,,697.7349388
2010,,,,709.6540607
2011,,,,720.82017
2012,,,,725.585889
2013,,,,732.1623016
2014,,,,729.5997834
2015,,,,732.5350157
2016,,,,715.0937692
2017,,,,725.0139736
2018,,,,740.0054652
2019,,,,738.2834461
2020,,,,672.3538152
1990,Canada,Exploitation pétrolière et gazière,,102.6495801
1991,Canada,Exploitation pétrolière et gazière,,102.1766304
1992,Canada,Exploitation pétrolière et gazière,,110.8194415
1993,Canada,Exploitation pétrolière et gazière,,117.530525
1994,Canada,Exploitation pétrolière et gazière,,121.5134547
1995,Canada,Exploitation pétrolière et gazière,,127.6022177
1996,Canada,Exploitation pétrolière et gazière,,135.3633617
1997,Canada,Exploitation pétrolière et gazière,,136.5043613
1998,Canada,Exploitation pétrolière et gazière,,140.8595952
1999,Canada,Exploitation pétrolière et gazière,,149.9382922
2000,Canada,Exploitation pétrolière et gazière,,155.0704505
2001,Canada,Exploitation pétrolière et gazière,,156.5816327
2002,Canada,Exploitation pétrolière et gazière,,161.5356027
2003,Canada,Exploitation pétrolière et gazière,,165.918248
2004,Canada,Exploitation pétrolière et gazière,,168.2222056
2005,Canada,Exploitation pétrolière et gazière,,171.3072507
2006,Canada,Exploitation pétrolière et gazière,,178.0282075
2007,Canada,Exploitation pétrolière et gazière,,183.0219626
2008,Canada,Exploitation pétrolière et gazière,,179.9139734
2009,Canada,Exploitation pétrolière et gazière,,176.9134363
2010,Canada,Exploitation pétrolière et gazière,,181.4448064
2011,Canada,Exploitation pétrolière et gazière,,187.2113585
2012,Canada,Exploitation pétrolière et gazière,,194.1717061
2013,Canada,Exploitation pétrolière et gazière,,198.8718623
2014,Canada,Exploitation pétrolière et gazière,,204.5293982
2015,Canada,Exploitation pétrolière et gazière,,204.8055239
2016,Canada,Exploitation pétrolière et gazière,,194.3576705
2017,Canada,Exploitation pétrolière et gazière,,196.4977944
2018,Canada,Exploitation pétrolière et gazière,,205.0171409
2019,Canada,Exploitation pétrolière et gazière,,203.4835442
2020,Canada,Exploitation pétrolière et gazière,,178.7973256
1990,Canada,Électricité,,94.7207666
1991,Canada,Électricité,,96.10144237
1992,Canada,Électricité,,102.5179855
1993,Canada,Électricité,,93.12469432
1994,Canada,Électricité,,95.14994432
1995,Canada,Électricité,,98.20743051
1996,Canada,Électricité,,98.19527145
1997,Canada,Électricité,,109.4361326
1998,Canada,Électricité,,122.1154077
1999,Canada,Électricité,,119.1416014
2000,Canada,Électricité,,129.0051132
2001,Canada,Électricité,,129.2362068
2002,Canada,Électricité,,123.5631768
2003,Canada,Électricité,,127.3253464
2004,Canada,Électricité,,118.9943043
2005,Canada,Électricité,,117.5453663
2006,Canada,Électricité,,111.5860054
2007,Canada,Électricité,,119.6036885
2008,Canada,Électricité,,108.8440582
2009,Canada,Électricité,,93.73043934
2010,Canada,Électricité,,94.61971901
2011,Canada,Électricité,,86.56575805
2012,Canada,Électricité,,83.25629306
2013,Canada,Électricité,,79.69232667
2014,Canada,Électricité,,76.2783234
2015,Canada,Électricité,,79.67595639
2016,Canada,Électricité,,74.26951647
2017,Canada,Électricité,,72.63048391
2018,Canada,Électricité,,62.76442967
2019,Canada,Électricité,,61.77806665
2020,Canada,Électricité,,56.18473299
1990,Canada,Transports,,120.4834305
1991,Canada,Transports,,114.317668
1992,Canada,Transports,,115.223505
1993,Canada,Transports,,116.7058174
1994,Canada,Transports,,121.3325641
1995,Canada,Transports,,122.1418004
1996,Canada,Transports,,125.7082914
1997,Canada,Transports,,131.4605986
1998,Canada,Transports,,137.2593897
1999,Canada,Transports,,143.0017722
2000,Canada,Transports,,144.938482
2001,Canada,Transports,,146.6375671
2002,Canada,Transports,,147.7341897
2003,Canada,Transports,,151.7211185
2004,Canada,Transports,,156.104578
2005,Canada,Transports,,160.0960332
2006,Canada,Transports,,161.0473367
2007,Canada,Transports,,164.429582
2008,Canada,Transports,,164.5065626
2009,Canada,Transports,,161.5188004
2010,Canada,Transports,,167.2251646
2011,Canada,Transports,,168.3335701
2012,Canada,Transports,,170.5282893
2013,Canada,Transports,,173.9919606
2014,Canada,Transports,,171.4625906
2015,Canada,Transports,,172.0637936
2016,Canada,Transports,,173.4694044
2017,Canada,Transports,,178.9183144
2018,Canada,Transports,,184.0545352
2019,Canada,Transports,,185.4630855
2020,Canada,Transports,,159.1662993
1990,Canada,Industrie lourde,,97.2152933
1991,Canada,Industrie lourde,,97.14868287
1992,Canada,Industrie lourde,,94.63427245
1993,Canada,Industrie lourde,,94.08968317
1994,Canada,Industrie lourde,,99.67125301
1995,Canada,Industrie lourde,,100.3841244
1996,Canada,Industrie lourde,,103.212054
1997,Canada,Industrie lourde,,102.6316122
1998,Canada,Industrie lourde,,97.56494497
1999,Canada,Industrie lourde,,94.72352641
2000,Canada,Industrie lourde,,94.07612171
2001,Canada,Industrie lourde,,88.33936881
2002,Canada,Industrie lourde,,89.0458514
2003,Canada,Industrie lourde,,88.26942926
2004,Canada,Industrie lourde,,92.17255672
2005,Canada,Industrie lourde,,87.16341018
2006,Canada,Industrie lourde,,87.02021574
2007,Canada,Industrie lourde,,85.95623016
2008,Canada,Industrie lourde,,84.52502135
2009,Canada,Industrie lourde,,71.52651658
2010,Canada,Industrie lourde,,74.55151739
2011,Canada,Industrie lourde,,80.39062009
2012,Canada,Industrie lourde,,80.15849353
2013,Canada,Industrie lourde,,78.57629664
2014,Canada,Industrie lourde,,79.37230134
2015,Canada,Industrie lourde,,77.76538247
2016,Canada,Industrie lourde,,76.29465967
2017,Canada,Industrie lourde,,75.52853937
2018,Canada,Industrie lourde,,77.48983152
2019,Canada,Industrie lourde,,77.35253172
2020,Canada,Industrie lourde,,71.79603901
1990,Canada,Bâtiments,,71.24808311
1991,Canada,Bâtiments,,70.57932477
1992,Canada,Bâtiments,,72.42277422
1993,Canada,Bâtiments,,75.9780908
1994,Canada,Bâtiments,,76.29471267
1995,Canada,Bâtiments,,77.03002514
1996,Canada,Bâtiments,,83.30593192
1997,Canada,Bâtiments,,80.79680422
1998,Canada,Bâtiments,,72.43670409
1999,Canada,Bâtiments,,76.30107737
2000,Canada,Bâtiments,,82.84317147
2001,Canada,Bâtiments,,79.46297601
2002,Canada,Bâtiments,,83.81565363
2003,Canada,Bâtiments,,89.0426142
2004,Canada,Bâtiments,,87.57561972
2005,Canada,Bâtiments,,83.67010254
2006,Canada,Bâtiments,,78.45534601
2007,Canada,Bâtiments,,84.28196559
2008,Canada,Bâtiments,,84.16417455
2009,Canada,Bâtiments,,82.57544998
2010,Canada,Bâtiments,,79.43748596
2011,Canada,Bâtiments,,84.68333966
2012,Canada,Bâtiments,,83.22080597
2013,Canada,Bâtiments,,84.3096308
2014,Canada,Bâtiments,,84.86150666
2015,Canada,Bâtiments,,83.81932509
2016,Canada,Bâtiments,,82.24329454
2017,Canada,Bâtiments,,86.6318212
2018,Canada,Bâtiments,,92.94826032
2019,Canada,Bâtiments,,92.00611649
2020,Canada,Bâtiments,,87.76239075
1990,Canada,Agriculture,,51.7258374
1991,Canada,Agriculture,,52.27084889
1992,Canada,Agriculture,,54.74348272
1993,Canada,Agriculture,,56.53513364
1994,Canada,Agriculture,,59.06730545
1995,Canada,Agriculture,,62.17314862
1996,Canada,Agriculture,,63.44228067
1997,Canada,Agriculture,,63.99978862
1998,Canada,Agriculture,,63.84190686
1999,Canada,Agriculture,,63.4517655
2000,Canada,Agriculture,,64.116883
2001,Canada,Agriculture,,62.86483322
2002,Canada,Agriculture,,62.93379094
2003,Canada,Agriculture,,65.1484707
2004,Canada,Agriculture,,65.93224947
2005,Canada,Agriculture,,66.44078871
2006,Canada,Agriculture,,64.99073522
2007,Canada,Agriculture,,65.0420794
2008,Canada,Agriculture,,64.15948713
2009,Canada,Agriculture,,61.93437375
2010,Canada,Agriculture,,61.85272288
2011,Canada,Agriculture,,62.36535046
2012,Canada,Agriculture,,63.71034811
2013,Canada,Agriculture,,65.37568919
2014,Canada,Agriculture,,63.77116435
2015,Canada,Agriculture,,64.64912636
2016,Canada,Agriculture,,64.94248436
2017,Canada,Agriculture,,64.33110434
2018,Canada,Agriculture,,66.25743317
2019,Canada,Agriculture,,66.66538797
2020,Canada,Agriculture,,68.65485545
1990,Canada,Déchets et autres,,24.41654205
1991,Canada,Déchets et autres,,24.50763764
1992,Canada,Déchets et autres,,25.02314775
1993,Canada,Déchets et autres,,25.49503497
1994,Canada,Déchets et autres,,26.09264023
1995,Canada,Déchets et autres,,26.41928319
1996,Canada,Déchets et autres,,26.02444673
1997,Canada,Déchets et autres,,25.78268694
1998,Canada,Déchets et autres,,26.6679835
1999,Canada,Déchets et autres,,27.58175629
2000,Canada,Déchets et autres,,28.28368622
2001,Canada,Déchets et autres,,28.24408986
2002,Canada,Déchets et autres,,28.81395467
2003,Canada,Déchets et autres,,28.84877462
2004,Canada,Déchets et autres,,28.29571906
2005,Canada,Déchets et autres,,28.7169905
2006,Canada,Déchets et autres,,28.68229682
2007,Canada,Déchets et autres,,28.2989682
2008,Canada,Déchets et autres,,27.83325501
2009,Canada,Déchets et autres,,26.9990876
2010,Canada,Déchets et autres,,26.06832099
2011,Canada,Déchets et autres,,26.09782705
2012,Canada,Déchets et autres,,25.95333045
2013,Canada,Déchets et autres,,26.20873217
2014,Canada,Déchets et autres,,25.9470449
2015,Canada,Déchets et autres,,26.20473919
2016,Canada,Déchets et autres,,26.25691954
2017,Canada,Déchets et autres,,26.72395914
2018,Canada,Déchets et autres,,26.99110652
2019,Canada,Déchets et autres,,27.16278978
2020,Canada,Déchets et autres,,27.35899077
1990,Canada,Production de charbon,,4.025333622
1991,Canada,Production de charbon,,4.174223732
1992,Canada,Production de charbon,,3.539944463
1993,Canada,Production de charbon,,4.161430214
1994,Canada,Production de charbon,,4.158380942
1995,Canada,Production de charbon,,4.044305601
1996,Canada,Production de charbon,,4.015838772
1997,Canada,Production de charbon,,4.003621868
1998,Canada,Production de charbon,,3.490787832
1999,Canada,Production de charbon,,3.126196495
2000,Canada,Production de charbon,,3.16283823
2001,Canada,Production de charbon,,3.249434816
2002,Canada,Production de charbon,,2.866246176
2003,Canada,Production de charbon,,2.722007313
2004,Canada,Production de charbon,,2.811433169
2005,Canada,Production de charbon,,2.348234068
2006,Canada,Production de charbon,,2.30566892
2007,Canada,Production de charbon,,2.557159294
2008,Canada,Production de charbon,,2.517248128
2009,Canada,Production de charbon,,2.423234093
2010,Canada,Production de charbon,,2.762660644
2011,Canada,Production de charbon,,2.669419036
2012,Canada,Production de charbon,,2.681778008
2013,Canada,Production de charbon,,2.856909984
2014,Canada,Production de charbon,,2.381204036
2015,Canada,Production de charbon,,2.267696011
2016,Canada,Production de charbon,,2.439263034
2017,Canada,Production de charbon,,2.233062288
2018,Canada,Production de charbon,,2.545095203
2019,Canada,Production de charbon,,2.545227705
2020,Canada,Production de charbon,,2.278278866
1990,Canada,"Fabrication légère, construction et ressources forestières",,28.23737679
1991,Canada,"Fabrication légère, construction et ressources forestières",,26.62933526
1992,Canada,"Fabrication légère, construction et ressources forestières",,26.36569524
1993,Canada,"Fabrication légère, construction et ressources forestières",,24.06066742
1994,Canada,"Fabrication légère, construction et ressources forestières",,24.86561381
1995,Canada,"Fabrication légère, construction et ressources forestières",,27.45143098
1996,Canada,"Fabrication légère, construction et ressources forestières",,27.43063149
1997,Canada,"Fabrication légère, construction et ressources forestières",,27.68238153
1998,Canada,"Fabrication légère, construction et ressources forestières",,24.37721124
1999,Canada,"Fabrication légère, construction et ressources forestières",,24.49272398
2000,Canada,"Fabrication légère, construction et ressources forestières",,25.49053663
2001,Canada,"Fabrication légère, construction et ressources forestières",,23.70393382
2002,Canada,"Fabrication légère, construction et ressources forestières",,23.97266354
2003,Canada,"Fabrication légère, construction et ressources forestières",,24.29084536
2004,Canada,"Fabrication légère, construction et ressources forestières",,25.08538133
2005,Canada,"Fabrication légère, construction et ressources forestières",,23.89336068
2006,Canada,"Fabrication légère, construction et ressources forestières",,22.46832512
2007,Canada,"Fabrication légère, construction et ressources forestières",,23.64162243
2008,Canada,"Fabrication légère, construction et ressources forestières",,22.59937131
2009,Canada,"Fabrication légère, construction et ressources forestières",,20.11360068
2010,Canada,"Fabrication légère, construction et ressources forestières",,21.69166277
2011,Canada,"Fabrication légère, construction et ressources forestières",,22.50292707
2012,Canada,"Fabrication légère, construction et ressources forestières",,21.90484454
2013,Canada,"Fabrication légère, construction et ressources forestières",,22.27889322
2014,Canada,"Fabrication légère, construction et ressources forestières",,20.99624997
2015,Canada,"Fabrication légère, construction et ressources forestières",,21.28347271
2016,Canada,"Fabrication légère, construction et ressources forestières",,20.82055667
2017,Canada,"Fabrication légère, construction et ressources forestières",,21.5188945
2018,Canada,"Fabrication légère, construction et ressources forestières",,21.9376328
2019,Canada,"Fabrication légère, construction et ressources forestières",,21.82669598
2020,Canada,"Fabrication légère, construction et ressources forestières",,20.35490249
1990,Terre-Neuve-et-Labrador,Inventaire provincial,10,9.589508556
1991,Terre-Neuve-et-Labrador,Inventaire provincial,10,8.527310314
1992,Terre-Neuve-et-Labrador,Inventaire provincial,10,8.441184237
1993,Terre-Neuve-et-Labrador,Inventaire provincial,10,8.58229487
1994,Terre-Neuve-et-Labrador,Inventaire provincial,10,7.652087166
1995,Terre-Neuve-et-Labrador,Inventaire provincial,10,8.615845269
1996,Terre-Neuve-et-Labrador,Inventaire provincial,10,8.724139228
1997,Terre-Neuve-et-Labrador,Inventaire provincial,10,9.273344229
1998,Terre-Neuve-et-Labrador,Inventaire provincial,10,10.59674414
1999,Terre-Neuve-et-Labrador,Inventaire provincial,10,9.632635907
2000,Terre-Neuve-et-Labrador,Inventaire provincial,10,9.192132041
2001,Terre-Neuve-et-Labrador,Inventaire provincial,10,9.899129798
2002,Terre-Neuve-et-Labrador,Inventaire provincial,10,11.92875739
2003,Terre-Neuve-et-Labrador,Inventaire provincial,10,11.75862626
2004,Terre-Neuve-et-Labrador,Inventaire provincial,10,11.04119023
2005,Terre-Neuve-et-Labrador,Inventaire provincial,10,10.45289761
2006,Terre-Neuve-et-Labrador,Inventaire provincial,10,10.06041207
2007,Terre-Neuve-et-Labrador,Inventaire provincial,10,11.03111036
2008,Terre-Neuve-et-Labrador,Inventaire provincial,10,10.56750251
2009,Terre-Neuve-et-Labrador,Inventaire provincial,10,10.01652801
2010,Terre-Neuve-et-Labrador,Inventaire provincial,10,9.949175154
2011,Terre-Neuve-et-Labrador,Inventaire provincial,10,10.26579316
2012,Terre-Neuve-et-Labrador,Inventaire provincial,10,9.809434052
2013,Terre-Neuve-et-Labrador,Inventaire provincial,10,9.928194542
2014,Terre-Neuve-et-Labrador,Inventaire provincial,10,10.91420861
2015,Terre-Neuve-et-Labrador,Inventaire provincial,10,10.99737827
2016,Terre-Neuve-et-Labrador,Inventaire provincial,10,11.21016971
2017,Terre-Neuve-et-Labrador,Inventaire provincial,10,11.1250512
2018,Terre-Neuve-et-Labrador,Inventaire provincial,10,10.931764
2019,Terre-Neuve-et-Labrador,Inventaire provincial,10,11.13796966
2020,Terre-Neuve-et-Labrador,Inventaire provincial,10,9.500844894
1990,Terre-Neuve-et-Labrador,Exploitation pétrolière et gazière,10,1.074096253
1991,Terre-Neuve-et-Labrador,Exploitation pétrolière et gazière,10,1.04164553
1992,Terre-Neuve-et-Labrador,Exploitation pétrolière et gazière,10,0.875095197
1993,Terre-Neuve-et-Labrador,Exploitation pétrolière et gazière,10,1.058225123
1994,Terre-Neuve-et-Labrador,Exploitation pétrolière et gazière,10,0.473245012
1995,Terre-Neuve-et-Labrador,Exploitation pétrolière et gazière,10,0.968590293
1996,Terre-Neuve-et-Labrador,Exploitation pétrolière et gazière,10,1.1362167
1997,Terre-Neuve-et-Labrador,Exploitation pétrolière et gazière,10,1.291707436
1998,Terre-Neuve-et-Labrador,Exploitation pétrolière et gazière,10,3.194127566
1999,Terre-Neuve-et-Labrador,Exploitation pétrolière et gazière,10,2.626767354
2000,Terre-Neuve-et-Labrador,Exploitation pétrolière et gazière,10,1.846352692
2001,Terre-Neuve-et-Labrador,Exploitation pétrolière et gazière,10,1.741691257
2002,Terre-Neuve-et-Labrador,Exploitation pétrolière et gazière,10,3.382902396
2003,Terre-Neuve-et-Labrador,Exploitation pétrolière et gazière,10,2.917021092
2004,Terre-Neuve-et-Labrador,Exploitation pétrolière et gazière,10,2.702773679
2005,Terre-Neuve-et-Labrador,Exploitation pétrolière et gazière,10,2.63626345
2006,Terre-Neuve-et-Labrador,Exploitation pétrolière et gazière,10,2.943808826
2007,Terre-Neuve-et-Labrador,Exploitation pétrolière et gazière,10,3.112460841
2008,Terre-Neuve-et-Labrador,Exploitation pétrolière et gazière,10,2.648284644
2009,Terre-Neuve-et-Labrador,Exploitation pétrolière et gazière,10,2.717661241
2010,Terre-Neuve-et-Labrador,Exploitation pétrolière et gazière,10,2.625072622
2011,Terre-Neuve-et-Labrador,Exploitation pétrolière et gazière,10,2.360323713
2012,Terre-Neuve-et-Labrador,Exploitation pétrolière et gazière,10,2.320632574
2013,Terre-Neuve-et-Labrador,Exploitation pétrolière et gazière,10,2.512095953
2014,Terre-Neuve-et-Labrador,Exploitation pétrolière et gazière,10,2.640600898
2015,Terre-Neuve-et-Labrador,Exploitation pétrolière et gazière,10,2.564546731
2016,Terre-Neuve-et-Labrador,Exploitation pétrolière et gazière,10,2.849333556
2017,Terre-Neuve-et-Labrador,Exploitation pétrolière et gazière,10,2.771487902
2018,Terre-Neuve-et-Labrador,Exploitation pétrolière et gazière,10,2.826095134
2019,Terre-Neuve-et-Labrador,Exploitation pétrolière et gazière,10,2.855973565
2020,Terre-Neuve-et-Labrador,Exploitation pétrolière et gazière,10,2.09147597
1990,Terre-Neuve-et-Labrador,Électricité,10,1.642123454
1991,Terre-Neuve-et-Labrador,Électricité,10,1.301597985
1992,Terre-Neuve-et-Labrador,Électricité,10,1.505085194
1993,Terre-Neuve-et-Labrador,Électricité,10,1.365953272
1994,Terre-Neuve-et-Labrador,Électricité,10,0.727827915
1995,Terre-Neuve-et-Labrador,Électricité,10,1.276526168
1996,Terre-Neuve-et-Labrador,Électricité,10,1.186410248
1997,Terre-Neuve-et-Labrador,Électricité,10,1.243315053
1998,Terre-Neuve-et-Labrador,Électricité,10,1.051138044
1999,Terre-Neuve-et-Labrador,Électricité,10,0.828781031
2000,Terre-Neuve-et-Labrador,Électricité,10,0.822639115
2001,Terre-Neuve-et-Labrador,Électricité,10,1.712051464
2002,Terre-Neuve-et-Labrador,Électricité,10,1.898404658
2003,Terre-Neuve-et-Labrador,Électricité,10,1.589398687
2004,Terre-Neuve-et-Labrador,Électricité,10,1.290092807
2005,Terre-Neuve-et-Labrador,Électricité,10,0.819745595
2006,Terre-Neuve-et-Labrador,Électricité,10,0.640465602
2007,Terre-Neuve-et-Labrador,Électricité,10,1.041207059
2008,Terre-Neuve-et-Labrador,Électricité,10,0.876721967
2009,Terre-Neuve-et-Labrador,Électricité,10,0.777807396
2010,Terre-Neuve-et-Labrador,Électricité,10,0.690960436
2011,Terre-Neuve-et-Labrador,Électricité,10,0.791244018
2012,Terre-Neuve-et-Labrador,Électricité,10,0.769604717
2013,Terre-Neuve-et-Labrador,Électricité,10,0.867985009
2014,Terre-Neuve-et-Labrador,Électricité,10,1.206883535
2015,Terre-Neuve-et-Labrador,Électricité,10,1.343026875
2016,Terre-Neuve-et-Labrador,Électricité,10,1.526892522
2017,Terre-Neuve-et-Labrador,Électricité,10,1.530967549
2018,Terre-Neuve-et-Labrador,Électricité,10,1.129083584
2019,Terre-Neuve-et-Labrador,Électricité,10,1.141552712
2020,Terre-Neuve-et-Labrador,Électricité,10,0.955248666
1990,Terre-Neuve-et-Labrador,Transports,10,3.001473731
1991,Terre-Neuve-et-Labrador,Transports,10,2.87571142
1992,Terre-Neuve-et-Labrador,Transports,10,2.843436952
1993,Terre-Neuve-et-Labrador,Transports,10,2.895114121
1994,Terre-Neuve-et-Labrador,Transports,10,2.899538241
1995,Terre-Neuve-et-Labrador,Transports,10,2.845699321
1996,Terre-Neuve-et-Labrador,Transports,10,2.911491762
1997,Terre-Neuve-et-Labrador,Transports,10,2.968566044
1998,Terre-Neuve-et-Labrador,Transports,10,3.045317279
1999,Terre-Neuve-et-Labrador,Transports,10,3.166652018
2000,Terre-Neuve-et-Labrador,Transports,10,3.295512404
2001,Terre-Neuve-et-Labrador,Transports,10,3.346573527
2002,Terre-Neuve-et-Labrador,Transports,10,3.461956906
2003,Terre-Neuve-et-Labrador,Transports,10,3.706822685
2004,Terre-Neuve-et-Labrador,Transports,10,3.519484662
2005,Terre-Neuve-et-Labrador,Transports,10,3.663352586
2006,Terre-Neuve-et-Labrador,Transports,10,3.526595031
2007,Terre-Neuve-et-Labrador,Transports,10,3.795136948
2008,Terre-Neuve-et-Labrador,Transports,10,3.931912371
2009,Terre-Neuve-et-Labrador,Transports,10,3.712270549
2010,Terre-Neuve-et-Labrador,Transports,10,3.746411282
2011,Terre-Neuve-et-Labrador,Transports,10,4.109268639
2012,Terre-Neuve-et-Labrador,Transports,10,4.111818144
2013,Terre-Neuve-et-Labrador,Transports,10,3.814773864
2014,Terre-Neuve-et-Labrador,Transports,10,4.143067466
2015,Terre-Neuve-et-Labrador,Transports,10,4.256269813
2016,Terre-Neuve-et-Labrador,Transports,10,4.252582927
2017,Terre-Neuve-et-Labrador,Transports,10,4.173248833
2018,Terre-Neuve-et-Labrador,Transports,10,4.257285364
2019,Terre-Neuve-et-Labrador,Transports,10,4.315607541
2020,Terre-Neuve-et-Labrador,Transports,10,3.886085706
1990,Terre-Neuve-et-Labrador,Industrie lourde,10,1.812104889
1991,Terre-Neuve-et-Labrador,Industrie lourde,10,1.296472878
1992,Terre-Neuve-et-Labrador,Industrie lourde,10,1.18555366
1993,Terre-Neuve-et-Labrador,Industrie lourde,10,1.188247471
1994,Terre-Neuve-et-Labrador,Industrie lourde,10,1.497798206
1995,Terre-Neuve-et-Labrador,Industrie lourde,10,1.510918445
1996,Terre-Neuve-et-Labrador,Industrie lourde,10,1.510321745
1997,Terre-Neuve-et-Labrador,Industrie lourde,10,1.68193846
1998,Terre-Neuve-et-Labrador,Industrie lourde,10,1.403065608
1999,Terre-Neuve-et-Labrador,Industrie lourde,10,1.1685924
2000,Terre-Neuve-et-Labrador,Industrie lourde,10,1.366189534
2001,Terre-Neuve-et-Labrador,Industrie lourde,10,1.192298395
2002,Terre-Neuve-et-Labrador,Industrie lourde,10,1.202379431
2003,Terre-Neuve-et-Labrador,Industrie lourde,10,1.469233012
2004,Terre-Neuve-et-Labrador,Industrie lourde,10,1.431597231
2005,Terre-Neuve-et-Labrador,Industrie lourde,10,1.583154355
2006,Terre-Neuve-et-Labrador,Industrie lourde,10,1.318072268
2007,Terre-Neuve-et-Labrador,Industrie lourde,10,1.210754607
2008,Terre-Neuve-et-Labrador,Industrie lourde,10,1.25383872
2009,Terre-Neuve-et-Labrador,Industrie lourde,10,1.198180536
2010,Terre-Neuve-et-Labrador,Industrie lourde,10,1.140656499
2011,Terre-Neuve-et-Labrador,Industrie lourde,10,1.036945404
2012,Terre-Neuve-et-Labrador,Industrie lourde,10,0.883413378
2013,Terre-Neuve-et-Labrador,Industrie lourde,10,0.82505568
2014,Terre-Neuve-et-Labrador,Industrie lourde,10,0.855083569
2015,Terre-Neuve-et-Labrador,Industrie lourde,10,0.786753167
2016,Terre-Neuve-et-Labrador,Industrie lourde,10,0.472933265
2017,Terre-Neuve-et-Labrador,Industrie lourde,10,0.585154523
2018,Terre-Neuve-et-Labrador,Industrie lourde,10,0.74240906
2019,Terre-Neuve-et-Labrador,Industrie lourde,10,0.867432433
2020,Terre-Neuve-et-Labrador,Industrie lourde,10,0.735728647
1990,Terre-Neuve-et-Labrador,Bâtiments,10,1.057190534
1991,Terre-Neuve-et-Labrador,Bâtiments,10,1.011634792
1992,Terre-Neuve-et-Labrador,Bâtiments,10,1.022892984
1993,Terre-Neuve-et-Labrador,Bâtiments,10,1.044378984
1994,Terre-Neuve-et-Labrador,Bâtiments,10,0.997434003
1995,Terre-Neuve-et-Labrador,Bâtiments,10,0.958502167
1996,Terre-Neuve-et-Labrador,Bâtiments,10,0.916972917
1997,Terre-Neuve-et-Labrador,Bâtiments,10,1.0002578
1998,Terre-Neuve-et-Labrador,Bâtiments,10,0.850497861
1999,Terre-Neuve-et-Labrador,Bâtiments,10,0.826409986
2000,Terre-Neuve-et-Labrador,Bâtiments,10,0.862000458
2001,Terre-Neuve-et-Labrador,Bâtiments,10,0.933723741
2002,Terre-Neuve-et-Labrador,Bâtiments,10,1.015814948
2003,Terre-Neuve-et-Labrador,Bâtiments,10,1.088118143
2004,Terre-Neuve-et-Labrador,Bâtiments,10,1.117809732
2005,Terre-Neuve-et-Labrador,Bâtiments,10,0.801247659
2006,Terre-Neuve-et-Labrador,Bâtiments,10,0.697449677
2007,Terre-Neuve-et-Labrador,Bâtiments,10,0.908300635
2008,Terre-Neuve-et-Labrador,Bâtiments,10,0.909651797
2009,Terre-Neuve-et-Labrador,Bâtiments,10,0.755683206
2010,Terre-Neuve-et-Labrador,Bâtiments,10,0.807379676
2011,Terre-Neuve-et-Labrador,Bâtiments,10,0.916243651
2012,Terre-Neuve-et-Labrador,Bâtiments,10,0.715679093
2013,Terre-Neuve-et-Labrador,Bâtiments,10,0.980161545
2014,Terre-Neuve-et-Labrador,Bâtiments,10,1.115680615
2015,Terre-Neuve-et-Labrador,Bâtiments,10,1.015318816
2016,Terre-Neuve-et-Labrador,Bâtiments,10,1.040700608
2017,Terre-Neuve-et-Labrador,Bâtiments,10,1.056766475
2018,Terre-Neuve-et-Labrador,Bâtiments,10,0.89470663
2019,Terre-Neuve-et-Labrador,Bâtiments,10,0.912736116
2020,Terre-Neuve-et-Labrador,Bâtiments,10,0.832131815
1990,Terre-Neuve-et-Labrador,Agriculture,10,0.080343119
1991,Terre-Neuve-et-Labrador,Agriculture,10,0.092841161
1992,Terre-Neuve-et-Labrador,Agriculture,10,0.114676307
1993,Terre-Neuve-et-Labrador,Agriculture,10,0.109779295
1994,Terre-Neuve-et-Labrador,Agriculture,10,0.111125328
1995,Terre-Neuve-et-Labrador,Agriculture,10,0.114156044
1996,Terre-Neuve-et-Labrador,Agriculture,10,0.113778695
1997,Terre-Neuve-et-Labrador,Agriculture,10,0.130347124
1998,Terre-Neuve-et-Labrador,Agriculture,10,0.138891937
1999,Terre-Neuve-et-Labrador,Agriculture,10,0.125846425
2000,Terre-Neuve-et-Labrador,Agriculture,10,0.114590162
2001,Terre-Neuve-et-Labrador,Agriculture,10,0.068323397
2002,Terre-Neuve-et-Labrador,Agriculture,10,0.071195622
2003,Terre-Neuve-et-Labrador,Agriculture,10,0.09693377
2004,Terre-Neuve-et-Labrador,Agriculture,10,0.082535136
2005,Terre-Neuve-et-Labrador,Agriculture,10,0.077350601
2006,Terre-Neuve-et-Labrador,Agriculture,10,0.079834593
2007,Terre-Neuve-et-Labrador,Agriculture,10,0.082087388
2008,Terre-Neuve-et-Labrador,Agriculture,10,0.085481431
2009,Terre-Neuve-et-Labrador,Agriculture,10,0.085047448
2010,Terre-Neuve-et-Labrador,Agriculture,10,0.103883905
2011,Terre-Neuve-et-Labrador,Agriculture,10,0.12618711
