Year,Geography,GeoCode,Value
2012,,,159744
2012,Newfoundland and Labrador,10,3263
2012,Prince Edward Island,11,345
2012,Nova Scotia,12,2325
2012,New Brunswick,13,3202
2012,Quebec,24,45067
2012,Ontario,35,57451
2012,Manitoba,46,6851
2012,Saskatchewan,47,4247
2012,Alberta,48,16725
2012,British Columbia,59,19898
2012,Yukon,60,186
2012,Northwest Territories,61,104
2012,Nunavut,62,80
2013,,,165104
2013,Newfoundland and Labrador,10,4924
2013,Prince Edward Island,11,1048
2013,Nova Scotia,12,2238
2013,New Brunswick,13,2844
2013,Quebec,24,44221
2013,Ontario,35,60079
2013,Manitoba,46,7858
2013,Saskatchewan,47,4314
2013,Alberta,48,18186
2013,British Columbia,59,19075
2013,Yukon,60,158
2013,Northwest Territories,61,99
2013,Nunavut,62,62
2014,,,173599
2014,Newfoundland and Labrador,10,7445
2014,Prince Edward Island,11,415
2014,Nova Scotia,12,2953
2014,New Brunswick,13,2980
2014,Quebec,24,40690
2014,Ontario,35,66011
2014,Manitoba,46,9653
2014,Saskatchewan,47,4529
2014,Alberta,48,18681
2014,British Columbia,59,19551
2014,Yukon,60,204
2014,Northwest Territories,61,304
2014,Nunavut,62,184
2015,,,195772
2015,Newfoundland and Labrador,10,10162
2015,Prince Edward Island,11,480
2015,Nova Scotia,12,3394
2015,New Brunswick,13,2700
2015,Quebec,24,46424
2015,Ontario,35,76741
2015,Manitoba,46,10998
2015,Saskatchewan,47,5290
2015,Alberta,48,18691
2015,British Columbia,59,19904
2015,Yukon,60,161
2015,Northwest Territories,61,755
2015,Nunavut,62,72
2016,,,185407
2016,Newfoundland and Labrador,10,9534
2016,Prince Edward Island,11,653
2016,Nova Scotia,12,2788
2016,New Brunswick,13,2951
2016,Quebec,24,42833
2016,Ontario,35,70701
2016,Manitoba,46,11588
2016,Saskatchewan,47,4411
2016,Alberta,48,19939
2016,British Columbia,59,19177
2016,Yukon,60,148
2016,Northwest Territories,61,553
2016,Nunavut,62,131
2017,,,188096
2017,Newfoundland and Labrador,10,9165
2017,Prince Edward Island,11,558
2017,Nova Scotia,12,3668
2017,New Brunswick,13,2901
2017,Quebec,24,41346
2017,Ontario,35,69354
2017,Manitoba,46,11862
2017,Saskatchewan,47,5068
2017,Alberta,48,21746
2017,British Columbia,59,22027
2017,Yukon,60,181
2017,Northwest Territories,61,119
2017,Nunavut,62,100
2018,,,197461
2018,Newfoundland and Labrador,10,8138
2018,Prince Edward Island,11,588
2018,Nova Scotia,12,3977
2018,New Brunswick,13,3339
2018,Quebec,24,46964
2018,Ontario,35,75014
2018,Manitoba,46,11930
2018,Saskatchewan,47,4766
2018,Alberta,48,19111
2018,British Columbia,59,23236
2018,Yukon,60,170
2018,Northwest Territories,61,131
2018,Nunavut,62,97
2019,,,196284
2019,Newfoundland and Labrador,10,4643
2019,Prince Edward Island,11,582
2019,Nova Scotia,12,3540
2019,New Brunswick,13,3658
2019,Quebec,24,43977
2019,Ontario,35,79873
2019,Manitoba,46,9860
2019,Saskatchewan,47,4425
2019,Alberta,48,16983
2019,British Columbia,59,28261
2019,Yukon,60,221
2019,Northwest Territories,61,118
2019,Nunavut,62,142
2020,,,182933
2020,Newfoundland and Labrador,10,3871
2020,Prince Edward Island,11,658
2020,Nova Scotia,12,3473
2020,New Brunswick,13,3889
2020,Quebec,24,44092
2020,Ontario,35,75336
2020,Manitoba,46,7362
2020,Saskatchewan,47,3996
2020,Alberta,48,14523
2020,British Columbia,59,25283
2020,Yukon,60,206
2020,Northwest Territories,61,125
2020,Nunavut,62,121
2021,,,205978
2021,Newfoundland and Labrador,10,4727
2021,Prince Edward Island,11,735
2021,Nova Scotia,12,3655
2021,New Brunswick,13,3765
2021,Quebec,24,50562
2021,Ontario,35,83416
2021,Manitoba,46,8290
2021,Saskatchewan,47,4137
2021,Alberta,48,17146
2021,British Columbia,59,28957
2021,Yukon,60,295
2021,Northwest Territories,61,153
2021,Nunavut,62,140
2022,,,218049
2022,Newfoundland and Labrador,10,4864
2022,Prince Edward Island,11,1088
2022,Nova Scotia,12,4852
2022,New Brunswick,13,3775
2022,Quebec,24,50475
2022,Ontario,35,86583
2022,Manitoba,46,7672
2022,Saskatchewan,47,4844
2022,Alberta,48,21359
2022,British Columbia,59,31837
2022,Yukon,60,321
2022,Northwest Territories,61,177
2022,Nunavut,62,201
2023,,,224030
2023,Newfoundland and Labrador,10,4907
2023,Prince Edward Island,11,1056
2023,Nova Scotia,12,5062
2023,New Brunswick,13,3933
2023,Quebec,24,51288
2023,Ontario,35,89164
2023,Manitoba,46,7928
2023,Saskatchewan,47,5143
2023,Alberta,48,21997
2023,British Columbia,59,32902
2023,Yukon,60,300
2023,Northwest Territories,61,160
2023,Nunavut,62,189
