Year,Value,GeoCode
2014/2015,85.46,
2015/2016,87.93,
2016/2017,86.96,
2017/2018,83.88,
2018/2019,79.57,
2019/2020,78.66,
2020/2021,61.56,
2021/2022,66.84,
2022/2023,71.59,
