Year,Value,GeoCode
2015,0.24,
2016,0.2499,
2017,0.2465,
2018,0.2401,
2019,0.2334,
2020,0.2116,
2021,0.1896,
2022,0.158,
2023,0.1589,
2024,0.1562,
2025,0.1529,
