Year,Value,GeoCode
2015,26.5,
2016,25.25,
2017,24.18,
2018,21.89,
2019,19.6,
2020,23.42,
2021,21.39,
2022,15.54,
2023,15.69,
2024,17.81,
2025,18.41,
