Year,Value,Units,GeoCode
2015,69300.0,Dollars constants de 2023,
2016,69200.0,Dollars constants de 2023,
2017,70900.0,Dollars constants de 2023,
2018,71200.0,Dollars constants de 2023,
2019,71500.0,Dollars constants de 2023,
2020,76600.0,Dollars constants de 2023,
2021,75900.0,Dollars constants de 2023,
2022,73300.0,Dollars constants de 2023,
2023,74200.0,Dollars constants de 2023,
