Year,Value,GeoCode
2010,109,
2011,121,
2012,150,
2013,224,
2014,340,
2015,668,
2016,851,
2017,1338,
2018,1784,
2019,3771,
2020,4558,
2021,5857,
2022,8095,
2023,11079,
2024,13480,
2025,15813,
2026,16270,
