Year,Géographie,Sources des déchets à des fins d'élimination,GeoCode,Value
2006,Île-du-Prince-Édouard,Toutes les sources de déchets à des fins d'élimination,11,
2006,Île-du-Prince-Édouard,Sources de déchets non résidentielles à des fins d'élimination,11,
2006,Île-du-Prince-Édouard,Sources de déchets résidentielles à des fins d'élimination,11,
2006,Nouvelle-Écosse,Toutes les sources de déchets à des fins d'élimination,12,382.9
2006,Nouvelle-Écosse,Sources de déchets non résidentielles à des fins d'élimination,12,180.6
2006,Nouvelle-Écosse,Sources de déchets résidentielles à des fins d'élimination,12,202.3
2006,Nouveau-Brunswick,Toutes les sources de déchets à des fins d'élimination,13,686.3
2006,Nouveau-Brunswick,Sources de déchets non résidentielles à des fins d'élimination,13,353.5
2006,Nouveau-Brunswick,Sources de déchets résidentielles à des fins d'élimination,13,332.8
2006,Québec,Toutes les sources de déchets à des fins d'élimination,24,892.1
2006,Québec,Sources de déchets non résidentielles à des fins d'élimination,24,390.5
2006,Québec,Sources de déchets résidentielles à des fins d'élimination,24,501.6
2006,Ontario,Toutes les sources de déchets à des fins d'élimination,35,766.9
2006,Ontario,Sources de déchets non résidentielles à des fins d'élimination,35,269.4
2006,Ontario,Sources de déchets résidentielles à des fins d'élimination,35,497.5
2006,Manitoba,Toutes les sources de déchets à des fins d'élimination,46,764.0
2006,Manitoba,Sources de déchets non résidentielles à des fins d'élimination,46,359.3
2006,Manitoba,Sources de déchets résidentielles à des fins d'élimination,46,404.7
2006,Saskatchewan,Toutes les sources de déchets à des fins d'élimination,47,840.2
2006,Saskatchewan,Sources de déchets non résidentielles à des fins d'élimination,47,298.4
2006,Saskatchewan,Sources de déchets résidentielles à des fins d'élimination,47,541.9
2006,Alberta,Toutes les sources de déchets à des fins d'élimination,48,1116.5
2006,Alberta,Sources de déchets non résidentielles à des fins d'élimination,48,284.6
2006,Alberta,Sources de déchets résidentielles à des fins d'élimination,48,831.9
2006,Colombie-Britannique,Toutes les sources de déchets à des fins d'élimination,59,687.7
2006,Colombie-Britannique,Sources de déchets non résidentielles à des fins d'élimination,59,225.6
2006,Colombie-Britannique,Sources de déchets résidentielles à des fins d'élimination,59,462.1
2006,"Yukon, Territoires du Nord-Ouest et Nunavut",Toutes les sources de déchets à des fins d'élimination,,
2006,"Yukon, Territoires du Nord-Ouest et Nunavut",Sources de déchets non résidentielles à des fins d'élimination,,
2006,"Yukon, Territoires du Nord-Ouest et Nunavut",Sources de déchets résidentielles à des fins d'élimination,,
2008,Canada,Sources de déchets non résidentielles à des fins d'élimination,,281.5
2008,Canada,Sources de déchets résidentielles à des fins d'élimination,,498.3
2008,Terre-Neuve-et-Labrador,Toutes les sources de déchets à des fins d'élimination,10,780.3
2008,Terre-Neuve-et-Labrador,Sources de déchets non résidentielles à des fins d'élimination,10,412.4
2008,Terre-Neuve-et-Labrador,Sources de déchets résidentielles à des fins d'élimination,10,367.9
2008,Île-du-Prince-Édouard,Toutes les sources de déchets à des fins d'élimination,11,
2008,Île-du-Prince-Édouard,Sources de déchets non résidentielles à des fins d'élimination,11,
2008,Île-du-Prince-Édouard,Sources de déchets résidentielles à des fins d'élimination,11,
2008,Nouvelle-Écosse,Toutes les sources de déchets à des fins d'élimination,12,378.5
2008,Nouvelle-Écosse,Sources de déchets non résidentielles à des fins d'élimination,12,158.2
2008,Nouvelle-Écosse,Sources de déchets résidentielles à des fins d'élimination,12,220.3
2008,Nouveau-Brunswick,Toutes les sources de déchets à des fins d'élimination,13,642.0
2008,Nouveau-Brunswick,Sources de déchets non résidentielles à des fins d'élimination,13,312.9
2008,Nouveau-Brunswick,Sources de déchets résidentielles à des fins d'élimination,13,329.0
2008,Québec,Toutes les sources de déchets à des fins d'élimination,24,791.9
2008,Québec,Sources de déchets non résidentielles à des fins d'élimination,24,367.0
2008,Québec,Sources de déchets résidentielles à des fins d'élimination,24,424.8
2008,Ontario,Toutes les sources de déchets à des fins d'élimination,35,747.6
2008,Ontario,Sources de déchets non résidentielles à des fins d'élimination,35,250.8
2008,Ontario,Sources de déchets résidentielles à des fins d'élimination,35,496.8
2008,Manitoba,Toutes les sources de déchets à des fins d'élimination,46,789.3
2008,Manitoba,Sources de déchets non résidentielles à des fins d'élimination,46,334.2
2008,Manitoba,Sources de déchets résidentielles à des fins d'élimination,46,455.1
2008,Saskatchewan,Toutes les sources de déchets à des fins d'élimination,47,887.5
2008,Saskatchewan,Sources de déchets non résidentielles à des fins d'élimination,47,284.8
2008,Saskatchewan,Sources de déchets résidentielles à des fins d'élimination,47,602.7
2008,Alberta,Toutes les sources de déchets à des fins d'élimination,48,1153.4
2008,Alberta,Sources de déchets non résidentielles à des fins d'élimination,48,276.4
2008,Alberta,Sources de déchets résidentielles à des fins d'élimination,48,877.0
2008,Colombie-Britannique,Toutes les sources de déchets à des fins d'élimination,59,646.4
2008,Colombie-Britannique,Sources de déchets non résidentielles à des fins d'élimination,59,220.8
2008,Colombie-Britannique,Sources de déchets résidentielles à des fins d'élimination,59,425.6
2008,"Yukon, Territoires du Nord-Ouest et Nunavut",Toutes les sources de déchets à des fins d'élimination,,
2008,"Yukon, Territoires du Nord-Ouest et Nunavut",Sources de déchets non résidentielles à des fins d'élimination,,
2008,"Yukon, Territoires du Nord-Ouest et Nunavut",Sources de déchets résidentielles à des fins d'élimination,,
2010,Canada,Sources de déchets non résidentielles à des fins d'élimination,,277.8
2010,Canada,Sources de déchets résidentielles à des fins d'élimination,,455.9
2010,Terre-Neuve-et-Labrador,Toutes les sources de déchets à des fins d'élimination,10,755.2
2010,Terre-Neuve-et-Labrador,Sources de déchets non résidentielles à des fins d'élimination,10,
2010,Terre-Neuve-et-Labrador,Sources de déchets résidentielles à des fins d'élimination,10,
2010,Île-du-Prince-Édouard,Toutes les sources de déchets à des fins d'élimination,11,
2010,Île-du-Prince-Édouard,Sources de déchets non résidentielles à des fins d'élimination,11,
2010,Île-du-Prince-Édouard,Sources de déchets résidentielles à des fins d'élimination,11,
2010,Nouvelle-Écosse,Toutes les sources de déchets à des fins d'élimination,12,389.8
2010,Nouvelle-Écosse,Sources de déchets non résidentielles à des fins d'élimination,12,154.5
2010,Nouvelle-Écosse,Sources de déchets résidentielles à des fins d'élimination,12,235.3
2010,Nouveau-Brunswick,Toutes les sources de déchets à des fins d'élimination,13,631.1
2010,Nouveau-Brunswick,Sources de déchets non résidentielles à des fins d'élimination,13,291.5
2010,Nouveau-Brunswick,Sources de déchets résidentielles à des fins d'élimination,13,339.7
2010,Québec,Toutes les sources de déchets à des fins d'élimination,24,730.9
2010,Québec,Sources de déchets non résidentielles à des fins d'élimination,24,359.8
2010,Québec,Sources de déchets résidentielles à des fins d'élimination,24,371.1
2010,Ontario,Toutes les sources de déchets à des fins d'élimination,35,704.0
2010,Ontario,Sources de déchets non résidentielles à des fins d'élimination,35,243.9
2010,Ontario,Sources de déchets résidentielles à des fins d'élimination,35,460.1
2010,Manitoba,Toutes les sources de déchets à des fins d'élimination,46,835.9
2010,Manitoba,Sources de déchets non résidentielles à des fins d'élimination,46,371.7
2010,Manitoba,Sources de déchets résidentielles à des fins d'élimination,46,464.2
2010,Saskatchewan,Toutes les sources de déchets à des fins d'élimination,47,891.4
2010,Saskatchewan,Sources de déchets non résidentielles à des fins d'élimination,47,269.8
2010,Saskatchewan,Sources de déchets résidentielles à des fins d'élimination,47,621.6
2010,Alberta,Toutes les sources de déchets à des fins d'élimination,48,1049.7
2010,Alberta,Sources de déchets non résidentielles à des fins d'élimination,48,292.9
2010,Alberta,Sources de déchets résidentielles à des fins d'élimination,48,756.8
2010,Colombie-Britannique,Toutes les sources de déchets à des fins d'élimination,59,595.3
2010,Colombie-Britannique,Sources de déchets non résidentielles à des fins d'élimination,59,213.6
2010,Colombie-Britannique,Sources de déchets résidentielles à des fins d'élimination,59,381.7
2010,"Yukon, Territoires du Nord-Ouest et Nunavut",Toutes les sources de déchets à des fins d'élimination,,
2010,"Yukon, Territoires du Nord-Ouest et Nunavut",Sources de déchets non résidentielles à des fins d'élimination,,
2010,"Yukon, Territoires du Nord-Ouest et Nunavut",Sources de déchets résidentielles à des fins d'élimination,,
2012,Canada,Sources de déchets non résidentielles à des fins d'élimination,,279.0
2012,Canada,Sources de déchets résidentielles à des fins d'élimination,,432.0
2012,Terre-Neuve-et-Labrador,Toutes les sources de déchets à des fins d'élimination,10,743.9
2012,Terre-Neuve-et-Labrador,Sources de déchets non résidentielles à des fins d'élimination,10,
2012,Terre-Neuve-et-Labrador,Sources de déchets résidentielles à des fins d'élimination,10,
2012,Île-du-Prince-Édouard,Toutes les sources de déchets à des fins d'élimination,11,
2012,Île-du-Prince-Édouard,Sources de déchets non résidentielles à des fins d'élimination,11,
2012,Île-du-Prince-Édouard,Sources de déchets résidentielles à des fins d'élimination,11,
2012,Nouvelle-Écosse,Toutes les sources de déchets à des fins d'élimination,12,386.9
2012,Nouvelle-Écosse,Sources de déchets non résidentielles à des fins d'élimination,12,154.3
2012,Nouvelle-Écosse,Sources de déchets résidentielles à des fins d'élimination,12,232.6
2012,Nouveau-Brunswick,Toutes les sources de déchets à des fins d'élimination,13,650.0
2012,Nouveau-Brunswick,Sources de déchets non résidentielles à des fins d'élimination,13,284.5
2012,Nouveau-Brunswick,Sources de déchets résidentielles à des fins d'élimination,13,365.5
2012,Québec,Toutes les sources de déchets à des fins d'élimination,24,692.8
2012,Québec,Sources de déchets non résidentielles à des fins d'élimination,24,347.8
2012,Québec,Sources de déchets résidentielles à des fins d'élimination,24,345.0
2012,Ontario,Toutes les sources de déchets à des fins d'élimination,35,687.7
2012,Ontario,Sources de déchets non résidentielles à des fins d'élimination,35,253.1
2012,Ontario,Sources de déchets résidentielles à des fins d'élimination,35,434.7
2012,Manitoba,Toutes les sources de déchets à des fins d'élimination,46,814.1
2012,Manitoba,Sources de déchets non résidentielles à des fins d'élimination,46,355.4
2012,Manitoba,Sources de déchets résidentielles à des fins d'élimination,46,458.8
2012,Saskatchewan,Toutes les sources de déchets à des fins d'élimination,47,883.7
2012,Saskatchewan,Sources de déchets non résidentielles à des fins d'élimination,47,291.6
2012,Saskatchewan,Sources de déchets résidentielles à des fins d'élimination,47,592.1
2012,Alberta,Toutes les sources de déchets à des fins d'élimination,48,1010.2
2012,Alberta,Sources de déchets non résidentielles à des fins d'élimination,48,303.6
2012,Alberta,Sources de déchets résidentielles à des fins d'élimination,48,706.6
2012,Colombie-Britannique,Toutes les sources de déchets à des fins d'élimination,59,570.2
2012,Colombie-Britannique,Sources de déchets non résidentielles à des fins d'élimination,59,207.5
2012,Colombie-Britannique,Sources de déchets résidentielles à des fins d'élimination,59,362.8
2012,"Yukon, Territoires du Nord-Ouest et Nunavut",Toutes les sources de déchets à des fins d'élimination,,
2012,"Yukon, Territoires du Nord-Ouest et Nunavut",Sources de déchets non résidentielles à des fins d'élimination,,
2012,"Yukon, Territoires du Nord-Ouest et Nunavut",Sources de déchets résidentielles à des fins d'élimination,,
2014,Canada,Sources de déchets non résidentielles à des fins d'élimination,,276.6
2014,Canada,Sources de déchets résidentielles à des fins d'élimination,,422.2
2014,Terre-Neuve-et-Labrador,Toutes les sources de déchets à des fins d'élimination,10,786.0
2014,Terre-Neuve-et-Labrador,Sources de déchets non résidentielles à des fins d'élimination,10,
2014,Terre-Neuve-et-Labrador,Sources de déchets résidentielles à des fins d'élimination,10,
2014,Île-du-Prince-Édouard,Toutes les sources de déchets à des fins d'élimination,11,
2014,Île-du-Prince-Édouard,Sources de déchets non résidentielles à des fins d'élimination,11,
2014,Île-du-Prince-Édouard,Sources de déchets résidentielles à des fins d'élimination,11,
2014,Nouvelle-Écosse,Toutes les sources de déchets à des fins d'élimination,12,388.0
2014,Nouvelle-Écosse,Sources de déchets non résidentielles à des fins d'élimination,12,171.3
2014,Nouvelle-Écosse,Sources de déchets résidentielles à des fins d'élimination,12,216.7
2014,Nouveau-Brunswick,Toutes les sources de déchets à des fins d'élimination,13,669.5
2014,Nouveau-Brunswick,Sources de déchets non résidentielles à des fins d'élimination,13,309.0
2014,Nouveau-Brunswick,Sources de déchets résidentielles à des fins d'élimination,13,360.5
2014,Québec,Toutes les sources de déchets à des fins d'élimination,24,664.3
2014,Québec,Sources de déchets non résidentielles à des fins d'élimination,24,347.4
2014,Québec,Sources de déchets résidentielles à des fins d'élimination,24,316.9
2014,Ontario,Toutes les sources de déchets à des fins d'élimination,35,673.1
2014,Ontario,Sources de déchets non résidentielles à des fins d'élimination,35,256.3
2014,Ontario,Sources de déchets résidentielles à des fins d'élimination,35,416.7
2014,Manitoba,Toutes les sources de déchets à des fins d'élimination,46,774.2
2014,Manitoba,Sources de déchets non résidentielles à des fins d'élimination,46,260.4
2014,Manitoba,Sources de déchets résidentielles à des fins d'élimination,46,513.9
2014,Saskatchewan,Toutes les sources de déchets à des fins d'élimination,47,845.1
2014,Saskatchewan,Sources de déchets non résidentielles à des fins d'élimination,47,297.8
2014,Saskatchewan,Sources de déchets résidentielles à des fins d'élimination,47,547.3
2014,Alberta,Toutes les sources de déchets à des fins d'élimination,48,1003.4
2014,Alberta,Sources de déchets non résidentielles à des fins d'élimination,48,301.4
2014,Alberta,Sources de déchets résidentielles à des fins d'élimination,48,702.1
2014,Colombie-Britannique,Toutes les sources de déchets à des fins d'élimination,59,578.1
2014,Colombie-Britannique,Sources de déchets non résidentielles à des fins d'élimination,59,200.0
2014,Colombie-Britannique,Sources de déchets résidentielles à des fins d'élimination,59,378.1
2014,"Yukon, Territoires du Nord-Ouest et Nunavut",Toutes les sources de déchets à des fins d'élimination,,
2014,"Yukon, Territoires du Nord-Ouest et Nunavut",Sources de déchets non résidentielles à des fins d'élimination,,
2014,"Yukon, Territoires du Nord-Ouest et Nunavut",Sources de déchets résidentielles à des fins d'élimination,,
2016,Canada,Sources de déchets non résidentielles à des fins d'élimination,,283.2
2016,Canada,Sources de déchets résidentielles à des fins d'élimination,,407.5
2016,Terre-Neuve-et-Labrador,Toutes les sources de déchets à des fins d'élimination,10,746.7
2016,Terre-Neuve-et-Labrador,Sources de déchets non résidentielles à des fins d'élimination,10,
2016,Terre-Neuve-et-Labrador,Sources de déchets résidentielles à des fins d'élimination,10,
2016,Île-du-Prince-Édouard,Toutes les sources de déchets à des fins d'élimination,11,
