Year,Géographie,GeoCode,Value
2014/2015,,,85.46
2015/2016,,,87.93
2016/2017,,,86.96
2017/2018,,,83.88
2018/2019,,,79.57
2019/2020,,,78.66
2020/2021,,,61.56
2021/2022,,,66.84
2014/2015,Terre-Neuve-et-Labrador,10,71.93
2014/2015,Île-du-Prince-Édouard,11,89.03
2014/2015,Nouvelle-Écosse,12,64.97
2014/2015,Nouveau-Brunswick,13,65.86
2014/2015,Québec,24,77.38
2014/2015,Ontario,35,70.77
2014/2015,Manitoba,46,240.88
2014/2015,Saskatchewan,47,196.23
2014/2015,Alberta,48,102.31
2014/2015,Colombie-Britannique,59,63.12
2014/2015,Yukon,60,258.9
2014/2015,Territoires du Nord-Ouest,61,528.66
2014/2015,Nunavut,62,542.56
2015/2016,Terre-Neuve-et-Labrador,10,82.11
2015/2016,Île-du-Prince-Édouard,11,70.68
2015/2016,Nouvelle-Écosse,12,61.94
2015/2016,Nouveau-Brunswick,13,71.25
2015/2016,Québec,24,75.74
2015/2016,Ontario,35,71.6
2015/2016,Manitoba,46,241.74
2015/2016,Saskatchewan,47,207.16
2015/2016,Alberta,48,112.29
2015/2016,Colombie-Britannique,59,68.81
2015/2016,Yukon,60,316.78
2015/2016,Territoires du Nord-Ouest,61,568.39
2015/2016,Nunavut,62,580.62
2016/2017,Terre-Neuve-et-Labrador,10,78.56
2016/2017,Île-du-Prince-Édouard,11,65.64
2016/2017,Nouvelle-Écosse,12,62.19
2016/2017,Nouveau-Brunswick,13,72.04
2016/2017,Québec,24,74.71
2016/2017,Ontario,35,68.19
2016/2017,Manitoba,46,240.36
2016/2017,Saskatchewan,47,214.17
2016/2017,Alberta,48,115.46
2016/2017,Colombie-Britannique,59,69.91
2016/2017,Yukon,60,273.13
2016/2017,Territoires du Nord-Ouest,61,546.61
2016/2017,Nunavut,62,578.87
2017/2018,Terre-Neuve-et-Labrador,10,78.18
2017/2018,Île-du-Prince-Édouard,11,72.38
2017/2018,Nouvelle-Écosse,12,59.78
2017/2018,Nouveau-Brunswick,13,74.78
2017/2018,Québec,24,71.68
2017/2018,Ontario,35,65.91
2017/2018,Manitoba,46,232.73
2017/2018,Saskatchewan,47,212.95
2017/2018,Alberta,48,112.49
2017/2018,Colombie-Britannique,59,64.56
2017/2018,Yukon,60,186.41
2017/2018,Territoires du Nord-Ouest,61,517.24
2017/2018,Nunavut,62,642.41
2018/2019,Terre-Neuve-et-Labrador,10,76.74
2018/2019,Île-du-Prince-Édouard,11,81.76
2018/2019,Nouvelle-Écosse,12,58.9
2018/2019,Nouveau-Brunswick,13,73.73
2018/2019,Québec,24,65.82
2018/2019,Ontario,35,64.36
2018/2019,Manitoba,46,201.03
2018/2019,Saskatchewan,47,215.17
2018/2019,Alberta,48,108.15
2018/2019,Colombie-Britannique,59,58.61
2018/2019,Yukon,60,205.85
2018/2019,Territoires du Nord-Ouest,61,533.77
2018/2019,Nunavut,62,667.42
2019/2020,Terre-Neuve-et-Labrador,10,70.31
2019/2020,Île-du-Prince-Édouard,11,88.07
2019/2020,Nouvelle-Écosse,12,52.88
2019/2020,Nouveau-Brunswick,13,74.75
2019/2020,Québec,24,62.96
2019/2020,Ontario,35,68.81
2019/2020,Manitoba,46,203.37
2019/2020,Saskatchewan,47,216.26
2019/2020,Alberta,48,100.72
2019/2020,Colombie-Britannique,59,53.05
2019/2020,Yukon,60,148.88
2019/2020,Territoires du Nord-Ouest,61,421.73
2019/2020,Nunavut,62,615.2
2020/2021,Terre-Neuve-et-Labrador,10,70.64
2020/2021,Île-du-Prince-Édouard,11,84.31
2020/2021,Nouvelle-Écosse,12,38.15
2020/2021,Nouveau-Brunswick,13,61.77
2020/2021,Québec,24,51.92
2020/2021,Ontario,35,53.5
2020/2021,Manitoba,46,158.36
2020/2021,Saskatchewan,47,186.39
2020/2021,Alberta,48,76.31
2020/2021,Colombie-Britannique,59,34.72
2020/2021,Yukon,60,134.46
2020/2021,Territoires du Nord-Ouest,61,309.48
2020/2021,Nunavut,62,555.24
2021/2022,Terre-Neuve-et-Labrador,10,
2021/2022,Île-du-Prince-Édouard,11,66.57
2021/2022,Nouvelle-Écosse,12,43.94
2021/2022,Nouveau-Brunswick,13,70.84
2021/2022,Québec,24,56.17
2021/2022,Ontario,35,60.02
2021/2022,Manitoba,46,153.47
2021/2022,Saskatchewan,47,212.04
2021/2022,Alberta,48,84.17
2021/2022,Colombie-Britannique,59,35.93
2021/2022,Yukon,60,141.84
2021/2022,Territoires du Nord-Ouest,61,253.14
2021/2022,Nunavut,62,607.29
