Year,Industries,Environmental protection activities or management practices,Value
2019,Machinery manufacturing,Protection of biodiversity and habitat,0.9
2019,Machinery manufacturing,Noise and vibration abatement,7.3
2019,Furniture and related product manufacturing,"Total, environmental protection activities",90.8
2019,Furniture and related product manufacturing,Wastewater management,55.8
2019,Furniture and related product manufacturing,Air pollution management,10.0
2019,Furniture and related product manufacturing,"Protection and remediation of soil, groundwater and surface water",
2019,Furniture and related product manufacturing,Protection of biodiversity and habitat,0.0
2019,Furniture and related product manufacturing,Noise and vibration abatement,5.7
2019,Other manufacturing industries,"Total, environmental protection activities",81.4
2019,Other manufacturing industries,Wastewater management,52.0
2019,Other manufacturing industries,Air pollution management,7.1
2019,Other manufacturing industries,"Protection and remediation of soil, groundwater and surface water",1.1
2019,Other manufacturing industries,Protection of biodiversity and habitat,
2019,Other manufacturing industries,Noise and vibration abatement,0.8
2019,Pipeline transportation,"Total, environmental protection activities",96.0
2019,Pipeline transportation,Wastewater management,72.0
2019,Pipeline transportation,Air pollution management,60.0
2019,Pipeline transportation,"Protection and remediation of soil, groundwater and surface water",62.0
2019,Pipeline transportation,Protection of biodiversity and habitat,68.0
2019,Pipeline transportation,Noise and vibration abatement,38.0
2019,"Total, industries",Wastewater management,62.5
2019,"Total, industries",Air pollution management,18.7
2019,"Total, industries","Protection and remediation of soil, groundwater and surface water",7.9
2019,"Total, industries",Protection of biodiversity and habitat,4.3
2019,"Total, industries",Noise and vibration abatement,2.0
2019,"Total, industries",Wastewater management,57.3
2019,"Total, industries",Air pollution management,21.3
2019,"Total, industries","Protection and remediation of soil, groundwater and surface water",11.0
2019,"Total, industries",Protection of biodiversity and habitat,8.2
2019,"Total, industries",Noise and vibration abatement,2.6
2019,"Total, industries",Wastewater management,63.1
2019,"Total, industries",Air pollution management,15.5
2019,"Total, industries","Protection and remediation of soil, groundwater and surface water",3.9
2019,"Total, industries",Protection of biodiversity and habitat,
2019,"Total, industries",Noise and vibration abatement,0.0
2019,"Total, industries",Wastewater management,59.4
2019,"Total, industries",Air pollution management,17.1
2019,"Total, industries","Protection and remediation of soil, groundwater and surface water",6.6
2019,"Total, industries",Protection of biodiversity and habitat,3.0
2019,"Total, industries",Noise and vibration abatement,1.8
2019,"Total, industries",Wastewater management,69.2
2019,"Total, industries",Air pollution management,20.1
2019,"Total, industries","Protection and remediation of soil, groundwater and surface water",8.9
2019,"Total, industries",Protection of biodiversity and habitat,4.6
2019,"Total, industries",Noise and vibration abatement,2.6
2019,"Total, industries",Wastewater management,60.2
2019,"Total, industries",Air pollution management,12.3
2019,"Total, industries","Protection and remediation of soil, groundwater and surface water",6.9
2019,"Total, industries",Protection of biodiversity and habitat,7.3
2019,"Total, industries",Noise and vibration abatement,8.3
2019,"Total, industries",Wastewater management,61.8
2019,"Total, industries",Air pollution management,18.9
2019,"Total, industries","Protection and remediation of soil, groundwater and surface water",6.5
2019,"Total, industries",Protection of biodiversity and habitat,4.7
2019,"Total, industries",Noise and vibration abatement,8.1
2019,"Total, industries",Wastewater management,65.9
2019,"Total, industries",Air pollution management,18.4
2019,"Total, industries","Protection and remediation of soil, groundwater and surface water",13.4
2019,"Total, industries",Protection of biodiversity and habitat,7.3
2019,"Total, industries",Noise and vibration abatement,4.7
2019,"Total, industries",Wastewater management,70.9
2019,"Total, industries",Air pollution management,13.1
2019,"Total, industries","Protection and remediation of soil, groundwater and surface water",6.5
2019,"Total, industries",Protection of biodiversity and habitat,2.9
2019,"Total, industries",Noise and vibration abatement,3.2
2019,"Total, industries",Wastewater management,73.2
2019,"Total, industries",Air pollution management,17.1
2019,"Total, industries","Protection and remediation of soil, groundwater and surface water",15.2
2019,"Total, industries",Protection of biodiversity and habitat,8.6
2019,"Total, industries",Noise and vibration abatement,6.1
2019,"Total, industries",Wastewater management,62.9
2019,"Total, industries",Air pollution management,20.0
2019,"Total, industries","Protection and remediation of soil, groundwater and surface water",14.5
2019,"Total, industries",Protection of biodiversity and habitat,8.1
2019,"Total, industries",Noise and vibration abatement,4.8
2019,"Total, industries",Wastewater management,52.7
2019,"Total, industries",Air pollution management,14.9
2019,"Total, industries","Protection and remediation of soil, groundwater and surface water",6.5
2019,"Total, industries",Protection of biodiversity and habitat,2.6
2019,"Total, industries",Noise and vibration abatement,1.3
2019,"Total, industries",Wastewater management,52.3
2019,"Total, industries",Air pollution management,14.9
2019,"Total, industries","Protection and remediation of soil, groundwater and surface water",6.1
2019,"Total, industries",Protection of biodiversity and habitat,2.2
2019,"Total, industries",Noise and vibration abatement,1.1
2019,"Total, industries",Wastewater management,64.5
2019,"Total, industries",Air pollution management,16.1
2019,"Total, industries","Protection and remediation of soil, groundwater and surface water",19.4
2019,"Total, industries",Protection of biodiversity and habitat,17.7
2019,"Total, industries",Noise and vibration abatement,8.1
2020,"Total, industries",Wastewater management,61.6
2020,"Total, industries",Air pollution management,14.2
2020,"Total, industries","Protection and remediation of soil, groundwater and surface water",8.6
2020,"Total, industries",Protection of biodiversity and habitat,3.5
2020,"Total, industries",Noise and vibration abatement,5.0
2020,Logging (except contract),"Total, environmental protection activities",65.8
2020,Logging (except contract),Wastewater management,49.0
2020,Logging (except contract),Air pollution management,4.1
2020,Logging (except contract),"Protection and remediation of soil, groundwater and surface water",11.9
2020,Logging (except contract),Protection of biodiversity and habitat,11.5
2020,Logging (except contract),Noise and vibration abatement,
2020,Oil and gas extraction,"Total, environmental protection activities",83.8
2020,Oil and gas extraction,Wastewater management,67.1
2020,Oil and gas extraction,Air pollution management,52.0
2020,Oil and gas extraction,"Protection and remediation of soil, groundwater and surface water",62.1
2020,Oil and gas extraction,Protection of biodiversity and habitat,31.4
2020,Oil and gas extraction,Noise and vibration abatement,23.0
2020,Mining and quarrying,"Total, environmental protection activities",96.7
2020,Mining and quarrying,Wastewater management,88.0
2020,Mining and quarrying,Air pollution management,59.8
2020,Mining and quarrying,"Protection and remediation of soil, groundwater and surface water",58.7
2020,Mining and quarrying,Protection of biodiversity and habitat,44.6
2020,Mining and quarrying,Noise and vibration abatement,15.2
2020,"Electric power generation, transmission and distribution","Total, environmental protection activities",85.0
2020,"Electric power generation, transmission and distribution",Wastewater management,69.7
2020,"Electric power generation, transmission and distribution",Air pollution management,33.9
2020,"Electric power generation, transmission and distribution","Protection and remediation of soil, groundwater and surface water",29.9
2020,"Electric power generation, transmission and distribution",Protection of biodiversity and habitat,28.2
2020,"Electric power generation, transmission and distribution",Noise and vibration abatement,20.7
2020,Natural gas distribution,"Total, environmental protection activities",69.7
2020,Natural gas distribution,Wastewater management,60.6
2020,Natural gas distribution,Air pollution management,48.5
2020,Natural gas distribution,"Protection and remediation of soil, groundwater and surface water",45.5
2020,Natural gas distribution,Protection of biodiversity and habitat,36.4
2020,Natural gas distribution,Noise and vibration abatement,33.3
2020,Food manufacturing,"Total, environmental protection activities",96.1
2020,Food manufacturing,Wastewater management,80.8
2020,Food manufacturing,Air pollution management,19.9
2020,Food manufacturing,"Protection and remediation of soil, groundwater and surface water",5.3
2020,Food manufacturing,Protection of biodiversity and habitat,0.8
2020,Food manufacturing,Noise and vibration abatement,4.6
2020,Beverage and tobacco product manufacturing,"Total, environmental protection activities",94.7
2020,Beverage and tobacco product manufacturing,Wastewater management,75.7
2020,Beverage and tobacco product manufacturing,Air pollution management,6.1
2020,Beverage and tobacco product manufacturing,"Protection and remediation of soil, groundwater and surface water",5.8
2020,Beverage and tobacco product manufacturing,Protection of biodiversity and habitat,5.1
2020,Beverage and tobacco product manufacturing,Noise and vibration abatement,6.7
2020,Wood product manufacturing,"Total, environmental protection activities",90.2
2020,Wood product manufacturing,Wastewater management,65.8
2020,Wood product manufacturing,Air pollution management,18.1
2020,Wood product manufacturing,"Protection and remediation of soil, groundwater and surface water",18.9
2020,Wood product manufacturing,Protection of biodiversity and habitat,6.4
2020,Wood product manufacturing,Noise and vibration abatement,6.8
2020,Paper manufacturing,"Total, environmental protection activities",97.0
2020,Paper manufacturing,Wastewater management,82.0
2020,Paper manufacturing,Air pollution management,45.8
2020,Paper manufacturing,"Protection and remediation of soil, groundwater and surface water",33.4
2020,Paper manufacturing,Protection of biodiversity and habitat,12.9
2020,Paper manufacturing,Noise and vibration abatement,18.4
2020,Petroleum and coal product manufacturing,"Total, environmental protection activities",92.3
2020,Petroleum and coal product manufacturing,Wastewater management,80.8
2020,Petroleum and coal product manufacturing,Air pollution management,76.9
2020,Petroleum and coal product manufacturing,"Protection and remediation of soil, groundwater and surface water",69.2
2020,Petroleum and coal product manufacturing,Protection of biodiversity and habitat,38.5
2020,Petroleum and coal product manufacturing,Noise and vibration abatement,38.5
2020,Chemical manufacturing,"Total, environmental protection activities",94.6
2020,Chemical manufacturing,Wastewater management,78.9
2020,Chemical manufacturing,Air pollution management,39.9
2020,Chemical manufacturing,"Protection and remediation of soil, groundwater and surface water",23.7
2020,Chemical manufacturing,Protection of biodiversity and habitat,4.7
2020,Chemical manufacturing,Noise and vibration abatement,12.9
2020,Non-metallic mineral product manufacturing,"Total, environmental protection activities",93.1
2020,Non-metallic mineral product manufacturing,Wastewater management,72.6
2020,Non-metallic mineral product manufacturing,Air pollution management,29.2
2020,Non-metallic mineral product manufacturing,"Protection and remediation of soil, groundwater and surface water",11.0
2020,Non-metallic mineral product manufacturing,Protection of biodiversity and habitat,2.5
2020,Non-metallic mineral product manufacturing,Noise and vibration abatement,6.2
2020,Primary metal manufacturing,"Total, environmental protection activities",97.9
2020,Primary metal manufacturing,Wastewater management,88.0
2020,Primary metal manufacturing,Air pollution management,68.3
2020,Primary metal manufacturing,"Protection and remediation of soil, groundwater and surface water",46.9
2020,Primary metal manufacturing,Protection of biodiversity and habitat,14.1
2020,Primary metal manufacturing,Noise and vibration abatement,19.8
2020,Fabricated metal product manufacturing,"Total, environmental protection activities",87.7
2020,Fabricated metal product manufacturing,Wastewater management,61.9
2020,Fabricated metal product manufacturing,Air pollution management,12.4
2020,Fabricated metal product manufacturing,"Protection and remediation of soil, groundwater and surface water",5.8
2020,Fabricated metal product manufacturing,Protection of biodiversity and habitat,0.5
2020,Fabricated metal product manufacturing,Noise and vibration abatement,5.7
2020,Transportation equipment manufacturing,"Total, environmental protection activities",91.1
2020,Transportation equipment manufacturing,Wastewater management,71.9
2020,Transportation equipment manufacturing,Air pollution management,25.6
2020,Transportation equipment manufacturing,"Protection and remediation of soil, groundwater and surface water",8.4
2020,Transportation equipment manufacturing,Protection of biodiversity and habitat,3.9
2020,Transportation equipment manufacturing,Noise and vibration abatement,10.0
2020,Plastics and rubber products manufacturing,"Total, environmental protection activities",91.4
2020,Plastics and rubber products manufacturing,Wastewater management,64.4
2020,Plastics and rubber products manufacturing,Air pollution management,13.4
2020,Plastics and rubber products manufacturing,"Protection and remediation of soil, groundwater and surface water",6.4
2020,Plastics and rubber products manufacturing,Protection of biodiversity and habitat,1.0
2020,Plastics and rubber products manufacturing,Noise and vibration abatement,5.8
2020,Machinery manufacturing,"Total, environmental protection activities",92.2
2020,Machinery manufacturing,Wastewater management,60.6
2020,Machinery manufacturing,Air pollution management,12.7
2020,Machinery manufacturing,"Protection and remediation of soil, groundwater and surface water",0.8
2020,Machinery manufacturing,Protection of biodiversity and habitat,0.3
2020,Machinery manufacturing,Noise and vibration abatement,2.7
2020,Furniture and related product manufacturing,"Total, environmental protection activities",89.1
2020,Furniture and related product manufacturing,Wastewater management,58.7
2020,Furniture and related product manufacturing,Air pollution management,5.2
2020,Furniture and related product manufacturing,"Protection and remediation of soil, groundwater and surface water",3.1
2020,Furniture and related product manufacturing,Protection of biodiversity and habitat,0.0
2020,Furniture and related product manufacturing,Noise and vibration abatement,
2020,Other manufacturing industries,"Total, environmental protection activities",77.5
2020,Other manufacturing industries,Wastewater management,49.0
2020,Other manufacturing industries,Air pollution management,2.7
2020,Other manufacturing industries,"Protection and remediation of soil, groundwater and surface water",0.8
2020,Other manufacturing industries,Protection of biodiversity and habitat,0.2
2020,Other manufacturing industries,Noise and vibration abatement,1.3
2020,Pipeline transportation,"Total, environmental protection activities",93.0
2020,Pipeline transportation,Wastewater management,77.2
2020,Pipeline transportation,Air pollution management,70.2
2020,Pipeline transportation,"Protection and remediation of soil, groundwater and surface water",73.7
2020,Pipeline transportation,Protection of biodiversity and habitat,45.6
2020,Pipeline transportation,Noise and vibration abatement,
2020,"Total, industries",Wastewater management,58.2
2020,"Total, industries",Air pollution management,7.9
2020,"Total, industries","Protection and remediation of soil, groundwater and surface water",10.8
2020,"Total, industries",Protection of biodiversity and habitat,7.6
2020,"Total, industries",Noise and vibration abatement,2.2
2020,"Total, industries",Wastewater management,54.6
2020,"Total, industries",Air pollution management,9.4
2020,"Total, industries","Protection and remediation of soil, groundwater and surface water",7.4
2020,"Total, industries",Protection of biodiversity and habitat,8.0
2020,"Total, industries",Noise and vibration abatement,2.2
2020,"Total, industries",Wastewater management,54.2
2020,"Total, industries",Air pollution management,8.4
2020,"Total, industries","Protection and remediation of soil, groundwater and surface water",5.6
2020,"Total, industries",Protection of biodiversity and habitat,3.7
2020,"Total, industries",Noise and vibration abatement,2.8
2020,"Total, industries",Wastewater management,54.8
2020,"Total, industries",Air pollution management,6.1
2020,"Total, industries","Protection and remediation of soil, groundwater and surface water",12.4
2020,"Total, industries",Protection of biodiversity and habitat,8.0
2020,"Total, industries",Noise and vibration abatement,3.4
