Year,Géographie,Infractions,GeoCode,Value
2020,Nouveau-Brunswick,Voies de fait simples (niveau 1),,641.22
2015,Nouveau-Brunswick,Total des vols qualifiés,,20.16
2016,Nouveau-Brunswick,Total des vols qualifiés,,30.26
2017,Nouveau-Brunswick,Total des vols qualifiés,,27.52
2018,Nouveau-Brunswick,Total des vols qualifiés,,26.48
2019,Nouveau-Brunswick,Total des vols qualifiés,,21.63
2020,Nouveau-Brunswick,Total des vols qualifiés,,17.15
2015,Nouveau-Brunswick,Menaces,,273.84
2016,Nouveau-Brunswick,Menaces,,256.5
2017,Nouveau-Brunswick,Menaces,,274.06
2018,Nouveau-Brunswick,Menaces,,292.61
2019,Nouveau-Brunswick,Menaces,,342.01
2020,Nouveau-Brunswick,Menaces,,371.35
2015,Nouveau-Brunswick,Total des autres infractions avec violence,,9.75
2016,Nouveau-Brunswick,Total des autres infractions avec violence,,12.18
2017,Nouveau-Brunswick,Total des autres infractions avec violence,,16.04
2018,Nouveau-Brunswick,Total des autres infractions avec violence,,15.06
2019,Nouveau-Brunswick,Total des autres infractions avec violence,,32.7
2020,Nouveau-Brunswick,Total des autres infractions avec violence,,21.88
2015,Québec,Total des infractions,24,4252.49
2016,Québec,Total des infractions,24,4232.93
2017,Québec,Total des infractions,24,4329.65
2018,Québec,Total des infractions,24,4164.85
2019,Québec,Total des infractions,24,4065.71
2020,Québec,Total des infractions,24,3592.83
2015,Québec,Homicide,,0.97
2016,Québec,Homicide,,0.81
2017,Québec,Homicide,,1.12
2018,Québec,Homicide,,0.99
2019,Québec,Homicide,,0.91
2020,Québec,Homicide,,1.01
2015,Québec,Total des autres infractions entraînant la mort,,0.21
2016,Québec,Total des autres infractions entraînant la mort,,0.3
2017,Québec,Total des autres infractions entraînant la mort,,0.35
2018,Québec,Total des autres infractions entraînant la mort,,0.51
2019,Québec,Total des autres infractions entraînant la mort,,0.53
2020,Québec,Total des autres infractions entraînant la mort,,0.49
2015,Québec,Tentative de meurtre,,2.5
2016,Québec,Tentative de meurtre,,2.3
2017,Québec,Tentative de meurtre,,2.78
2018,Québec,Tentative de meurtre,,2.21
2019,Québec,Tentative de meurtre,,2.39
2020,Québec,Tentative de meurtre,,2.9
2015,Québec,Agression sexuelle grave (niveau 3),,0.4
2016,Québec,Agression sexuelle grave (niveau 3),,0.22
2017,Québec,Agression sexuelle grave (niveau 3),,0.41
2018,Québec,Agression sexuelle grave (niveau 3),,0.42
2019,Québec,Agression sexuelle grave (niveau 3),,0.29
2020,Québec,Agression sexuelle grave (niveau 3),,0.38
2015,Québec,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,1.11
2016,Québec,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,1.11
2017,Québec,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,1.2
2018,Québec,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,1.17
2019,Québec,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,1.32
2020,Québec,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,1.4
2015,Québec,Agression sexuelle de niveau 1,,45.98
2016,Québec,Agression sexuelle de niveau 1,,52.7
2017,Québec,Agression sexuelle de niveau 1,,62.0
2018,Québec,Agression sexuelle de niveau 1,,65.86
2019,Québec,Agression sexuelle de niveau 1,,68.47
2020,Québec,Agression sexuelle de niveau 1,,69.48
2015,Québec,Total des infractions sexuelles contre les enfants,,20.88
2016,Québec,Total des infractions sexuelles contre les enfants,,24.97
2017,Québec,Total des infractions sexuelles contre les enfants,,30.34
2018,Québec,Total des infractions sexuelles contre les enfants,,32.2
2019,Québec,Total des infractions sexuelles contre les enfants,,35.5
2020,Québec,Total des infractions sexuelles contre les enfants,,35.34
2015,Québec,Voies de fait graves (niveau 3),,3.19
2016,Québec,Voies de fait graves (niveau 3),,3.57
2017,Québec,Voies de fait graves (niveau 3),,3.66
2018,Québec,Voies de fait graves (niveau 3),,3.33
2019,Québec,Voies de fait graves (niveau 3),,3.56
2020,Québec,Voies de fait graves (niveau 3),,2.99
2015,Québec,Voies de fait armées ou causant des lésions corporelles (niveau 2),,114.69
2016,Québec,Voies de fait armées ou causant des lésions corporelles (niveau 2),,122.77
2017,Québec,Voies de fait armées ou causant des lésions corporelles (niveau 2),,122.29
2018,Québec,Voies de fait armées ou causant des lésions corporelles (niveau 2),,122.53
2019,Québec,Voies de fait armées ou causant des lésions corporelles (niveau 2),,131.74
2020,Québec,Voies de fait armées ou causant des lésions corporelles (niveau 2),,136.47
2015,Québec,Voies de fait simples (niveau 1),,371.28
2016,Québec,Voies de fait simples (niveau 1),,399.1
2017,Québec,Voies de fait simples (niveau 1),,403.54
2018,Québec,Voies de fait simples (niveau 1),,409.93
2019,Québec,Voies de fait simples (niveau 1),,431.31
2020,Québec,Voies de fait simples (niveau 1),,411.99
2015,Québec,Total des vols qualifiés,,49.37
2016,Québec,Total des vols qualifiés,,45.45
2017,Québec,Total des vols qualifiés,,43.95
2018,Québec,Total des vols qualifiés,,38.56
2019,Québec,Total des vols qualifiés,,40.39
2020,Québec,Total des vols qualifiés,,32.2
2015,Québec,Menaces,,189.31
2016,Québec,Menaces,,185.49
2017,Québec,Menaces,,203.4
2018,Québec,Menaces,,206.29
2019,Québec,Menaces,,211.73
2020,Québec,Menaces,,217.03
2015,Québec,Total des autres infractions avec violence,,23.06
2016,Québec,Total des autres infractions avec violence,,24.61
2017,Québec,Total des autres infractions avec violence,,27.97
2018,Québec,Total des autres infractions avec violence,,28.15
2019,Québec,Total des autres infractions avec violence,,29.37
2020,Québec,Total des autres infractions avec violence,,29.72
2015,Ontario,Total des infractions,35,4021.58
2016,Ontario,Total des infractions,35,4090.89
2017,Ontario,Total des infractions,35,4259.47
2018,Ontario,Total des infractions,35,4509.15
2019,Ontario,Total des infractions,35,4544.1
2020,Ontario,Total des infractions,35,4044.17
2015,Ontario,Homicide,,1.27
2016,Ontario,Homicide,,1.48
2017,Ontario,Homicide,,1.4
2018,Ontario,Homicide,,1.9
2019,Ontario,Homicide,,1.74
2020,Ontario,Homicide,,1.59
2015,Ontario,Total des autres infractions entraînant la mort,,0.22
2016,Ontario,Total des autres infractions entraînant la mort,,0.26
2017,Ontario,Total des autres infractions entraînant la mort,,0.21
2018,Ontario,Total des autres infractions entraînant la mort,,0.36
2019,Ontario,Total des autres infractions entraînant la mort,,0.2
2020,Ontario,Total des autres infractions entraînant la mort,,0.19
2015,Ontario,Tentative de meurtre,,1.84
2016,Ontario,Tentative de meurtre,,1.88
2017,Ontario,Tentative de meurtre,,2.04
2018,Ontario,Tentative de meurtre,,2.64
2019,Ontario,Tentative de meurtre,,2.39
2020,Ontario,Tentative de meurtre,,2.19
2015,Ontario,Agression sexuelle grave (niveau 3),,0.15
2016,Ontario,Agression sexuelle grave (niveau 3),,0.25
2017,Ontario,Agression sexuelle grave (niveau 3),,0.41
2018,Ontario,Agression sexuelle grave (niveau 3),,0.26
2019,Ontario,Agression sexuelle grave (niveau 3),,0.21
2020,Ontario,Agression sexuelle grave (niveau 3),,0.18
2015,Ontario,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,0.98
2016,Ontario,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,1.05
2017,Ontario,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,1.07
2018,Ontario,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,1.23
2019,Ontario,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,1.49
2020,Ontario,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,1.68
2015,Ontario,Agression sexuelle de niveau 1,,53.8
2016,Ontario,Agression sexuelle de niveau 1,,53.58
2017,Ontario,Agression sexuelle de niveau 1,,62.42
2018,Ontario,Agression sexuelle de niveau 1,,73.86
2019,Ontario,Agression sexuelle de niveau 1,,74.54
2020,Ontario,Agression sexuelle de niveau 1,,63.18
2015,Ontario,Total des infractions sexuelles contre les enfants,,8.12
2016,Ontario,Total des infractions sexuelles contre les enfants,,14.62
2017,Ontario,Total des infractions sexuelles contre les enfants,,15.0
2018,Ontario,Total des infractions sexuelles contre les enfants,,15.92
2019,Ontario,Total des infractions sexuelles contre les enfants,,15.94
2020,Ontario,Total des infractions sexuelles contre les enfants,,16.56
2015,Ontario,Voies de fait graves (niveau 3),,7.4
2016,Ontario,Voies de fait graves (niveau 3),,7.71
2017,Ontario,Voies de fait graves (niveau 3),,7.67
2018,Ontario,Voies de fait graves (niveau 3),,7.37
2019,Ontario,Voies de fait graves (niveau 3),,7.8
2020,Ontario,Voies de fait graves (niveau 3),,7.1
2015,Ontario,Voies de fait armées ou causant des lésions corporelles (niveau 2),,89.76
2016,Ontario,Voies de fait armées ou causant des lésions corporelles (niveau 2),,96.16
2017,Ontario,Voies de fait armées ou causant des lésions corporelles (niveau 2),,101.45
2018,Ontario,Voies de fait armées ou causant des lésions corporelles (niveau 2),,107.56
2019,Ontario,Voies de fait armées ou causant des lésions corporelles (niveau 2),,109.72
2020,Ontario,Voies de fait armées ou causant des lésions corporelles (niveau 2),,117.65
2015,Ontario,Voies de fait simples (niveau 1),,324.98
2016,Ontario,Voies de fait simples (niveau 1),,327.93
2017,Ontario,Voies de fait simples (niveau 1),,337.51
2018,Ontario,Voies de fait simples (niveau 1),,357.94
2019,Ontario,Voies de fait simples (niveau 1),,371.04
2020,Ontario,Voies de fait simples (niveau 1),,328.88
2015,Ontario,Total des vols qualifiés,,55.77
2016,Ontario,Total des vols qualifiés,,59.64
2017,Ontario,Total des vols qualifiés,,65.86
2018,Ontario,Total des vols qualifiés,,61.84
2019,Ontario,Total des vols qualifiés,,61.49
2020,Ontario,Total des vols qualifiés,,48.3
2015,Ontario,Menaces,,109.27
2016,Ontario,Menaces,,105.82
2017,Ontario,Menaces,,113.82
2018,Ontario,Menaces,,125.33
2019,Ontario,Menaces,,135.17
2020,Ontario,Menaces,,140.11
2015,Ontario,Total des autres infractions avec violence,,11.14
2016,Ontario,Total des autres infractions avec violence,,11.27
2017,Ontario,Total des autres infractions avec violence,,14.61
2018,Ontario,Total des autres infractions avec violence,,10.77
2019,Ontario,Total des autres infractions avec violence,,13.08
2020,Ontario,Total des autres infractions avec violence,,13.64
2015,Manitoba,Total des infractions,46,8925.91
2016,Manitoba,Total des infractions,46,9507.82
2017,Manitoba,Total des infractions,46,9758.09
2018,Manitoba,Total des infractions,46,9998.34
2019,Manitoba,Total des infractions,46,10863.72
2020,Manitoba,Total des infractions,46,10114.89
2015,Manitoba,Homicide,,3.64
2016,Manitoba,Homicide,,3.2
2017,Manitoba,Homicide,,3.52
2018,Manitoba,Homicide,,4.07
2019,Manitoba,Homicide,,5.26
2020,Manitoba,Homicide,,4.5
2015,Manitoba,Total des autres infractions entraînant la mort,,0.39
2016,Manitoba,Total des autres infractions entraînant la mort,,0.38
2017,Manitoba,Total des autres infractions entraînant la mort,,0.45
2018,Manitoba,Total des autres infractions entraînant la mort,,0.37
2019,Manitoba,Total des autres infractions entraînant la mort,,0.22
2020,Manitoba,Total des autres infractions entraînant la mort,,0.29
2015,Manitoba,Tentative de meurtre,,2.4
2016,Manitoba,Tentative de meurtre,,3.27
2017,Manitoba,Tentative de meurtre,,3.07
2018,Manitoba,Tentative de meurtre,,2.66
2019,Manitoba,Tentative de meurtre,,2.04
2020,Manitoba,Tentative de meurtre,,1.38
2015,Manitoba,Agression sexuelle grave (niveau 3),,0.62
2016,Manitoba,Agression sexuelle grave (niveau 3),,0.53
2017,Manitoba,Agression sexuelle grave (niveau 3),,1.05
2018,Manitoba,Agression sexuelle grave (niveau 3),,1.33
2019,Manitoba,Agression sexuelle grave (niveau 3),,0.51
2020,Manitoba,Agression sexuelle grave (niveau 3),,0.36
2015,Manitoba,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,2.4
2016,Manitoba,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,2.28
2017,Manitoba,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,1.95
2018,Manitoba,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,1.77
2019,Manitoba,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,2.19
2020,Manitoba,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,2.97
2015,Manitoba,Agression sexuelle de niveau 1,,102.15
2016,Manitoba,Agression sexuelle de niveau 1,,105.62
2017,Manitoba,Agression sexuelle de niveau 1,,103.76
2018,Manitoba,Agression sexuelle de niveau 1,,107.85
2019,Manitoba,Agression sexuelle de niveau 1,,120.92
2020,Manitoba,Agression sexuelle de niveau 1,,114.05
2015,Manitoba,Total des infractions sexuelles contre les enfants,,20.43
2016,Manitoba,Total des infractions sexuelles contre les enfants,,37.9
2017,Manitoba,Total des infractions sexuelles contre les enfants,,39.41
2018,Manitoba,Total des infractions sexuelles contre les enfants,,43.61
2019,Manitoba,Total des infractions sexuelles contre les enfants,,47.83
2020,Manitoba,Total des infractions sexuelles contre les enfants,,51.04
2015,Manitoba,Voies de fait graves (niveau 3),,30.57
2016,Manitoba,Voies de fait graves (niveau 3),,35.16
2017,Manitoba,Voies de fait graves (niveau 3),,36.19
2018,Manitoba,Voies de fait graves (niveau 3),,36.59
2019,Manitoba,Voies de fait graves (niveau 3),,40.89
2020,Manitoba,Voies de fait graves (niveau 3),,35.02
2015,Manitoba,Voies de fait armées ou causant des lésions corporelles (niveau 2),,314.42
2016,Manitoba,Voies de fait armées ou causant des lésions corporelles (niveau 2),,347.3
2017,Manitoba,Voies de fait armées ou causant des lésions corporelles (niveau 2),,360.58
2018,Manitoba,Voies de fait armées ou causant des lésions corporelles (niveau 2),,366.94
2019,Manitoba,Voies de fait armées ou causant des lésions corporelles (niveau 2),,410.87
2020,Manitoba,Voies de fait armées ou causant des lésions corporelles (niveau 2),,416.16
2015,Manitoba,Voies de fait simples (niveau 1),,793.98
2016,Manitoba,Voies de fait simples (niveau 1),,834.08
2017,Manitoba,Voies de fait simples (niveau 1),,840.81
2018,Manitoba,Voies de fait simples (niveau 1),,813.78
2019,Manitoba,Voies de fait simples (niveau 1),,880.37
2020,Manitoba,Voies de fait simples (niveau 1),,858.28
2015,Manitoba,Total des vols qualifiés,,129.08
2016,Manitoba,Total des vols qualifiés,,156.91
2017,Manitoba,Total des vols qualifiés,,176.81
2018,Manitoba,Total des vols qualifiés,,197.44
2019,Manitoba,Total des vols qualifiés,,196.56
2020,Manitoba,Total des vols qualifiés,,162.41
2015,Manitoba,Menaces,,248.56
2016,Manitoba,Menaces,,248.15
2017,Manitoba,Menaces,,244.83
2018,Manitoba,Menaces,,245.71
2019,Manitoba,Menaces,,284.11
2020,Manitoba,Menaces,,267.17
2015,Manitoba,Total des autres infractions avec violence,,11.92
2016,Manitoba,Total des autres infractions avec violence,,11.87
2017,Manitoba,Total des autres infractions avec violence,,13.49
2018,Manitoba,Total des autres infractions avec violence,,14.78
2019,Manitoba,Total des autres infractions avec violence,,21.83
2020,Manitoba,Total des autres infractions avec violence,,18.27
2015,Saskatchewan,Total des infractions,47,12919.2
2016,Saskatchewan,Total des infractions,47,13510.63
2017,Saskatchewan,Total des infractions,47,12983.31
2018,Saskatchewan,Total des infractions,47,12665.28
2019,Saskatchewan,Total des infractions,47,12897.62
2020,Saskatchewan,Total des infractions,47,12224.26
2015,Saskatchewan,Homicide,,3.93
2016,Saskatchewan,Homicide,,4.75
2017,Saskatchewan,Homicide,,3.3
2018,Saskatchewan,Homicide,,2.93
2019,Saskatchewan,Homicide,,4.69
2020,Saskatchewan,Homicide,,5.09
2015,Saskatchewan,Total des autres infractions entraînant la mort,,0.54
2016,Saskatchewan,Total des autres infractions entraînant la mort,,0.62
2017,Saskatchewan,Total des autres infractions entraînant la mort,,0.52
2018,Saskatchewan,Total des autres infractions entraînant la mort,,0.09
2019,Saskatchewan,Total des autres infractions entraînant la mort,,0.26
2020,Saskatchewan,Total des autres infractions entraînant la mort,,0.25
2015,Saskatchewan,Tentative de meurtre,,2.5
2016,Saskatchewan,Tentative de meurtre,,5.72
2017,Saskatchewan,Tentative de meurtre,,3.65
2018,Saskatchewan,Tentative de meurtre,,3.1
2019,Saskatchewan,Tentative de meurtre,,6.06
2020,Saskatchewan,Tentative de meurtre,,3.9
2015,Saskatchewan,Agression sexuelle grave (niveau 3),,0.62
2016,Saskatchewan,Agression sexuelle grave (niveau 3),,1.5
2017,Saskatchewan,Agression sexuelle grave (niveau 3),,0.61
2018,Saskatchewan,Agression sexuelle grave (niveau 3),,1.46
2019,Saskatchewan,Agression sexuelle grave (niveau 3),,1.28
2020,Saskatchewan,Agression sexuelle grave (niveau 3),,0.93
2015,Saskatchewan,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,1.43
2016,Saskatchewan,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,1.5
2017,Saskatchewan,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,1.83
2018,Saskatchewan,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,1.38
2019,Saskatchewan,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,1.19
2020,Saskatchewan,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,1.7
2015,Saskatchewan,Agression sexuelle de niveau 1,,97.06
2016,Saskatchewan,Agression sexuelle de niveau 1,,101.59
2017,Saskatchewan,Agression sexuelle de niveau 1,,98.41
2018,Saskatchewan,Agression sexuelle de niveau 1,,108.03
2019,Saskatchewan,Agression sexuelle de niveau 1,,122.58
2020,Saskatchewan,Agression sexuelle de niveau 1,,109.95
2015,Saskatchewan,Total des infractions sexuelles contre les enfants,,29.62
2016,Saskatchewan,Total des infractions sexuelles contre les enfants,,33.8
2017,Saskatchewan,Total des infractions sexuelles contre les enfants,,39.38
2018,Saskatchewan,Total des infractions sexuelles contre les enfants,,34.26
2019,Saskatchewan,Total des infractions sexuelles contre les enfants,,45.55
2020,Saskatchewan,Total des infractions sexuelles contre les enfants,,46.83
2015,Saskatchewan,Voies de fait graves (niveau 3),,32.56
2016,Saskatchewan,Voies de fait graves (niveau 3),,36.44
2017,Saskatchewan,Voies de fait graves (niveau 3),,33.99
2018,Saskatchewan,Voies de fait graves (niveau 3),,33.23
2019,Saskatchewan,Voies de fait graves (niveau 3),,38.3
2020,Saskatchewan,Voies de fait graves (niveau 3),,40.89
2015,Saskatchewan,Voies de fait armées ou causant des lésions corporelles (niveau 2),,344.79
2016,Saskatchewan,Voies de fait armées ou causant des lésions corporelles (niveau 2),,340.58
2017,Saskatchewan,Voies de fait armées ou causant des lésions corporelles (niveau 2),,349.64
2018,Saskatchewan,Voies de fait armées ou causant des lésions corporelles (niveau 2),,328.47
2019,Saskatchewan,Voies de fait armées ou causant des lésions corporelles (niveau 2),,360.06
2020,Saskatchewan,Voies de fait armées ou causant des lésions corporelles (niveau 2),,425.22
2015,Saskatchewan,Voies de fait simples (niveau 1),,939.28
2016,Saskatchewan,Voies de fait simples (niveau 1),,932.76
2017,Saskatchewan,Voies de fait simples (niveau 1),,929.91
2018,Saskatchewan,Voies de fait simples (niveau 1),,864.72
2019,Saskatchewan,Voies de fait simples (niveau 1),,960.76
2020,Saskatchewan,Voies de fait simples (niveau 1),,942.41
2015,Saskatchewan,Total des vols qualifiés,,87.6
2016,Saskatchewan,Total des vols qualifiés,,88.82
2017,Saskatchewan,Total des vols qualifiés,,89.19
2018,Saskatchewan,Total des vols qualifiés,,85.65
2019,Saskatchewan,Total des vols qualifiés,,95.11
2020,Saskatchewan,Total des vols qualifiés,,80.26
2015,Saskatchewan,Menaces,,272.35
2016,Saskatchewan,Menaces,,270.07
2017,Saskatchewan,Menaces,,271.66
2018,Saskatchewan,Menaces,,259.09
2019,Saskatchewan,Menaces,,314.25
2020,Saskatchewan,Menaces,,345.98
2015,Saskatchewan,Total des autres infractions avec violence,,16.77
2016,Saskatchewan,Total des autres infractions avec violence,,16.02
2017,Saskatchewan,Total des autres infractions avec violence,,20.43
2018,Saskatchewan,Total des autres infractions avec violence,,19.19
2019,Saskatchewan,Total des autres infractions avec violence,,31.48
2020,Saskatchewan,Total des autres infractions avec violence,,26.47
2015,Alberta,Total des infractions,48,8916.56
2016,Alberta,Total des infractions,48,9025.97
2017,Alberta,Total des infractions,48,9335.17
2018,Alberta,Total des infractions,48,9392.19
2019,Alberta,Total des infractions,48,10026.65
2020,Alberta,Total des infractions,48,8722.11
2015,Alberta,Homicide,,3.21
2016,Alberta,Homicide,,2.76
2017,Alberta,Homicide,,2.81
2018,Alberta,Homicide,,1.88
2019,Alberta,Homicide,,2.29
2020,Alberta,Homicide,,3.14
2015,Alberta,Total des autres infractions entraînant la mort,,0.12
2016,Alberta,Total des autres infractions entraînant la mort,,0.19
2017,Alberta,Total des autres infractions entraînant la mort,,0.35
2018,Alberta,Total des autres infractions entraînant la mort,,0.05
2019,Alberta,Total des autres infractions entraînant la mort,,0.05
2020,Alberta,Total des autres infractions entraînant la mort,,0.25
2015,Alberta,Tentative de meurtre,,1.64
2016,Alberta,Tentative de meurtre,,1.31
2017,Alberta,Tentative de meurtre,,1.41
2018,Alberta,Tentative de meurtre,,1.23
2019,Alberta,Tentative de meurtre,,1.22
2020,Alberta,Tentative de meurtre,,1.27
2015,Alberta,Agression sexuelle grave (niveau 3),,0.17
2016,Alberta,Agression sexuelle grave (niveau 3),,0.24
2017,Alberta,Agression sexuelle grave (niveau 3),,0.33
2018,Alberta,Agression sexuelle grave (niveau 3),,0.54
2019,Alberta,Agression sexuelle grave (niveau 3),,0.62
2020,Alberta,Agression sexuelle grave (niveau 3),,0.57
2015,Alberta,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,1.09
2016,Alberta,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,1.22
2017,Alberta,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,1.74
2018,Alberta,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,2.07
2019,Alberta,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,1.81
2020,Alberta,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,2.26
2015,Alberta,Agression sexuelle de niveau 1,,67.54
2016,Alberta,Agression sexuelle de niveau 1,,64.47
2017,Alberta,Agression sexuelle de niveau 1,,70.24
2018,Alberta,Agression sexuelle de niveau 1,,79.96
2019,Alberta,Agression sexuelle de niveau 1,,88.73
2020,Alberta,Agression sexuelle de niveau 1,,77.34
2015,Alberta,Total des infractions sexuelles contre les enfants,,14.6
2016,Alberta,Total des infractions sexuelles contre les enfants,,19.54
2017,Alberta,Total des infractions sexuelles contre les enfants,,21.95
2018,Alberta,Total des infractions sexuelles contre les enfants,,27.48
2019,Alberta,Total des infractions sexuelles contre les enfants,,32.01
2020,Alberta,Total des infractions sexuelles contre les enfants,,30.67
2015,Alberta,Voies de fait graves (niveau 3),,16.7
2016,Alberta,Voies de fait graves (niveau 3),,15.18
2017,Alberta,Voies de fait graves (niveau 3),,16.08
2018,Alberta,Voies de fait graves (niveau 3),,17.05
2019,Alberta,Voies de fait graves (niveau 3),,19.14
2020,Alberta,Voies de fait graves (niveau 3),,20.33
2015,Alberta,Voies de fait armées ou causant des lésions corporelles (niveau 2),,180.12
2016,Alberta,Voies de fait armées ou causant des lésions corporelles (niveau 2),,182.91
2017,Alberta,Voies de fait armées ou causant des lésions corporelles (niveau 2),,197.31
2018,Alberta,Voies de fait armées ou causant des lésions corporelles (niveau 2),,201.62
2019,Alberta,Voies de fait armées ou causant des lésions corporelles (niveau 2),,214.89
2020,Alberta,Voies de fait armées ou causant des lésions corporelles (niveau 2),,232.05
2015,Alberta,Voies de fait simples (niveau 1),,558.26
2016,Alberta,Voies de fait simples (niveau 1),,545.68
2017,Alberta,Voies de fait simples (niveau 1),,541.51
2018,Alberta,Voies de fait simples (niveau 1),,546.38
2019,Alberta,Voies de fait simples (niveau 1),,567.49
2020,Alberta,Voies de fait simples (niveau 1),,520.91
2015,Alberta,Total des vols qualifiés,,82.74
2016,Alberta,Total des vols qualifiés,,73.81
2017,Alberta,Total des vols qualifiés,,76.94
2018,Alberta,Total des vols qualifiés,,81.22
2019,Alberta,Total des vols qualifiés,,83.71
2020,Alberta,Total des vols qualifiés,,66.17
2015,Alberta,Menaces,,194.14
2016,Alberta,Menaces,,183.7
2017,Alberta,Menaces,,180.05
2018,Alberta,Menaces,,173.93
2019,Alberta,Menaces,,210.06
2020,Alberta,Menaces,,216.18
2015,Alberta,Total des autres infractions avec violence,,11.34
2016,Alberta,Total des autres infractions avec violence,,12.3
2017,Alberta,Total des autres infractions avec violence,,14.57
2018,Alberta,Total des autres infractions avec violence,,12.63
2019,Alberta,Total des autres infractions avec violence,,15.66
2020,Alberta,Total des autres infractions avec violence,,17.73
2015,Colombie-Britannique,Total des infractions,59,8608.09
2016,Colombie-Britannique,Total des infractions,59,8488.51
2017,Colombie-Britannique,Total des infractions,59,8090.02
2018,Colombie-Britannique,Total des infractions,59,8250.95
2019,Colombie-Britannique,Total des infractions,59,9573.92
2020,Colombie-Britannique,Total des infractions,59,8532.04
2015,Colombie-Britannique,Homicide,,2.03
2016,Colombie-Britannique,Homicide,,1.81
2017,Colombie-Britannique,Homicide,,2.41
2018,Colombie-Britannique,Homicide,,1.8
2019,Colombie-Britannique,Homicide,,1.77
2020,Colombie-Britannique,Homicide,,1.9
2015,Colombie-Britannique,Total des autres infractions entraînant la mort,,0.38
2016,Colombie-Britannique,Total des autres infractions entraînant la mort,,0.39
2017,Colombie-Britannique,Total des autres infractions entraînant la mort,,0.22
2018,Colombie-Britannique,Total des autres infractions entraînant la mort,,0.42
2019,Colombie-Britannique,Total des autres infractions entraînant la mort,,0.47
2020,Colombie-Britannique,Total des autres infractions entraînant la mort,,0.39
2015,Colombie-Britannique,Tentative de meurtre,,2.7
2016,Colombie-Britannique,Tentative de meurtre,,2.45
2017,Colombie-Britannique,Tentative de meurtre,,2.33
2018,Colombie-Britannique,Tentative de meurtre,,1.76
2019,Colombie-Britannique,Tentative de meurtre,,1.98
2020,Colombie-Britannique,Tentative de meurtre,,1.98
2015,Colombie-Britannique,Agression sexuelle grave (niveau 3),,0.4
2016,Colombie-Britannique,Agression sexuelle grave (niveau 3),,0.39
2017,Colombie-Britannique,Agression sexuelle grave (niveau 3),,0.57
2018,Colombie-Britannique,Agression sexuelle grave (niveau 3),,0.16
2019,Colombie-Britannique,Agression sexuelle grave (niveau 3),,0.2
2020,Colombie-Britannique,Agression sexuelle grave (niveau 3),,0.35
2015,Colombie-Britannique,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,0.84
2016,Colombie-Britannique,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,0.72
2017,Colombie-Britannique,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,0.63
2018,Colombie-Britannique,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,1.28
2019,Colombie-Britannique,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,1.06
2020,Colombie-Britannique,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,0.89
2015,Colombie-Britannique,Agression sexuelle de niveau 1,,46.69
2016,Colombie-Britannique,Agression sexuelle de niveau 1,,46.47
2017,Colombie-Britannique,Agression sexuelle de niveau 1,,54.49
2018,Colombie-Britannique,Agression sexuelle de niveau 1,,64.13
2019,Colombie-Britannique,Agression sexuelle de niveau 1,,80.3
2020,Colombie-Britannique,Agression sexuelle de niveau 1,,73.26
2015,Colombie-Britannique,Total des infractions sexuelles contre les enfants,,13.71
2016,Colombie-Britannique,Total des infractions sexuelles contre les enfants,,16.96
2017,Colombie-Britannique,Total des infractions sexuelles contre les enfants,,20.0
