Year,Géographie,Infractions,GeoCode,Value
2020,Terre-Neuve-et-Labrador,Total des autres infractions entraînant la mort,,0.38
2015,Terre-Neuve-et-Labrador,Tentative de meurtre,,0.76
2016,Terre-Neuve-et-Labrador,Tentative de meurtre,,1.51
2017,Terre-Neuve-et-Labrador,Tentative de meurtre,,0.95
2018,Terre-Neuve-et-Labrador,Tentative de meurtre,,0.76
2019,Terre-Neuve-et-Labrador,Tentative de meurtre,,0.76
2020,Terre-Neuve-et-Labrador,Tentative de meurtre,,0.19
2015,Terre-Neuve-et-Labrador,Agression sexuelle grave (niveau 3),,0.19
2016,Terre-Neuve-et-Labrador,Agression sexuelle grave (niveau 3),,0.0
2017,Terre-Neuve-et-Labrador,Agression sexuelle grave (niveau 3),,0.19
2018,Terre-Neuve-et-Labrador,Agression sexuelle grave (niveau 3),,0.0
2019,Terre-Neuve-et-Labrador,Agression sexuelle grave (niveau 3),,0.0
2020,Terre-Neuve-et-Labrador,Agression sexuelle grave (niveau 3),,0.0
2015,Terre-Neuve-et-Labrador,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,0.19
2016,Terre-Neuve-et-Labrador,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,0.76
2017,Terre-Neuve-et-Labrador,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,0.38
2018,Terre-Neuve-et-Labrador,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,0.95
2019,Terre-Neuve-et-Labrador,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,0.96
2020,Terre-Neuve-et-Labrador,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,0.38
2015,Terre-Neuve-et-Labrador,Agression sexuelle de niveau 1,,68.55
2016,Terre-Neuve-et-Labrador,Agression sexuelle de niveau 1,,56.85
2017,Terre-Neuve-et-Labrador,Agression sexuelle de niveau 1,,61.52
2018,Terre-Neuve-et-Labrador,Agression sexuelle de niveau 1,,65.64
2019,Terre-Neuve-et-Labrador,Agression sexuelle de niveau 1,,73.55
2020,Terre-Neuve-et-Labrador,Agression sexuelle de niveau 1,,80.83
2015,Terre-Neuve-et-Labrador,Total des infractions sexuelles contre les enfants,,19.12
2016,Terre-Neuve-et-Labrador,Total des infractions sexuelles contre les enfants,,24.18
2017,Terre-Neuve-et-Labrador,Total des infractions sexuelles contre les enfants,,25.93
2018,Terre-Neuve-et-Labrador,Total des infractions sexuelles contre les enfants,,23.21
2019,Terre-Neuve-et-Labrador,Total des infractions sexuelles contre les enfants,,29.61
2020,Terre-Neuve-et-Labrador,Total des infractions sexuelles contre les enfants,,28.35
2015,Terre-Neuve-et-Labrador,Voies de fait graves (niveau 3),,7.38
2016,Terre-Neuve-et-Labrador,Voies de fait graves (niveau 3),,9.26
2017,Terre-Neuve-et-Labrador,Voies de fait graves (niveau 3),,8.9
2018,Terre-Neuve-et-Labrador,Voies de fait graves (niveau 3),,6.85
2019,Terre-Neuve-et-Labrador,Voies de fait graves (niveau 3),,5.73
2020,Terre-Neuve-et-Labrador,Voies de fait graves (niveau 3),,7.85
2015,Terre-Neuve-et-Labrador,Voies de fait armées ou causant des lésions corporelles (niveau 2),,114.94
2016,Terre-Neuve-et-Labrador,Voies de fait armées ou causant des lésions corporelles (niveau 2),,106.15
2017,Terre-Neuve-et-Labrador,Voies de fait armées ou causant des lésions corporelles (niveau 2),,114.72
2018,Terre-Neuve-et-Labrador,Voies de fait armées ou causant des lésions corporelles (niveau 2),,111.31
2019,Terre-Neuve-et-Labrador,Voies de fait armées ou causant des lésions corporelles (niveau 2),,137.54
2020,Terre-Neuve-et-Labrador,Voies de fait armées ou causant des lésions corporelles (niveau 2),,154.38
2015,Terre-Neuve-et-Labrador,Voies de fait simples (niveau 1),,600.44
2016,Terre-Neuve-et-Labrador,Voies de fait simples (niveau 1),,577.8
2017,Terre-Neuve-et-Labrador,Voies de fait simples (niveau 1),,567.54
2018,Terre-Neuve-et-Labrador,Voies de fait simples (niveau 1),,566.82
2019,Terre-Neuve-et-Labrador,Voies de fait simples (niveau 1),,638.81
2020,Terre-Neuve-et-Labrador,Voies de fait simples (niveau 1),,679.18
2015,Terre-Neuve-et-Labrador,Total des vols qualifiés,,35.41
2016,Terre-Neuve-et-Labrador,Total des vols qualifiés,,42.12
2017,Terre-Neuve-et-Labrador,Total des vols qualifiés,,35.02
2018,Terre-Neuve-et-Labrador,Total des vols qualifiés,,40.91
2019,Terre-Neuve-et-Labrador,Total des vols qualifiés,,31.52
