Year,Géographie,Type de matières récupérées,Sources des matières préparées en vue du recyclage,GeoCode,Value
2018,Terre-Neuve-et-Labrador,Matériel électronique,Toutes les sources des matières récupérées,10,1.51457493
2018,Terre-Neuve-et-Labrador,Matériel électronique,Sources des matières résidentielles récupérées,10,
2018,Terre-Neuve-et-Labrador,Matériel électronique,Sources des matières non résidentielles récupérées,10,
2018,Terre-Neuve-et-Labrador,Matières plastiques,Toutes les sources des matières récupérées,10,2.108227415
2018,Terre-Neuve-et-Labrador,Matières plastiques,Sources des matières résidentielles récupérées,10,1.877996803
2018,Terre-Neuve-et-Labrador,Matières plastiques,Sources des matières non résidentielles récupérées,10,0.230230611
2018,Terre-Neuve-et-Labrador,Récipients triangulaires et aseptiques,Toutes les sources des matières récupérées,10,1.033183652
2018,Terre-Neuve-et-Labrador,Récipients triangulaires et aseptiques,Sources des matières résidentielles récupérées,10,0.869548672
2018,Terre-Neuve-et-Labrador,Récipients triangulaires et aseptiques,Sources des matières non résidentielles récupérées,10,0.16363498
2018,Terre-Neuve-et-Labrador,Textiles,Toutes les sources des matières récupérées,10,0.0
2018,Terre-Neuve-et-Labrador,Textiles,Sources des matières résidentielles récupérées,10,0.0
2018,Terre-Neuve-et-Labrador,Textiles,Sources des matières non résidentielles récupérées,10,0.0
2018,Terre-Neuve-et-Labrador,Pneus,Toutes les sources des matières récupérées,10,11.28129995
2018,Terre-Neuve-et-Labrador,Pneus,Sources des matières résidentielles récupérées,10,
2018,Terre-Neuve-et-Labrador,Pneus,Sources des matières non résidentielles récupérées,10,
2018,Terre-Neuve-et-Labrador,"data.Construction, renovation and demolition",Toutes les sources des matières récupérées,10,0.0
2018,Terre-Neuve-et-Labrador,"data.Construction, renovation and demolition",Sources des matières résidentielles récupérées,10,0.0
2018,Terre-Neuve-et-Labrador,"data.Construction, renovation and demolition",Sources des matières non résidentielles récupérées,10,0.0
2018,Terre-Neuve-et-Labrador,Matières organiques,Toutes les sources des matières récupérées,10,1.721972753
2018,Terre-Neuve-et-Labrador,Matières organiques,Sources des matières résidentielles récupérées,10,
2018,Terre-Neuve-et-Labrador,Matières organiques,Sources des matières non résidentielles récupérées,10,
2018,Terre-Neuve-et-Labrador,Autres matières,Toutes les sources des matières récupérées,10,0.0
2018,Terre-Neuve-et-Labrador,Autres matières,Sources des matières résidentielles récupérées,10,0.0
2018,Terre-Neuve-et-Labrador,Autres matières,Sources des matières non résidentielles récupérées,10,0.0
2018,Île-du-Prince-Édouard,Toutes les matières,Toutes les sources des matières récupérées,11,370.250854
2018,Île-du-Prince-Édouard,Toutes les matières,Sources des matières résidentielles récupérées,11,
2018,Île-du-Prince-Édouard,Toutes les matières,Sources des matières non résidentielles récupérées,11,
2018,Île-du-Prince-Édouard,Toutes les fibres cellulosiques,Toutes les sources des matières récupérées,11,79.62397976
2018,Île-du-Prince-Édouard,Toutes les fibres cellulosiques,Sources des matières résidentielles récupérées,11,30.25502621
2018,Île-du-Prince-Édouard,Toutes les fibres cellulosiques,Sources des matières non résidentielles récupérées,11,49.36895356
2018,Île-du-Prince-Édouard,Verre,Toutes les sources des matières récupérées,11,1.74711205
2018,Île-du-Prince-Édouard,Verre,Sources des matières résidentielles récupérées,11,0.664945631
2018,Île-du-Prince-Édouard,Verre,Sources des matières non résidentielles récupérées,11,1.082166419
2018,Île-du-Prince-Édouard,Métaux ferreux,Toutes les sources des matières récupérées,11,61.03809747
2018,Île-du-Prince-Édouard,Métaux ferreux,Sources des matières résidentielles récupérées,11,23.19486818
2018,Île-du-Prince-Édouard,Métaux ferreux,Sources des matières non résidentielles récupérées,11,37.84322929
