Year,Géographie,Value
2014/2015,,85.46
2015/2016,,87.93
2016/2017,,86.96
2017/2018,,83.88
2018/2019,,79.57
2014/2015,Terre-Neuve-et-Labrador,71.93
2015/2016,Terre-Neuve-et-Labrador,82.11
2016/2017,Terre-Neuve-et-Labrador,78.56
2017/2018,Terre-Neuve-et-Labrador,78.18
2018/2019,Terre-Neuve-et-Labrador,76.74
2014/2015,Île-du-Prince-Édouard,89.03
2015/2016,Île-du-Prince-Édouard,70.68
2016/2017,Île-du-Prince-Édouard,65.64
2017/2018,Île-du-Prince-Édouard,72.38
2018/2019,Île-du-Prince-Édouard,81.76
2014/2015,Nouvelle-Écosse,64.97
2015/2016,Nouvelle-Écosse,61.94
2016/2017,Nouvelle-Écosse,62.19
2017/2018,Nouvelle-Écosse,59.78
2018/2019,Nouvelle-Écosse,58.9
2014/2015,Nouveau-Brunswick,65.86
2015/2016,Nouveau-Brunswick,71.25
2016/2017,Nouveau-Brunswick,72.04
2017/2018,Nouveau-Brunswick,74.78
2018/2019,Nouveau-Brunswick,73.73
2014/2015,Québec,77.38
2015/2016,Québec,75.74
2016/2017,Québec,74.71
2017/2018,Québec,71.68
2018/2019,Québec,65.82
2014/2015,Ontario,70.77
2015/2016,Ontario,71.6
2016/2017,Ontario,68.19
2017/2018,Ontario,65.91
2018/2019,Ontario,64.36
2014/2015,Manitoba,240.88
2015/2016,Manitoba,241.74
2016/2017,Manitoba,240.36
2017/2018,Manitoba,232.73
2018/2019,Manitoba,201.03
2014/2015,Saskatchewan,196.23
2015/2016,Saskatchewan,207.16
2016/2017,Saskatchewan,214.17
2017/2018,Saskatchewan,212.95
2018/2019,Saskatchewan,215.17
2014/2015,Alberta,102.31
2015/2016,Alberta,112.29
2016/2017,Alberta,115.46
2017/2018,Alberta,112.49
2018/2019,Alberta,108.15
2014/2015,Colombie-Britannique,63.12
2015/2016,Colombie-Britannique,68.81
2016/2017,Colombie-Britannique,69.91
2017/2018,Colombie-Britannique,64.56
2018/2019,Colombie-Britannique,58.61
2014/2015,Yukon,258.9
2015/2016,Yukon,316.78
2016/2017,Yukon,273.13
2017/2018,Yukon,186.41
2018/2019,Yukon,205.85
2014/2015,Territoires du Nord-Ouest,528.66
2015/2016,Territoires du Nord-Ouest,568.39
2016/2017,Territoires du Nord-Ouest,546.61
2017/2018,Territoires du Nord-Ouest,517.24
2018/2019,Territoires du Nord-Ouest,533.77
2014/2015,Nunavut,542.56
2015/2016,Nunavut,580.62
2016/2017,Nunavut,578.87
2017/2018,Nunavut,642.41
2018/2019,Nunavut,667.42
