Year,Géographie,Sources des déchets à des fins d'élimination,Value
2012,Manitoba,Sources de déchets résidentielles à des fins d'élimination,458.8
2014,Manitoba,Sources de déchets résidentielles à des fins d'élimination,513.9
2016,Manitoba,Sources de déchets résidentielles à des fins d'élimination,502.8
2018,Manitoba,Sources de déchets résidentielles à des fins d'élimination,465.3
2002,Manitoba,Sources de déchets non résidentielles à des fins d'élimination,356.7
2004,Manitoba,Sources de déchets non résidentielles à des fins d'élimination,384.1
2006,Manitoba,Sources de déchets non résidentielles à des fins d'élimination,359.3
2008,Manitoba,Sources de déchets non résidentielles à des fins d'élimination,334.2
2010,Manitoba,Sources de déchets non résidentielles à des fins d'élimination,371.7
2012,Manitoba,Sources de déchets non résidentielles à des fins d'élimination,355.4
2014,Manitoba,Sources de déchets non résidentielles à des fins d'élimination,260.4
2016,Manitoba,Sources de déchets non résidentielles à des fins d'élimination,234.8
2018,Manitoba,Sources de déchets non résidentielles à des fins d'élimination,246.7
2002,Nouveau-Brunswick,Toutes les sources de déchets à des fins d'élimination,551.9
2004,Nouveau-Brunswick,Toutes les sources de déchets à des fins d'élimination,590.0
2006,Nouveau-Brunswick,Toutes les sources de déchets à des fins d'élimination,686.3
2008,Nouveau-Brunswick,Toutes les sources de déchets à des fins d'élimination,642.0
2010,Nouveau-Brunswick,Toutes les sources de déchets à des fins d'élimination,631.1
2012,Nouveau-Brunswick,Toutes les sources de déchets à des fins d'élimination,650.0
2014,Nouveau-Brunswick,Toutes les sources de déchets à des fins d'élimination,669.5
2016,Nouveau-Brunswick,Toutes les sources de déchets à des fins d'élimination,659.1
2018,Nouveau-Brunswick,Toutes les sources de déchets à des fins d'élimination,659.3
2002,Nouveau-Brunswick,Sources de déchets résidentielles à des fins d'élimination,280.4
2004,Nouveau-Brunswick,Sources de déchets résidentielles à des fins d'élimination,312.3
2006,Nouveau-Brunswick,Sources de déchets résidentielles à des fins d'élimination,332.8
2008,Nouveau-Brunswick,Sources de déchets résidentielles à des fins d'élimination,329.0
2010,Nouveau-Brunswick,Sources de déchets résidentielles à des fins d'élimination,339.7
