Year,Géographie,Actif,GeoCode,Value
2015,Terre-Neuve-et-Labrador,Autres infrastructure d'eau,10,61.7
2015,Terre-Neuve-et-Labrador,Infrastructures pour les eaux usées,10,50.9
2015,Terre-Neuve-et-Labrador,Usines d'épuration des eaux d'égout,10,82.5
2015,Terre-Neuve-et-Labrador,Autres infrastructure d'égout,10,50.4
2015,Terre-Neuve-et-Labrador,Réseaux de communication,10,46.0
2015,Terre-Neuve-et-Labrador,"Câbles et lignes – coaxiaux, cuivre, aluminium, etc.",10,44.6
2015,Terre-Neuve-et-Labrador,Fibre optique,10,46.7
2015,Terre-Neuve-et-Labrador,Structures de support pour la transmission,10,47.0
2015,Terre-Neuve-et-Labrador,Autres structures de communication,10,37.3
2015,Terre-Neuve-et-Labrador,Infrastructure liées à l'énergie électrique,10,62.0
2015,Terre-Neuve-et-Labrador,Centrales éoliennes et panneaux solaires,10,75.1
2015,Terre-Neuve-et-Labrador,Centrale énergétique thermale,10,54.1
2015,Terre-Neuve-et-Labrador,Centrale énergétique hydraulique,10,61.6
2015,Terre-Neuve-et-Labrador,Réseaux de transport d'électricité,10,62.4
2015,Terre-Neuve-et-Labrador,Réseau de distribution d'électricité,10,58.9
2015,Terre-Neuve-et-Labrador,Autres constructions de l'énergie électrique,10,75.1
2015,Terre-Neuve-et-Labrador,Construction liée aux installations de pétrole et de gaz,10,33.7
2015,Terre-Neuve-et-Labrador,Oléoducs,10,33.7
2015,Terre-Neuve-et-Labrador,Autres travaux de génie,10,62.5
2015,Terre-Neuve-et-Labrador,Installations d'élimination des déchets,10,64.1
2015,Terre-Neuve-et-Labrador,Installations récréatives de plein air,10,62.2
2015,Terre-Neuve-et-Labrador,Dépollution,10,65.4
2015,Terre-Neuve-et-Labrador,Autres machines et matériel,10,57.4
2015,Terre-Neuve-et-Labrador,"Turbines, turbogénérateurs et groupes générateurs de turbine",10,60.2
2015,Terre-Neuve-et-Labrador,Matériel de traitement de l'eau,10,39.3
2015,Terre-Neuve-et-Labrador,Transformateurs de puissance et de distribution,10,59.3
2015,Terre-Neuve-et-Labrador,Machines et matériel de transport,10,56.4
2015,Terre-Neuve-et-Labrador,Autobus,10,52.8
2015,Terre-Neuve-et-Labrador,"Locomotives, matériel ferroviaire roulant et de transport en commun rapide",10,58.6
2015,Île-du-Prince-Édouard,Total des actifs,11,52.6
2015,Île-du-Prince-Édouard,Immeubles commerciaux,11,54.1
2015,Île-du-Prince-Édouard,Installations sportives avec capacité d'accueil de spectateurs,11,55.7
