Year,Value
1990,63
1991,63
1992,68
1993,71
1994,74
1995,78
1996,76
1997,77
1998,74
1999,82
2000,85
2001,78
2002,82
2003,76
2004,84
2005,82
2006,74
2007,64
2008,55
2009,48
2010,59
2011,63
2012,65
2013,66
2014,65
2015,70
2016,71
2017,70
2018,71
2019,65
2020,66
2021,68
