Year,Géographie,Actifs d'infrastructures publiques essentielles,Type de municipalité par taille de population,GeoCode,Value
2016,Terre-Neuve-et-Labrador,Déchets solides,"Municipalités rurales, population 5 000 et plus",10,0.0
2016,Île-du-Prince-Édouard,Eau potable,Toutes les municipalités,11,28.57
2016,Île-du-Prince-Édouard,Eau potable,Toutes les municipalités urbaines,11,50.0
2016,Île-du-Prince-Édouard,Eau potable,"Municipalités urbaines, population de 1 à 4 999",11,
2016,Île-du-Prince-Édouard,Eau potable,"Municipalités urbaines, population de 5 000 à 29 999",11,33.33
2016,Île-du-Prince-Édouard,Eau potable,"Municipalités urbaines, population de 30 000 et plus",11,100.0
2016,Île-du-Prince-Édouard,Eau potable,Toutes les municipalités rurales,11,0.0
2016,Île-du-Prince-Édouard,Eau potable,"Municipalités rurales, population 1 à 4 999",11,0.0
2016,Île-du-Prince-Édouard,Eau potable,"Municipalités rurales, population 5 000 et plus",11,
2016,Île-du-Prince-Édouard,Eaux pluviales,Toutes les municipalités,11,75.0
2016,Île-du-Prince-Édouard,Eaux pluviales,Toutes les municipalités urbaines,11,100.0
2016,Île-du-Prince-Édouard,Eaux pluviales,"Municipalités urbaines, population de 1 à 4 999",11,
2016,Île-du-Prince-Édouard,Eaux pluviales,"Municipalités urbaines, population de 5 000 à 29 999",11,100.0
2016,Île-du-Prince-Édouard,Eaux pluviales,"Municipalités urbaines, population de 30 000 et plus",11,100.0
2016,Île-du-Prince-Édouard,Eaux pluviales,Toutes les municipalités rurales,11,50.0
2016,Île-du-Prince-Édouard,Eaux pluviales,"Municipalités rurales, population 1 à 4 999",11,50.0
2016,Île-du-Prince-Édouard,Eaux pluviales,"Municipalités rurales, population 5 000 et plus",11,
2016,Île-du-Prince-Édouard,Eaux usées,Toutes les municipalités,11,44.44
2016,Île-du-Prince-Édouard,Eaux usées,Toutes les municipalités urbaines,11,40.0
2016,Île-du-Prince-Édouard,Eaux usées,"Municipalités urbaines, population de 1 à 4 999",11,100.0
2016,Île-du-Prince-Édouard,Eaux usées,"Municipalités urbaines, population de 5 000 à 29 999",11,33.33
2016,Île-du-Prince-Édouard,Eaux usées,"Municipalités urbaines, population de 30 000 et plus",11,0.0
2016,Île-du-Prince-Édouard,Eaux usées,Toutes les municipalités rurales,11,50.0
2016,Île-du-Prince-Édouard,Eaux usées,"Municipalités rurales, population 1 à 4 999",11,50.0
2016,Île-du-Prince-Édouard,Eaux usées,"Municipalités rurales, population 5 000 et plus",11,
2016,Île-du-Prince-Édouard,Déchets solides,Toutes les municipalités,11,0.0
2016,Île-du-Prince-Édouard,Déchets solides,Toutes les municipalités urbaines,11,0.0
2016,Île-du-Prince-Édouard,Déchets solides,"Municipalités urbaines, population de 1 à 4 999",11,
2016,Île-du-Prince-Édouard,Déchets solides,"Municipalités urbaines, population de 5 000 à 29 999",11,
