Year,Géographie,Value
1990,,5.8
1991,,5.8
1992,,5.9
1993,,6.1
1994,,6.1
1995,,6.4
1996,,6.6
1997,,6.8
1998,,7.1
1999,,7.3
2000,,7.4
2001,,7.7
2002,,7.8
2003,,8.4
2004,,8.5
2005,,8.8
2006,,8.8
2007,,9.1
2008,,9.6
2009,,9.9
2010,,10.0
2011,,10.3
2012,,10.4
2013,,11.1
2014,,11.1
2015,,11.3
2016,,11.3
2017,,11.4
2018,,11.8
2019,,12.2
