Year,Value
2003,16.0
2004,16.3
2005,16.2
2006,15.8
2007,15.3
2008,14.0
2009,13.5
2010,13.7
2011,13.7
2012,14.3
2013,14.6
2014,15.3
2015,15.6
2016,16.5
2017,17.4
2018,18.4
