Year,Géographie,Type de poste de recharge ou de ravitaillement,GeoCode,Value
2012,Canada,Propane,,108
2013,Canada,Gaz naturel comprimé,,2
2013,Canada,Électrique,,123
2013,Canada,Propane,,113
2014,Canada,Gaz naturel comprimé,,3
2014,Canada,Électrique,,234
2014,Canada,Propane,,116
2015,Canada,Gaz naturel comprimé,,7
2015,Canada,Électrique,,549
2015,Canada,Propane,,129
2016,Canada,Électrique,,733
2016,Canada,Hydrogène,,1
2016,Canada,Propane,,133
2017,Canada,Gaz naturel comprimé,,13
2017,Canada,Électrique,,988
2017,Canada,Propane,,371
2018,Canada,Gaz naturel comprimé,,27
2018,Canada,Électrique,,1212
2018,Canada,Hydrogène,,3
2018,Canada,Propane,,586
2019,Canada,Gaz naturel comprimé,,30
2019,Canada,Électrique,,3249
2019,Canada,Hydrogène,,4
2019,Canada,Gaz naturel liquéfié,,1
2019,Canada,Propane,,604
2020,Canada,Gaz naturel comprimé,,31
2020,Canada,Électrique,,4062
2020,Canada,Hydrogène,,5
2020,Canada,Propane,,616
2021,Canada,Gaz naturel comprimé,,33
2021,Canada,Électrique,,5364
2021,Canada,Hydrogène,,6
2021,Canada,Propane,,624
2022,Canada,Gaz naturel comprimé,,41
2022,Canada,Électrique,,7617
2022,Canada,Hydrogène,,8
2022,Canada,Propane,,644
2023,Canada,Gaz naturel comprimé,,45
2023,Canada,Électrique,,10945
2023,Canada,Éthanol,,1
2023,Canada,Hydrogène,,13
2023,Canada,Propane,,651
2024,Canada,Électrique,,13393
2024,Canada,Hydrogène,,15
2024,Canada,Propane,,668
2025,Canada,Gaz naturel comprimé,,47
2025,Canada,Électrique,,14598
2025,Canada,Éthanol,,2
2025,Canada,Hydrogène,,17
2025,Canada,Propane,,684
2010,Manitoba,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,46,3
2010,Manitoba,Électrique,46,1
2013,Manitoba,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,46,8
2013,Manitoba,Électrique,46,6
2014,Manitoba,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,46,9
2014,Manitoba,Électrique,46,7
2015,Manitoba,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,46,14
2015,Manitoba,Électrique,46,12
2016,Manitoba,Stations de recharge et de stations de ravitaillement en carburants de remplacement total,46,15
