Year,Value,Units,GeoCode
2015,69300.0,2023 constant dollars,
2016,69200.0,2023 constant dollars,
2017,70900.0,2023 constant dollars,
2018,71200.0,2023 constant dollars,
2019,71500.0,2023 constant dollars,
2020,76600.0,2023 constant dollars,
2021,75900.0,2023 constant dollars,
2022,73300.0,2023 constant dollars,
2023,74200.0,2023 constant dollars,
