Year,Value,GeoCode
2010,109,
2011,123,
2012,155,
2013,231,
2014,348,
2015,675,
2016,861,
2017,1348,
2018,1795,
2019,3783,
2020,4571,
2021,5871,
2022,8108,
2023,11122,
2024,13531,
2025,15848,
2026,16160,
